Date,Number_of_Mandates_On,State_Name
2/1/2020,0,AK
3/16/2020,1,AK
3/17/2020,2,AK
3/24/2020,3,AK
3/28/2020,6,AK
4/24/2020,4,AK
5/22/2020,2,AK
2/2/2020,0,AK
2/3/2020,0,AK
2/4/2020,0,AK
2/5/2020,0,AK
2/6/2020,0,AK
2/7/2020,0,AK
2/8/2020,0,AK
2/9/2020,0,AK
2/10/2020,0,AK
2/11/2020,0,AK
2/12/2020,0,AK
2/13/2020,0,AK
2/14/2020,0,AK
2/15/2020,0,AK
2/16/2020,0,AK
2/17/2020,0,AK
2/18/2020,0,AK
2/19/2020,0,AK
2/20/2020,0,AK
2/21/2020,0,AK
2/22/2020,0,AK
2/23/2020,0,AK
2/24/2020,0,AK
2/25/2020,0,AK
2/26/2020,0,AK
2/27/2020,0,AK
2/28/2020,0,AK
2/29/2020,0,AK
3/1/2020,0,AK
3/2/2020,0,AK
3/3/2020,0,AK
3/4/2020,0,AK
3/5/2020,0,AK
3/6/2020,0,AK
3/7/2020,0,AK
3/8/2020,0,AK
3/9/2020,0,AK
3/10/2020,0,AK
3/11/2020,0,AK
3/12/2020,0,AK
3/13/2020,0,AK
3/14/2020,0,AK
3/15/2020,0,AK
3/18/2020,2,AK
3/19/2020,2,AK
3/20/2020,2,AK
3/21/2020,2,AK
3/22/2020,2,AK
3/23/2020,2,AK
3/25/2020,3,AK
3/26/2020,3,AK
3/27/2020,3,AK
3/29/2020,6,AK
3/30/2020,6,AK
3/31/2020,6,AK
4/1/2020,6,AK
4/2/2020,6,AK
4/3/2020,6,AK
4/4/2020,6,AK
4/5/2020,6,AK
4/6/2020,6,AK
4/7/2020,6,AK
4/8/2020,6,AK
4/9/2020,6,AK
4/10/2020,6,AK
4/11/2020,6,AK
4/12/2020,6,AK
4/13/2020,6,AK
4/14/2020,6,AK
4/15/2020,6,AK
4/16/2020,6,AK
4/17/2020,6,AK
4/18/2020,6,AK
4/19/2020,6,AK
4/20/2020,6,AK
4/21/2020,6,AK
4/22/2020,6,AK
4/23/2020,6,AK
4/25/2020,4,AK
4/26/2020,4,AK
4/27/2020,4,AK
4/28/2020,4,AK
4/29/2020,4,AK
4/30/2020,4,AK
5/1/2020,4,AK
5/2/2020,4,AK
5/3/2020,4,AK
5/4/2020,4,AK
5/5/2020,4,AK
5/6/2020,4,AK
5/7/2020,4,AK
5/8/2020,4,AK
5/9/2020,4,AK
5/10/2020,4,AK
5/11/2020,4,AK
5/12/2020,4,AK
5/13/2020,4,AK
5/14/2020,4,AK
5/15/2020,4,AK
5/16/2020,4,AK
5/17/2020,4,AK
5/18/2020,4,AK
5/19/2020,4,AK
5/20/2020,4,AK
5/21/2020,4,AK
5/23/2020,2,AK
5/24/2020,2,AK
5/25/2020,2,AK
5/26/2020,2,AK
5/27/2020,2,AK
5/28/2020,2,AK
5/29/2020,2,AK
5/30/2020,2,AK
5/31/2020,2,AK
6/1/2020,2,AK
6/2/2020,2,AK
6/3/2020,2,AK
6/4/2020,2,AK
6/5/2020,2,AK
6/6/2020,2,AK
6/7/2020,2,AK
6/8/2020,2,AK
6/9/2020,2,AK
6/10/2020,2,AK
6/11/2020,2,AK
6/12/2020,2,AK
6/13/2020,2,AK
6/14/2020,2,AK
6/15/2020,2,AK
6/16/2020,2,AK
6/17/2020,2,AK
6/18/2020,2,AK
6/19/2020,2,AK
6/20/2020,2,AK
6/21/2020,2,AK
6/22/2020,2,AK
6/23/2020,2,AK
6/24/2020,2,AK
6/25/2020,2,AK
6/26/2020,2,AK
6/27/2020,2,AK
6/28/2020,2,AK
6/29/2020,2,AK
6/30/2020,2,AK
7/1/2020,2,AK
7/2/2020,2,AK
7/3/2020,2,AK
7/4/2020,2,AK
7/5/2020,2,AK
7/6/2020,2,AK
7/7/2020,2,AK
7/8/2020,2,AK
7/9/2020,2,AK
7/10/2020,2,AK
7/11/2020,2,AK
7/12/2020,2,AK
7/13/2020,2,AK
7/14/2020,2,AK
7/15/2020,2,AK
7/16/2020,2,AK
7/17/2020,2,AK
7/18/2020,2,AK
7/19/2020,2,AK
7/20/2020,2,AK
7/21/2020,2,AK
7/22/2020,2,AK
7/23/2020,2,AK
7/24/2020,2,AK
7/25/2020,2,AK
7/26/2020,2,AK
7/27/2020,2,AK
7/28/2020,2,AK
7/29/2020,2,AK
7/30/2020,2,AK
7/31/2020,2,AK
8/1/2020,2,AK
8/2/2020,2,AK
8/3/2020,2,AK
8/4/2020,2,AK
8/5/2020,2,AK
8/6/2020,2,AK
8/7/2020,2,AK
8/8/2020,2,AK
8/9/2020,2,AK
8/10/2020,2,AK
8/11/2020,2,AK
8/12/2020,2,AK
8/13/2020,2,AK
8/14/2020,2,AK
8/15/2020,2,AK
8/16/2020,2,AK
8/17/2020,2,AK
8/18/2020,2,AK
8/19/2020,2,AK
8/20/2020,2,AK
8/21/2020,2,AK
8/22/2020,2,AK
8/23/2020,2,AK
8/24/2020,2,AK
8/25/2020,2,AK
8/26/2020,2,AK
