"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Alabama","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.896216047469521,1
"2","Alabama","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.896216047469521,1
"3","Alabama","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.780013336095607,0.622459331201855
"4","Alabama","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.780013336095607,0.622459331201855
"5","Alabama","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.864608503081659,0.553367372799653
"6","Alabama","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.864608503081659,0.553367372799653
"7","Alabama","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.875242791990952,0.464346329166028
"8","Alabama","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.875242791990952,0.464346329166028
"9","Alabama","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.871840874077289,0.429053403116534
"10","Alabama","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.871840874077289,0.429053403116534
"11","Alabama","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.93972972660844,0.429053403116534
"12","Alabama","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.93972972660844,0.429053403116534
"13","Alabama","data","Past",2020-03-13,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.778472199552341,0.411651375185282
"14","Alabama","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.778472199552341,0.411651375185282
"15","Alabama","data","Past",2020-03-14,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.869692729703004,0.360907254837149
"16","Alabama","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.869692729703004,0.360907254837149
"17","Alabama","data","Past",2020-03-15,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.843744765663356,0.313089635339687
"18","Alabama","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.843744765663356,0.313089635339687
"19","Alabama","data","Past",2020-03-16,"daily_cases",NA,NA,NA,16,NA,NA,NA,NA,0.825969149807493,0.255131504331317
"20","Alabama","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.825969149807493,0.255131504331317
"21","Alabama","data","Past",2020-03-17,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.840755405386279,0.24179617240741
"22","Alabama","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.840755405386279,0.24179617240741
"23","Alabama","data","Past",2020-03-18,"daily_cases",NA,NA,NA,10,NA,NA,NA,NA,0.899022114691376,0.216579095768176
"24","Alabama","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.899022114691376,0.216579095768176
"25","Alabama","data","Past",2020-03-19,"daily_cases",NA,NA,NA,22,NA,NA,NA,NA,0.948953066213687,0.204705055271962
"26","Alabama","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.948953066213687,0.204705055271962
"27","Alabama","data","Past",2020-03-20,"daily_cases",NA,NA,NA,13,NA,NA,NA,NA,0.884154735913045,0.193321369802309
"28","Alabama","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.884154735913045,0.193321369802309
"29","Alabama","data","Past",2020-03-21,"daily_cases",NA,NA,NA,43,NA,NA,NA,NA,0.846546721831863,0.182425523806356
"30","Alabama","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.846546721831863,0.182425523806356
"31","Alabama","data","Past",2020-03-22,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.847704117391805,0.152608664842631
"32","Alabama","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.847704117391805,0.152608664842631
"33","Alabama","data","Past",2020-03-23,"daily_cases",NA,NA,NA,29,NA,NA,NA,NA,0.899460582570345,0.135036422922802
"34","Alabama","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.899460582570345,0.135036422922802
"35","Alabama","data","Past",2020-03-24,"daily_cases",NA,NA,NA,48,NA,NA,NA,NA,0.841807050396592,0.135036422922802
"36","Alabama","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.841807050396592,0.135036422922802
"37","Alabama","data","Past",2020-03-25,"daily_cases",NA,NA,NA,68,NA,NA,NA,NA,0.786499497960063,0.119202922022118
"38","Alabama","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.786499497960063,0.119202922022118
"39","Alabama","data","Past",2020-03-26,"daily_cases",NA,NA,NA,223,NA,NA,NA,NA,0.876426911566837,0.105000585020265
"40","Alabama","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.876426911566837,0.105000585020265
"41","Alabama","data","Past",2020-03-27,"daily_cases",NA,NA,NA,81,NA,NA,NA,NA,0.829031577587367,0.105000585020265
"42","Alabama","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.829031577587367,0.105000585020265
"43","Alabama","data","Past",2020-03-28,"daily_cases",NA,NA,NA,109,NA,NA,NA,NA,0.915724952261021,0.098474942354424
"44","Alabama","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.915724952261021,0.098474942354424
"45","Alabama","data","Past",2020-03-29,"daily_cases",NA,NA,NA,110,NA,NA,NA,NA,0.811244646767994,0.098474942354424
"46","Alabama","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.811244646767994,0.098474942354424
"47","Alabama","data","Past",2020-03-30,"daily_cases",NA,NA,NA,53,NA,NA,NA,NA,0.77849784907084,0.0864996922056071
"48","Alabama","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.77849784907084,0.0864996922056071
"49","Alabama","data","Past",2020-03-31,"daily_cases",NA,NA,NA,122,NA,NA,NA,NA,0.836671181371397,0.0758581800212436
"50","Alabama","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.836671181371397,0.0758581800212436
"51","Alabama","data","Past",2020-04-01,"daily_cases",NA,NA,NA,96,NA,NA,NA,NA,0.814917888976884,0.0664306227932143
"52","Alabama","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.814917888976884,0.0664306227932143
"53","Alabama","data","Past",2020-04-02,"daily_cases",NA,NA,NA,156,NA,NA,NA,NA,0.885643186688325,0.0664306227932143
"54","Alabama","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.885643186688325,0.0664306227932143
"55","Alabama","data","Past",2020-04-03,"daily_cases",NA,NA,NA,199,NA,NA,NA,NA,0.792065275598457,0.0664306227932143
"56","Alabama","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.792065275598457,0.0664306227932143
"57","Alabama","data","Past",2020-04-04,"daily_cases",NA,NA,NA,148,NA,NA,NA,NA,0.821098411772393,0.0664306227932143
"58","Alabama","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA,0.821098411772393,0.0664306227932143
"59","Alabama","data","Past",2020-04-05,"daily_cases",NA,NA,NA,216,NA,NA,NA,NA,0.782539225406485,0.0621356330864297
