"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Arkansas","linear_increase_sd","Past",2020-03-06,"cases",0,0,0,0,0,0,0,0,0,0.79474005664682,1
"2","Arkansas","linear_increase_sd","Past",2020-03-06,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.79474005664682,1
"3","Arkansas","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.79474005664682,1
"4","Arkansas","linear_increase_sd","Past",2020-03-07,"cases",1,1,2,2,2,2,2,2,2,0.825867696199403,0.952574126822433
"5","Arkansas","linear_increase_sd","Past",2020-03-07,"cumulative_infections",18,18,19,24,22,31,35,35,NA,0.825867696199403,0.952574126822433
"6","Arkansas","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.825867696199403,0.952574126822433
"7","Arkansas","linear_increase_sd","Past",2020-03-08,"cases",1,1,1,2,2,2,2,2,4,0.888441777186593,0.952574126822433
"8","Arkansas","linear_increase_sd","Past",2020-03-08,"cumulative_infections",40,40,41,54,51,73,79,79,NA,0.888441777186593,0.952574126822433
"9","Arkansas","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,0,0,0,0,0,0,0.888441777186593,0.952574126822433
"10","Arkansas","linear_increase_sd","Past",2020-03-09,"cases",1,1,1,2,1,2,2,2,6,0.868717279408096,0.936088489046785
"11","Arkansas","linear_increase_sd","Past",2020-03-09,"cumulative_infections",69,69,70,95,90,136,142,142,NA,0.868717279408096,0.936088489046785
"12","Arkansas","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,0,1,1,1,1,0.868717279408096,0.936088489046785
"13","Arkansas","linear_increase_sd","Past",2020-03-10,"cases",1,1,1,2,1,2,2,2,7,0.849598565660335,0.922276270424597
"14","Arkansas","linear_increase_sd","Past",2020-03-10,"cumulative_infections",109,109,111,155,148,230,231,231,NA,0.849598565660335,0.922276270424597
"15","Arkansas","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,0,1,1,1,1,0.849598565660335,0.922276270424597
"16","Arkansas","linear_increase_sd","Past",2020-03-11,"cases",1,1,1,2,1,2,2,2,8,0.897676721197441,0.88621325518229
"17","Arkansas","linear_increase_sd","Past",2020-03-11,"cumulative_infections",167,167,172,244,235,351,372,372,NA,0.897676721197441,0.88621325518229
"18","Arkansas","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,2,0.897676721197441,0.88621325518229
"19","Arkansas","linear_increase_sd","Past",2020-03-12,"cases",1,1,1,2,2,2,2,2,10,0.850892494612614,0.856862736544907
"20","Arkansas","linear_increase_sd","Past",2020-03-12,"cumulative_infections",253,253,274,382,367,523,587,587,NA,0.850892494612614,0.856862736544907
"21","Arkansas","linear_increase_sd","Past",2020-03-12,"deaths",0,0,1,1,1,1,1,1,3,0.850892494612614,0.856862736544907
"22","Arkansas","linear_increase_sd","Past",2020-03-13,"cases",2,2,2,3,3,4,4,4,12,0.823377199679797,0.805503382794127
"23","Arkansas","linear_increase_sd","Past",2020-03-13,"cumulative_infections",372,372,417,563,526,725,866,866,NA,0.823377199679797,0.805503382794127
"24","Arkansas","linear_increase_sd","Past",2020-03-13,"deaths",0,0,0,1,1,1,1,1,4,0.823377199679797,0.805503382794127
"25","Arkansas","linear_increase_sd","Past",2020-03-14,"cases",3,3,3,5,4,6,7,7,17,0.841086055466014,0.741279914293239
"26","Arkansas","linear_increase_sd","Past",2020-03-14,"cumulative_infections",526,526,614,795,765,971,1201,1201,NA,0.841086055466014,0.741279914293239
"27","Arkansas","linear_increase_sd","Past",2020-03-14,"deaths",0,0,0,1,1,1,1,1,5,0.841086055466014,0.741279914293239
"28","Arkansas","linear_increase_sd","Past",2020-03-15,"cases",4,4,5,7,6,9,9,9,23,0.816693976473568,0.664677794427264
"29","Arkansas","linear_increase_sd","Past",2020-03-15,"cumulative_infections",738,738,851,1088,1113,1283,1591,1591,NA,0.816693976473568,0.664677794427264
"30","Arkansas","linear_increase_sd","Past",2020-03-15,"deaths",0,0,1,1,1,1,1,1,6,0.816693976473568,0.664677794427264
"31","Arkansas","linear_increase_sd","Past",2020-03-16,"cases",7,7,8,11,10,16,17,17,34,0.82892564460047,0.526291517393018
"32","Arkansas","linear_increase_sd","Past",2020-03-16,"cumulative_infections",995,995,1092,1417,1454,1664,1999,1999,NA,0.82892564460047,0.526291517393018
"33","Arkansas","linear_increase_sd","Past",2020-03-16,"deaths",0,0,0,1,1,1,1,1,6,0.82892564460047,0.526291517393018
"34","Arkansas","linear_increase_sd","Past",2020-03-17,"cases",9,9,10,15,15,19,20,20,49,0.816116109280737,0.447561955125789
"35","Arkansas","linear_increase_sd","Past",2020-03-17,"cumulative_infections",1312,1312,1313,1780,1825,2148,2417,2417,NA,0.816116109280737,0.447561955125789
"36","Arkansas","linear_increase_sd","Past",2020-03-17,"deaths",0,0,1,1,1,1,1,1,7,0.816116109280737,0.447561955125789
"37","Arkansas","linear_increase_sd","Past",2020-03-18,"cases",13,13,13,21,20,27,28,28,70,0.852041669659924,0.359174840126973
"38","Arkansas","linear_increase_sd","Past",2020-03-18,"cumulative_infections",1532,1532,1661,2145,2167,2632,2807,2807,NA,0.852041669659924,0.359174840126973
"39","Arkansas","linear_increase_sd","Past",2020-03-18,"deaths",0,0,0,1,1,1,1,1,8,0.852041669659924,0.359174840126973
"40","Arkansas","linear_increase_sd","Past",2020-03-19,"cases",20,20,23,30,29,36,48,48,99,0.853683910255587,0.301091576588983
"41","Arkansas","linear_increase_sd","Past",2020-03-19,"cumulative_infections",1761,1761,2039,2517,2500,3097,3190,3190,NA,0.853683910255587,0.301091576588983
"42","Arkansas","linear_increase_sd","Past",2020-03-19,"deaths",1,1,1,1,1,1,1,1,9,0.853683910255587,0.301091576588983
"43","Arkansas","linear_increase_sd","Past",2020-03-20,"cases",21,21,22,40,38,55,57,57,138,0.837279175183092,0.229607938687128
"44","Arkansas","linear_increase_sd","Past",2020-03-20,"cumulative_infections",1985,1985,2382,2872,2880,3508,3551,3551,NA,0.837279175183092,0.229607938687128
"45","Arkansas","linear_increase_sd","Past",2020-03-20,"deaths",0,0,1,1,1,1,1,1,10,0.837279175183092,0.229607938687128
"46","Arkansas","linear_increase_sd","Past",2020-03-21,"cases",33,33,36,47,46,62,64,64,185,0.790830925222749,0.186383277873728
"47","Arkansas","linear_increase_sd","Past",2020-03-21,"cumulative_infections",2199,2199,2662,3197,3217,3856,3881,3881,NA,0.790830925222749,0.186383277873728
"48","Arkansas","linear_increase_sd","Past",2020-03-21,"deaths",1,1,1,1,1,1,1,1,11,0.790830925222749,0.186383277873728
"49","Arkansas","linear_increase_sd","Past",2020-03-22,"cases",32,32,39,55,56,73,78,78,240,0.876822465651985,0.143137263455093
"50","Arkansas","linear_increase_sd","Past",2020-03-22,"cumulative_infections",2392,2392,2893,3487,3533,4174,4199,4199,NA,0.876822465651985,0.143137263455093
"51","Arkansas","linear_increase_sd","Past",2020-03-22,"deaths",1,1,1,1,1,1,1,1,12,0.876822465651985,0.143137263455093
"52","Arkansas","linear_increase_sd","Past",2020-03-23,"cases",40,40,45,60,59,76,78,78,300,0.875451053113447,0.130705320498867
"53","Arkansas","linear_increase_sd","Past",2020-03-23,"cumulative_infections",2605,2605,3134,3794,3833,4488,4556,4556,NA,0.875451053113447,0.130705320498867
"54","Arkansas","linear_increase_sd","Past",2020-03-23,"deaths",1,1,1,1,1,1,1,1,13,0.875451053113447,0.130705320498867
"55","Arkansas","linear_increase_sd","Past",2020-03-24,"cases",40,40,53,69,67,95,99,99,368,0.840266671256455,0.12484058870293
"56","Arkansas","linear_increase_sd","Past",2020-03-24,"cumulative_infections",2811,2811,3365,4086,4078,4788,4889,4889,NA,0.840266671256455,0.12484058870293
"57","Arkansas","linear_increase_sd","Past",2020-03-24,"deaths",1,1,1,1,1,1,1,1,14,0.840266671256455,0.12484058870293
"58","Arkansas","linear_increase_sd","Past",2020-03-25,"cases",43,43,50,71,68,89,102,102,439,0.829655981099937,0.12484058870293
