"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","California","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.754715269966836,1
"2","California","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.754715269966836,1
"3","California","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.726527661530134,0.999664649869534
"4","California","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.726527661530134,0.999664649869534
"5","California","data","Past",2020-03-06,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA,0.713158619055801,0.999664649869534
"6","California","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.713158619055801,0.999664649869534
"7","California","data","Past",2020-03-07,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.707872541829902,0.999664649869534
"8","California","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.707872541829902,0.999664649869534
"9","California","data","Past",2020-03-08,"daily_cases",NA,NA,NA,19,NA,NA,NA,NA,0.745774393048576,0.999447221363076
"10","California","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.745774393048576,0.999447221363076
"11","California","data","Past",2020-03-09,"daily_cases",NA,NA,NA,26,NA,NA,NA,NA,0.758625728018919,0.999447221363076
"12","California","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.758625728018919,0.999447221363076
"13","California","data","Past",2020-03-10,"daily_cases",NA,NA,NA,19,NA,NA,NA,NA,0.719075195016967,0.999447221363076
"14","California","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.719075195016967,0.999447221363076
"15","California","data","Past",2020-03-11,"daily_cases",NA,NA,NA,24,NA,NA,NA,NA,0.693027975802621,0.999447221363076
"16","California","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.693027975802621,0.999447221363076
"17","California","data","Past",2020-03-12,"daily_cases",NA,NA,NA,45,NA,NA,NA,NA,0.671321625767255,0.999088948805599
"18","California","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.671321625767255,0.999088948805599
"19","California","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.703867641221815,0.999088948805599
"20","California","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.703867641221815,0.999088948805599
"21","California","data","Past",2020-03-14,"daily_cases",NA,NA,NA,50,NA,NA,NA,NA,0.697119921784951,0.999088948805599
"22","California","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.697119921784951,0.999088948805599
"23","California","data","Past",2020-03-15,"daily_cases",NA,NA,NA,41,NA,NA,NA,NA,0.6990810974231,0.998498817743263
"24","California","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.6990810974231,0.998498817743263
"25","California","data","Past",2020-03-16,"daily_cases",NA,NA,NA,42,NA,NA,NA,NA,0.693837003049314,0.998498817743263
"26","California","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.693837003049314,0.998498817743263
"27","California","data","Past",2020-03-17,"daily_cases",NA,NA,NA,148,NA,NA,NA,NA,0.713149401492089,0.997527376843365
"28","California","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.713149401492089,0.997527376843365
"29","California","data","Past",2020-03-18,"daily_cases",NA,NA,NA,128,NA,NA,NA,NA,0.700999315209205,0.995929862284104
"30","California","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.700999315209205,0.995929862284104
"31","California","data","Past",2020-03-19,"daily_cases",NA,NA,NA,313,NA,NA,NA,NA,0.676930376580425,0.995929862284104
"32","California","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.676930376580425,0.995929862284104
"33","California","data","Past",2020-03-20,"daily_cases",NA,NA,NA,139,NA,NA,NA,NA,0.693165719275088,0.993307149075715
"34","California","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.693165719275088,0.993307149075715
"35","California","data","Past",2020-03-21,"daily_cases",NA,NA,NA,216,NA,NA,NA,NA,0.697955944947021,0.989013057369407
"36","California","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.697955944947021,0.989013057369407
"37","California","data","Past",2020-03-22,"daily_cases",NA,NA,NA,257,NA,NA,NA,NA,0.670323630053015,0.982013790037908
"38","California","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.670323630053015,0.982013790037908
"39","California","data","Past",2020-03-23,"daily_cases",NA,NA,NA,197,NA,NA,NA,NA,0.732700689989526,0.970687769248644
"40","California","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.732700689989526,0.970687769248644
"41","California","data","Past",2020-03-24,"daily_cases",NA,NA,NA,369,NA,NA,NA,NA,0.675255226860568,0.952574126822433
"42","California","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.675255226860568,0.952574126822433
"43","California","data","Past",2020-03-25,"daily_cases",NA,NA,NA,253,NA,NA,NA,NA,0.665737052797272,0.924141819978756
"44","California","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.665737052797272,0.924141819978756
"45","California","data","Past",2020-03-26,"daily_cases",NA,NA,NA,651,NA,NA,NA,NA,0.73568173100952,0.880797077977882
"46","California","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA,0.73568173100952,0.880797077977882
"47","California","data","Past",2020-03-27,"daily_cases",NA,NA,NA,873,NA,NA,NA,NA,0.730319702826645,0.880797077977882
"48","California","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.730319702826645,0.880797077977882
"49","California","data","Past",2020-03-28,"daily_cases",NA,NA,NA,764,NA,NA,NA,NA,0.680145207419047,0.817574476193644
"50","California","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,23,NA,NA,NA,NA,0.680145207419047,0.817574476193644
"51","California","data","Past",2020-03-29,"daily_cases",NA,NA,NA,1065,NA,NA,NA,NA,0.628331441732112,0.731058578630005
"52","California","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,22,NA,NA,NA,NA,0.628331441732112,0.731058578630005
"53","California","data","Past",2020-03-30,"daily_cases",NA,NA,NA,739,NA,NA,NA,NA,0.675863562293753,0.622459331201855
"54","California","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,10,NA,NA,NA,NA,0.675863562293753,0.622459331201855
"55","California","data","Past",2020-03-31,"daily_cases",NA,NA,NA,1035,NA,NA,NA,NA,0.668022211326764,0.622459331201855
"56","California","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,20,NA,NA,NA,NA,0.668022211326764,0.622459331201855
"57","California","data","Past",2020-04-01,"daily_cases",NA,NA,NA,673,NA,NA,NA,NA,0.734156472919034,0.5
"58","California","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA,0.734156472919034,0.5
"59","California","data","Past",2020-04-02,"daily_cases",NA,NA,NA,1036,NA,NA,NA,NA,0.760551294051364,0.5
"60","California","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,32,NA,NA,NA,NA,0.760551294051364,0.5
"61","California","data","Past",2020-04-03,"daily_cases",NA,NA,NA,1510,NA,NA,NA,NA,0.615813840007213,0.5
"62","California","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,34,NA,NA,NA,NA,0.615813840007213,0.5
"63","California","data","Past",2020-04-04,"daily_cases",NA,NA,NA,1325,NA,NA,NA,NA,0.692022753288979,0.5
"64","California","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,39,NA,NA,NA,NA,0.692022753288979,0.5
"65","California","data","Past",2020-04-05,"daily_cases",NA,NA,NA,1412,NA,NA,NA,NA,0.688286933157747,0.5
"66","California","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,43,NA,NA,NA,NA,0.688286933157747,0.5
"67","California","data","Past",2020-04-06,"daily_cases",NA,NA,NA,898,NA,NA,NA,NA,0.700582983499935,0.5
"68","California","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,24,NA,NA,NA,NA,0.700582983499935,0.5
"69","California","data","Past",2020-04-07,"daily_cases",NA,NA,NA,1529,NA,NA,NA,NA,0.660674655686484,0.5
"70","California","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,31,NA,NA,NA,NA,0.660674655686484,0.5
"71","California","data","Past",2020-04-08,"daily_cases",NA,NA,NA,1092,NA,NA,NA,NA,0.698862178129763,0.5
"72","California","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,68,NA,NA,NA,NA,0.698862178129763,0.5
"73","California","data","Past",2020-04-09,"daily_cases",NA,NA,NA,1352,NA,NA,NA,NA,0.693945148856683,0.5
"74","California","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,50,NA,NA,NA,NA,0.693945148856683,0.5
"75","California","data","Past",2020-04-10,"daily_cases",NA,NA,NA,1163,NA,NA,NA,NA,0.696605462901264,0.5
"76","California","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,49,NA,NA,NA,NA,0.696605462901264,0.5
"77","California","data","Past",2020-04-11,"daily_cases",NA,NA,NA,1143,NA,NA,NA,NA,0.707722633594757,0.5
"78","California","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,68,NA,NA,NA,NA,0.707722633594757,0.5
"79","California","data","Past",2020-04-12,"daily_cases",NA,NA,NA,1179,NA,NA,NA,NA,0.697469101319101,0.5
"80","California","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,42,NA,NA,NA,NA,0.697469101319101,0.5
"81","California","data","Past",2020-04-13,"daily_cases",NA,NA,NA,554,NA,NA,NA,NA,0.662510439201613,0.5
"82","California","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,36,NA,NA,NA,NA,0.662510439201613,0.5
