"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Colorado","linear_increase_sd","Past",2020-03-05,"cases",0,0,0,0,0,0,0,0,0,0.719737128684791,1
"2","Colorado","linear_increase_sd","Past",2020-03-05,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.719737128684791,1
"3","Colorado","linear_increase_sd","Past",2020-03-05,"deaths",0,0,0,0,0,0,0,0,0,0.719737128684791,1
"4","Colorado","linear_increase_sd","Past",2020-03-06,"cases",2,2,2,2,2,2,2,2,2,0.765048433222048,0.823240966881221
"5","Colorado","linear_increase_sd","Past",2020-03-06,"cumulative_infections",54,54,55,100,80,150,165,165,NA,0.765048433222048,0.823240966881221
"6","Colorado","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.765048433222048,0.823240966881221
"7","Colorado","linear_increase_sd","Past",2020-03-07,"cases",2,2,2,3,3,3,3,3,5,0.696780283380364,0.811767865698079
"8","Colorado","linear_increase_sd","Past",2020-03-07,"cumulative_infections",163,163,165,252,221,357,374,374,NA,0.696780283380364,0.811767865698079
"9","Colorado","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.696780283380364,0.811767865698079
"10","Colorado","linear_increase_sd","Past",2020-03-08,"cases",1,1,2,4,5,6,6,6,9,0.805055657489765,0.760212731297414
"11","Colorado","linear_increase_sd","Past",2020-03-08,"cumulative_infections",303,303,307,433,396,589,600,600,NA,0.805055657489765,0.760212731297414
"12","Colorado","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,0,1,1,1,1,0.805055657489765,0.760212731297414
"13","Colorado","linear_increase_sd","Past",2020-03-09,"cases",1,1,1,5,7,8,8,8,14,0.781109548781313,0.699759702056349
"14","Colorado","linear_increase_sd","Past",2020-03-09,"cumulative_infections",511,511,517,698,651,916,917,917,NA,0.781109548781313,0.699759702056349
"15","Colorado","linear_increase_sd","Past",2020-03-09,"deaths",0,0,1,1,1,1,1,1,2,0.781109548781313,0.699759702056349
"16","Colorado","linear_increase_sd","Past",2020-03-10,"cases",3,3,4,7,8,11,11,11,21,0.770185935451364,0.613379078462526
"17","Colorado","linear_increase_sd","Past",2020-03-10,"cumulative_infections",757,757,770,1017,948,1297,1310,1310,NA,0.770185935451364,0.613379078462526
"18","Colorado","linear_increase_sd","Past",2020-03-10,"deaths",0,0,1,1,1,1,1,1,3,0.770185935451364,0.613379078462526
"19","Colorado","linear_increase_sd","Past",2020-03-11,"cases",7,7,7,10,10,13,13,13,31,0.779889183231631,0.594985793522771
"20","Colorado","linear_increase_sd","Past",2020-03-11,"cumulative_infections",1046,1046,1063,1394,1306,1736,1786,1786,NA,0.779889183231631,0.594985793522771
"21","Colorado","linear_increase_sd","Past",2020-03-11,"deaths",1,1,1,1,1,1,1,1,4,0.779889183231631,0.594985793522771
"22","Colorado","linear_increase_sd","Past",2020-03-12,"cases",12,12,12,14,13,14,15,15,44,0.689182308767793,0.538385856562641
"23","Colorado","linear_increase_sd","Past",2020-03-12,"cumulative_infections",1391,1391,1417,1845,1728,2250,2348,2348,NA,0.689182308767793,0.538385856562641
"24","Colorado","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,5,0.689182308767793,0.538385856562641
"25","Colorado","linear_increase_sd","Past",2020-03-13,"cases",15,15,15,20,20,24,25,25,63,0.703486810141904,0.461614143437359
"26","Colorado","linear_increase_sd","Past",2020-03-13,"cumulative_infections",1750,1750,1793,2313,2175,2774,2925,2925,NA,0.703486810141904,0.461614143437359
"27","Colorado","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,6,0.703486810141904,0.461614143437359
"28","Colorado","linear_increase_sd","Past",2020-03-14,"cases",20,20,23,27,26,31,31,31,89,0.798988495034056,0.442562367088693
"29","Colorado","linear_increase_sd","Past",2020-03-14,"cumulative_infections",2191,2191,2255,2868,2709,3443,3588,3588,NA,0.798988495034056,0.442562367088693
"30","Colorado","linear_increase_sd","Past",2020-03-14,"deaths",1,1,1,1,1,1,1,1,7,0.798988495034056,0.442562367088693
"31","Colorado","linear_increase_sd","Past",2020-03-15,"cases",25,25,29,37,38,45,48,48,126,0.767168711020706,0.368545540146871
"32","Colorado","linear_increase_sd","Past",2020-03-15,"cumulative_infections",2784,2784,2883,3594,3419,4302,4442,4442,NA,0.767168711020706,0.368545540146871
"33","Colorado","linear_increase_sd","Past",2020-03-15,"deaths",1,1,1,1,1,1,1,1,8,0.767168711020706,0.368545540146871
"34","Colorado","linear_increase_sd","Past",2020-03-16,"cases",36,36,38,47,45,54,58,58,172,0.678081685455449,0.333519912372473
"35","Colorado","linear_increase_sd","Past",2020-03-16,"cumulative_infections",3460,3460,3599,4398,4206,5229,5362,5362,NA,0.678081685455449,0.333519912372473
"36","Colorado","linear_increase_sd","Past",2020-03-16,"deaths",1,1,1,1,1,1,1,1,9,0.678081685455449,0.333519912372473
"37","Colorado","linear_increase_sd","Past",2020-03-17,"cases",42,42,45,57,58,71,71,71,229,0.788007678912371,0.300240297943651
"38","Colorado","linear_increase_sd","Past",2020-03-17,"cumulative_infections",4163,4163,4340,5204,4999,6134,6263,6263,NA,0.788007678912371,0.300240297943651
"39","Colorado","linear_increase_sd","Past",2020-03-17,"deaths",1,1,1,1,1,1,1,1,10,0.788007678912371,0.300240297943651
"40","Colorado","linear_increase_sd","Past",2020-03-18,"cases",55,55,56,73,76,85,90,90,301,0.732067263969372,0.268941421369995
"41","Colorado","linear_increase_sd","Past",2020-03-18,"cumulative_infections",5110,5110,5355,6259,6099,7285,7431,7431,NA,0.732067263969372,0.268941421369995
"42","Colorado","linear_increase_sd","Past",2020-03-18,"deaths",1,1,1,1,1,1,1,1,11,0.732067263969372,0.268941421369995
"43","Colorado","linear_increase_sd","Past",2020-03-19,"cases",65,65,69,86,78,107,111,111,387,0.767830528049568,0.212873260762741
"44","Colorado","linear_increase_sd","Past",2020-03-19,"cumulative_infections",6143,6143,6436,7357,7262,8449,8633,8633,NA,0.767830528049568,0.212873260762741
"45","Colorado","linear_increase_sd","Past",2020-03-19,"deaths",1,1,1,1,1,1,1,1,12,0.767830528049568,0.212873260762741
"46","Colorado","linear_increase_sd","Past",2020-03-20,"cases",78,78,83,101,101,117,122,122,488,0.695488020087852,0.200268771555921
"47","Colorado","linear_increase_sd","Past",2020-03-20,"cumulative_infections",7375,7375,7707,8621,8574,9759,10003,10003,NA,0.695488020087852,0.200268771555921
"48","Colorado","linear_increase_sd","Past",2020-03-20,"deaths",1,1,1,1,1,1,1,1,13,0.695488020087852,0.200268771555921
"49","Colorado","linear_increase_sd","Past",2020-03-21,"cases",98,98,104,125,125,144,157,157,612,0.622707673293682,0.188232134301921
"50","Colorado","linear_increase_sd","Past",2020-03-21,"cumulative_infections",8631,8631,8989,9863,9833,11001,11345,11345,NA,0.622707673293682,0.188232134301921
"51","Colorado","linear_increase_sd","Past",2020-03-21,"deaths",1,1,1,2,1,2,2,2,14,0.622707673293682,0.188232134301921
"52","Colorado","linear_increase_sd","Past",2020-03-22,"cases",125,125,126,146,146,162,164,164,757,0.777347776173674,0.155472597156319
"53","Colorado","linear_increase_sd","Past",2020-03-22,"cumulative_infections",9872,9872,10213,11048,10996,12185,12617,12617,NA,0.777347776173674,0.155472597156319
"54","Colorado","linear_increase_sd","Past",2020-03-22,"deaths",1,1,1,2,2,2,2,2,16,0.777347776173674,0.155472597156319
"55","Colorado","linear_increase_sd","Past",2020-03-23,"cases",134,134,135,164,159,184,201,201,921,0.737774795168793,0.127518842142278
"56","Colorado","linear_increase_sd","Past",2020-03-23,"cumulative_infections",11563,11563,11836,12613,12485,13727,14296,14296,NA,0.737774795168793,0.127518842142278
"57","Colorado","linear_increase_sd","Past",2020-03-23,"deaths",2,2,2,3,2,3,3,3,18,0.737774795168793,0.127518842142278
"58","Colorado","linear_increase_sd","Past",2020-03-24,"cases",153,153,158,193,194,216,223,223,1114,0.747452857662709,0.111360092092148
"59","Colorado","linear_increase_sd","Past",2020-03-24,"cumulative_infections",13264,13264,13402,14158,13922,15227,15957,15957,NA,0.747452857662709,0.111360092092148
"60","Colorado","linear_increase_sd","Past",2020-03-24,"deaths",2,2,2,3,3,3,3,3,21,0.747452857662709,0.111360092092148
"61","Colorado","linear_increase_sd","Past",2020-03-25,"cases",197,197,204,220,212,247,250,250,1334,0.723602562096277,0.10397236114399
"62","Colorado","linear_increase_sd","Past",2020-03-25,"cumulative_infections",14981,14981,15024,15770,15468,16789,17700,17700,NA,0.723602562096277,0.10397236114399
"63","Colorado","linear_increase_sd","Past",2020-03-25,"deaths",2,2,2,4,3,4,4,4,24,0.723602562096277,0.10397236114399
"64","Colorado","linear_increase_sd","Past",2020-03-26,"cases",202,202,212,237,243,253,264,264,1570,0.749787128624983,0.090487887990891
"65","Colorado","linear_increase_sd","Past",2020-03-26,"cumulative_infections",16545,16545,16610,17363,16948,18381,19439,19439,NA,0.749787128624983,0.090487887990891
"66","Colorado","linear_increase_sd","Past",2020-03-26,"deaths",3,3,3,4,4,5,5,5,28,0.749787128624983,0.090487887990891
"67","Colorado","linear_increase_sd","Past",2020-03-27,"cases",220,220,234,261,267,287,290,290,1830,0.768700970103954,0.0785988478837421
"68","Colorado","linear_increase_sd","Past",2020-03-27,"cumulative_infections",18151,18151,18216,19039,18731,20075,21290,21290,NA,0.768700970103954,0.0785988478837421
"69","Colorado","linear_increase_sd","Past",2020-03-27,"deaths",4,4,4,5,5,5,6,6,32,0.768700970103954,0.0785988478837421
"70","Colorado","linear_increase_sd","Past",2020-03-28,"cases",242,242,243,287,292,320,329,329,2116,0.693671318784703,0.0785988478837421
"71","Colorado","linear_increase_sd","Past",2020-03-28,"cumulative_infections",19726,19726,19933,20778,20420,21832,23225,23225,NA,0.693671318784703,0.0785988478837421
"72","Colorado","linear_increase_sd","Past",2020-03-28,"deaths",5,5,5,6,5,6,7,7,38,0.693671318784703,0.0785988478837421
"73","Colorado","linear_increase_sd","Past",2020-03-29,"cases",260,260,282,320,324,356,361,361,2436,0.642984768812531,0.0732054840509604
"74","Colorado","linear_increase_sd","Past",2020-03-29,"cumulative_infections",21188,21188,21459,22353,21931,23429,24998,24998,NA,0.642984768812531,0.0732054840509604
"75","Colorado","linear_increase_sd","Past",2020-03-29,"deaths",5,5,5,6,6,7,7,7,44,0.642984768812531,0.0732054840509604
"76","Colorado","linear_increase_sd","Past",2020-03-30,"cases",286,286,309,346,350,391,394,394,2781,0.679404831891229,0.0732054840509604
"77","Colorado","linear_increase_sd","Past",2020-03-30,"cumulative_infections",22564,22564,22874,23814,23336,24899,26665,26665,NA,0.679404831891229,0.0732054840509604
"78","Colorado","linear_increase_sd","Past",2020-03-30,"deaths",6,6,7,8,8,9,9,9,51,0.679404831891229,0.0732054840509604
