"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Indiana","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.798022998479304,1
"2","Indiana","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.798022998479304,1
"3","Indiana","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.79329712642925,0.880797077977882
"4","Indiana","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.79329712642925,0.880797077977882
"5","Indiana","data","Past",2020-03-08,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.729708781518437,0.900249510880315
"6","Indiana","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.729708781518437,0.900249510880315
"7","Indiana","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.792464250069183,0.900249510880315
"8","Indiana","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.792464250069183,0.900249510880315
"9","Indiana","data","Past",2020-03-10,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.750284585408329,0.900249510880315
"10","Indiana","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.750284585408329,0.900249510880315
"11","Indiana","data","Past",2020-03-11,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.827665723210578,0.880797077977882
"12","Indiana","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.827665723210578,0.880797077977882
"13","Indiana","data","Past",2020-03-12,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.785150630976415,0.880797077977882
"14","Indiana","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.785150630976415,0.880797077977882
"15","Indiana","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.8307160615284,0.858148935099512
"16","Indiana","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.8307160615284,0.858148935099512
"17","Indiana","data","Past",2020-03-14,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.773343240544386,0.832018385133924
"18","Indiana","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.773343240544386,0.832018385133924
"19","Indiana","data","Past",2020-03-15,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.832318535766952,0.832018385133924
"20","Indiana","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.832318535766952,0.832018385133924
"21","Indiana","data","Past",2020-03-16,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.78761687778943,0.802183888558582
"22","Indiana","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.78761687778943,0.802183888558582
"23","Indiana","data","Past",2020-03-17,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.851062803642506,0.731058578630005
"24","Indiana","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.851062803642506,0.731058578630005
"25","Indiana","data","Past",2020-03-18,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.787532521534053,0.689974481127613
"26","Indiana","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.787532521534053,0.689974481127613
"27","Indiana","data","Past",2020-03-19,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.781535404973973,0.645656306225795
"28","Indiana","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.781535404973973,0.645656306225795
"29","Indiana","data","Past",2020-03-20,"daily_cases",NA,NA,NA,23,NA,NA,NA,NA,0.832325200506005,0.598687660112452
"30","Indiana","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.832325200506005,0.598687660112452
"31","Indiana","data","Past",2020-03-21,"daily_cases",NA,NA,NA,47,NA,NA,NA,NA,0.833239179162188,0.598687660112452
"32","Indiana","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.833239179162188,0.598687660112452
"33","Indiana","data","Past",2020-03-22,"daily_cases",NA,NA,NA,75,NA,NA,NA,NA,0.723445771875598,0.5
"34","Indiana","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.723445771875598,0.5
"35","Indiana","data","Past",2020-03-23,"daily_cases",NA,NA,NA,58,NA,NA,NA,NA,0.833954198473688,0.450166002687522
"36","Indiana","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.833954198473688,0.450166002687522
"37","Indiana","data","Past",2020-03-24,"daily_cases",NA,NA,NA,106,NA,NA,NA,NA,0.752392231550393,0.401312339887548
"38","Indiana","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.752392231550393,0.401312339887548
"39","Indiana","data","Past",2020-03-25,"daily_cases",NA,NA,NA,112,NA,NA,NA,NA,0.755535659859834,0.354343693774204
"40","Indiana","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.755535659859834,0.354343693774204
"41","Indiana","data","Past",2020-03-26,"daily_cases",NA,NA,NA,168,NA,NA,NA,NA,0.804650163563536,0.354343693774204
"42","Indiana","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.804650163563536,0.354343693774204
"43","Indiana","data","Past",2020-03-27,"daily_cases",NA,NA,NA,336,NA,NA,NA,NA,0.774998576278126,0.310025518872388
"44","Indiana","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.774998576278126,0.310025518872388
"45","Indiana","data","Past",2020-03-28,"daily_cases",NA,NA,NA,251,NA,NA,NA,NA,0.74453963167253,0.231475216500982
"46","Indiana","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.74453963167253,0.231475216500982
"47","Indiana","data","Past",2020-03-29,"daily_cases",NA,NA,NA,282,NA,NA,NA,NA,0.811030158323563,0.167981614866075
"48","Indiana","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.811030158323563,0.167981614866075
"49","Indiana","data","Past",2020-03-30,"daily_cases",NA,NA,NA,272,NA,NA,NA,NA,0.720854196980398,0.167981614866075
"50","Indiana","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.720854196980398,0.167981614866075
"51","Indiana","data","Past",2020-03-31,"daily_cases",NA,NA,NA,373,NA,NA,NA,NA,0.747936627207984,0.167981614866075
"52","Indiana","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA,0.747936627207984,0.167981614866075
"53","Indiana","data","Past",2020-04-01,"daily_cases",NA,NA,NA,406,NA,NA,NA,NA,0.815372993526105,0.167981614866075
