"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Louisiana","linear_increase_sd","Past",2020-03-07,"cases",0,0,0,0,0,0,0,0,0,0.901961010934915,1
"2","Louisiana","linear_increase_sd","Past",2020-03-07,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.901961010934915,1
"3","Louisiana","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.901961010934915,1
"4","Louisiana","linear_increase_sd","Past",2020-03-08,"cases",1,1,1,2,2,2,2,2,2,0.80556712348326,0.158869104880915
"5","Louisiana","linear_increase_sd","Past",2020-03-08,"cumulative_infections",219,219,219,256,227,321,321,321,NA,0.80556712348326,0.158869104880915
"6","Louisiana","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,0,0,0,0,0,0,0.80556712348326,0.158869104880915
"7","Louisiana","linear_increase_sd","Past",2020-03-09,"cases",2,2,2,3,2,3,3,3,4,0.760245823281571,0.158869104880915
"8","Louisiana","linear_increase_sd","Past",2020-03-09,"cumulative_infections",579,579,579,654,597,785,785,785,NA,0.760245823281571,0.158869104880915
"9","Louisiana","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,0,1,1,1,1,0.760245823281571,0.158869104880915
"10","Louisiana","linear_increase_sd","Past",2020-03-10,"cases",3,3,3,4,3,6,6,6,8,0.874028777240452,0.158869104880915
"11","Louisiana","linear_increase_sd","Past",2020-03-10,"cumulative_infections",1077,1077,1077,1183,1097,1375,1375,1375,NA,0.874028777240452,0.158869104880915
"12","Louisiana","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,0,1,1,1,1,0.874028777240452,0.158869104880915
"13","Louisiana","linear_increase_sd","Past",2020-03-11,"cases",5,5,5,7,5,11,11,11,15,0.816240813344304,0.119202922022118
"14","Louisiana","linear_increase_sd","Past",2020-03-11,"cumulative_infections",1862,1862,1862,2015,1902,2279,2279,2279,NA,0.816240813344304,0.119202922022118
"15","Louisiana","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,2,0.816240813344304,0.119202922022118
"16","Louisiana","linear_increase_sd","Past",2020-03-12,"cases",9,9,9,11,9,14,14,14,26,0.821429182636999,0.0883996772070584
"17","Louisiana","linear_increase_sd","Past",2020-03-12,"cumulative_infections",2785,2785,2785,3052,2978,3391,3391,3391,NA,0.821429182636999,0.0883996772070584
"18","Louisiana","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,3,0.821429182636999,0.0883996772070584
"19","Louisiana","linear_increase_sd","Past",2020-03-13,"cases",18,18,18,20,18,22,22,22,45,0.773441044648821,0.0649691691286641
"20","Louisiana","linear_increase_sd","Past",2020-03-13,"cumulative_infections",3957,3957,3957,4392,4429,4790,4790,4790,NA,0.773441044648821,0.0649691691286641
"21","Louisiana","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,4,0.773441044648821,0.0649691691286641
"22","Louisiana","linear_increase_sd","Past",2020-03-14,"cases",30,30,30,31,31,32,32,32,76,0.73620349952637,0.0649691691286641
"23","Louisiana","linear_increase_sd","Past",2020-03-14,"cumulative_infections",5323,5323,5323,5968,6196,6384,6384,6384,NA,0.73620349952637,0.0649691691286641
"24","Louisiana","linear_increase_sd","Past",2020-03-14,"deaths",1,1,1,1,1,1,1,1,5,0.73620349952637,0.0649691691286641
"25","Louisiana","linear_increase_sd","Past",2020-03-15,"cases",47,47,47,51,50,55,55,55,127,0.784316698776703,0.0474258731775668
