"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Michigan","linear_increase_sd","Past",2020-03-01,"cases",0,0,0,0,0,0,0,0,0,0.627809486972827,1
"2","Michigan","linear_increase_sd","Past",2020-03-01,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.627809486972827,1
"3","Michigan","linear_increase_sd","Past",2020-03-01,"deaths",0,0,0,0,0,0,0,0,0,0.627809486972827,1
"4","Michigan","linear_increase_sd","Past",2020-03-02,"cases",2,2,2,2,2,2,2,2,2,0.660588056857351,0.841130895119085
"5","Michigan","linear_increase_sd","Past",2020-03-02,"cumulative_infections",214,214,214,238,223,276,276,276,NA,0.660588056857351,0.841130895119085
"6","Michigan","linear_increase_sd","Past",2020-03-02,"deaths",0,0,0,0,0,0,0,0,0,0.660588056857351,0.841130895119085
"7","Michigan","linear_increase_sd","Past",2020-03-03,"cases",6,6,6,7,6,7,7,7,9,0.700165013274782,0.791391472673955
"8","Michigan","linear_increase_sd","Past",2020-03-03,"cumulative_infections",652,652,652,704,663,795,795,795,NA,0.700165013274782,0.791391472673955
"9","Michigan","linear_increase_sd","Past",2020-03-03,"deaths",0,0,0,0,0,0,0,0,0,0.700165013274782,0.791391472673955
"10","Michigan","linear_increase_sd","Past",2020-03-04,"cases",16,16,16,18,16,20,20,20,26,0.690713250210742,0.791391472673955
"11","Michigan","linear_increase_sd","Past",2020-03-04,"cumulative_infections",1316,1316,1316,1392,1324,1534,1534,1534,NA,0.690713250210742,0.791391472673955
"12","Michigan","linear_increase_sd","Past",2020-03-04,"deaths",0,0,0,1,1,1,1,1,1,0.690713250210742,0.791391472673955
"13","Michigan","linear_increase_sd","Past",2020-03-05,"cases",23,23,23,29,30,32,32,32,54,0.770499519028161,0.791391472673955
"14","Michigan","linear_increase_sd","Past",2020-03-05,"cumulative_infections",2142,2142,2142,2236,2146,2420,2420,2420,NA,0.770499519028161,0.791391472673955
"15","Michigan","linear_increase_sd","Past",2020-03-05,"deaths",1,1,1,1,1,1,1,1,2,0.770499519028161,0.791391472673955
"16","Michigan","linear_increase_sd","Past",2020-03-06,"cases",31,31,31,34,33,38,38,38,88,0.648626563513865,0.791391472673955
"17","Michigan","linear_increase_sd","Past",2020-03-06,"cumulative_infections",3229,3229,3229,3341,3242,3550,3550,3550,NA,0.648626563513865,0.791391472673955
"18","Michigan","linear_increase_sd","Past",2020-03-06,"deaths",1,1,1,1,1,1,1,1,3,0.648626563513865,0.791391472673955
"19","Michigan","linear_increase_sd","Past",2020-03-07,"cases",39,39,39,43,42,46,46,46,131,0.693435995933339,0.731058578630005
"20","Michigan","linear_increase_sd","Past",2020-03-07,"cumulative_infections",4289,4289,4289,4409,4312,4626,4626,4626,NA,0.693435995933339,0.731058578630005
"21","Michigan","linear_increase_sd","Past",2020-03-07,"deaths",1,1,1,1,1,1,1,1,4,0.693435995933339,0.731058578630005
"22","Michigan","linear_increase_sd","Past",2020-03-08,"cases",53,53,53,61,64,66,66,66,192,0.697979571096193,0.731058578630005
"23","Michigan","linear_increase_sd","Past",2020-03-08,"cumulative_infections",5595,5595,5595,5718,5630,5927,5927,5927,NA,0.697979571096193,0.731058578630005
"24","Michigan","linear_increase_sd","Past",2020-03-08,"deaths",1,1,1,1,1,1,1,1,5,0.697979571096193,0.731058578630005
"25","Michigan","linear_increase_sd","Past",2020-03-09,"cases",65,65,65,72,72,77,77,77,263,0.77836364333933,0.660756368765817
"26","Michigan","linear_increase_sd","Past",2020-03-09,"cumulative_infections",7115,7115,7115,7228,7165,7402,7402,7402,NA,0.77836364333933,0.660756368765817
"27","Michigan","linear_increase_sd","Past",2020-03-09,"deaths",1,1,1,1,1,1,1,1,6,0.77836364333933,0.660756368765817
"28","Michigan","linear_increase_sd","Past",2020-03-10,"cases",90,90,90,94,92,98,98,98,356,0.764646319598191,0.660756368765817
"29","Michigan","linear_increase_sd","Past",2020-03-10,"cumulative_infections",9050,9050,9050,9145,9133,9250,9250,9250,NA,0.764646319598191,0.660756368765817
"30","Michigan","linear_increase_sd","Past",2020-03-10,"deaths",1,1,1,1,1,1,1,1,7,0.764646319598191,0.660756368765817
"31","Michigan","linear_increase_sd","Past",2020-03-11,"cases",107,107,107,113,110,121,121,121,469,0.619870668617864,0.582570206462315
"32","Michigan","linear_increase_sd","Past",2020-03-11,"cumulative_infections",11199,11199,11199,11267,11272,11330,11330,11330,NA,0.619870668617864,0.582570206462315
"33","Michigan","linear_increase_sd","Past",2020-03-11,"deaths",1,1,1,2,2,2,2,2,9,0.619870668617864,0.582570206462315
"34","Michigan","linear_increase_sd","Past",2020-03-12,"cases",134,134,134,145,147,154,154,154,614,0.818369906596909,0.5
"35","Michigan","linear_increase_sd","Past",2020-03-12,"cumulative_infections",13085,13085,13085,13179,13155,13295,13295,13295,NA,0.818369906596909,0.5
"36","Michigan","linear_increase_sd","Past",2020-03-12,"deaths",2,2,2,2,2,2,2,2,11,0.818369906596909,0.5
"37","Michigan","linear_increase_sd","Past",2020-03-13,"cases",164,164,164,170,164,180,180,180,783,0.793463807403845,0.5
"38","Michigan","linear_increase_sd","Past",2020-03-13,"cumulative_infections",15731,15731,15731,15977,16019,16181,16181,16181,NA,0.793463807403845,0.5
"39","Michigan","linear_increase_sd","Past",2020-03-13,"deaths",3,3,3,3,3,3,3,3,14,0.793463807403845,0.5
