"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Missouri","linear_increase_sd","Past",2020-03-07,"cases",0,0,0,0,0,0,0,0,0,0.902876167510582,1
"2","Missouri","linear_increase_sd","Past",2020-03-07,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.902876167510582,1
"3","Missouri","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.902876167510582,1
"4","Missouri","linear_increase_sd","Past",2020-03-08,"cases",1,2,2,2,2,2,2,2,2,0.835153959931107,0.98265641844835
"5","Missouri","linear_increase_sd","Past",2020-03-08,"cumulative_infections",14,17,18,20,19,21,22,23,NA,0.835153959931107,0.98265641844835
"6","Missouri","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,0,0,0,0,0,0,0.835153959931107,0.98265641844835
"7","Missouri","linear_increase_sd","Past",2020-03-09,"cases",1,1,1,2,2,2,2,2,4,0.806515063167212,0.980657640522868
"8","Missouri","linear_increase_sd","Past",2020-03-09,"cumulative_infections",30,33,34,39,38,45,46,47,NA,0.806515063167212,0.980657640522868
"9","Missouri","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,0,1,1,1,1,0.806515063167212,0.980657640522868
"10","Missouri","linear_increase_sd","Past",2020-03-10,"cases",1,1,1,2,1,2,2,2,5,0.812514678108306,0.977638030806456
"11","Missouri","linear_increase_sd","Past",2020-03-10,"cumulative_infections",51,51,51,62,61,72,76,76,NA,0.812514678108306,0.977638030806456
"12","Missouri","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,0,1,1,1,1,0.812514678108306,0.977638030806456
"13","Missouri","linear_increase_sd","Past",2020-03-11,"cases",1,1,1,2,1,1,2,2,7,0.875269285908001,0.977638030806456
"14","Missouri","linear_increase_sd","Past",2020-03-11,"cumulative_infections",75,77,78,95,93,111,117,119,NA,0.875269285908001,0.977638030806456
"15","Missouri","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,2,0.875269285908001,0.977638030806456
"16","Missouri","linear_increase_sd","Past",2020-03-12,"cases",1,1,1,1,1,1,1,1,8,0.792849390043119,0.973210557678479
"17","Missouri","linear_increase_sd","Past",2020-03-12,"cumulative_infections",114,116,119,146,144,178,180,184,NA,0.792849390043119,0.973210557678479
"18","Missouri","linear_increase_sd","Past",2020-03-12,"deaths",0,0,1,1,1,1,1,1,3,0.792849390043119,0.973210557678479
"19","Missouri","linear_increase_sd","Past",2020-03-13,"cases",1,1,1,2,1,2,2,2,9,0.78560475556371,0.966765593173901
"20","Missouri","linear_increase_sd","Past",2020-03-13,"cumulative_infections",167,168,171,214,212,260,269,270,NA,0.78560475556371,0.966765593173901
"21","Missouri","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,4,0.78560475556371,0.966765593173901
"22","Missouri","linear_increase_sd","Past",2020-03-14,"cases",2,2,2,3,2,2,3,3,11,0.822041663659778,0.960272947485723
"23","Missouri","linear_increase_sd","Past",2020-03-14,"cumulative_infections",240,244,246,309,305,369,389,394,NA,0.822041663659778,0.960272947485723
"24","Missouri","linear_increase_sd","Past",2020-03-14,"deaths",0,1,1,1,1,1,1,1,5,0.822041663659778,0.960272947485723
"25","Missouri","linear_increase_sd","Past",2020-03-15,"cases",2,2,2,3,3,3,4,4,14,0.90934452113753,0.945414328456649
"26","Missouri","linear_increase_sd","Past",2020-03-15,"cumulative_infections",344,354,363,449,444,520,563,580,NA,0.90934452113753,0.945414328456649
"27","Missouri","linear_increase_sd","Past",2020-03-15,"deaths",0,1,1,1,1,1,1,1,6,0.90934452113753,0.945414328456649
"28","Missouri","linear_increase_sd","Past",2020-03-16,"cases",3,3,3,5,4,5,5,6,18,0.832973073735528,0.930383327326929
"29","Missouri","linear_increase_sd","Past",2020-03-16,"cumulative_infections",508,521,532,665,667,764,823,863,NA,0.832973073735528,0.930383327326929
"30","Missouri","linear_increase_sd","Past",2020-03-16,"deaths",1,1,1,1,1,1,1,1,7,0.832973073735528,0.930383327326929
"31","Missouri","linear_increase_sd","Past",2020-03-17,"cases",5,5,5,6,6,7,7,9,24,0.787154139666003,0.898911224579901
