"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Nevada","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.588783921321133,1
"2","Nevada","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.588783921321133,1
"3","Nevada","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.601285403727144,0.927945856381436
"4","Nevada","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.601285403727144,0.927945856381436
"5","Nevada","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.69918002616971,0.935030830871336
"6","Nevada","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.69918002616971,0.935030830871336
"7","Nevada","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.622006000832671,0.927945856381436
"8","Nevada","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.622006000832671,0.927945856381436
"9","Nevada","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.648932469660465,0.902227400149201
"10","Nevada","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.648932469660465,0.902227400149201
"11","Nevada","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.625702744227873,0.891978438656581
"12","Nevada","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.625702744227873,0.891978438656581
"13","Nevada","data","Past",2020-03-11,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.612180099744794,0.891978438656581
"14","Nevada","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.612180099744794,0.891978438656581
"15","Nevada","data","Past",2020-03-12,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.654919103868213,0.891978438656581
"16","Nevada","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.654919103868213,0.891978438656581
"17","Nevada","data","Past",2020-03-13,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.596814426087185,0.855422249534123
"18","Nevada","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.596814426087185,0.855422249534123
"19","Nevada","data","Past",2020-03-14,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.655603614850323,0.841130895119085
"20","Nevada","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.655603614850323,0.841130895119085
"21","Nevada","data","Past",2020-03-15,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.666255279080799,0.841130895119085
"22","Nevada","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.666255279080799,0.841130895119085
"23","Nevada","data","Past",2020-03-16,"daily_cases",NA,NA,NA,24,NA,NA,NA,NA,0.704923261912988,0.825714678821415
"24","Nevada","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.704923261912988,0.825714678821415
"25","Nevada","data","Past",2020-03-17,"daily_cases",NA,NA,NA,10,NA,NA,NA,NA,0.664653818840846,0.791391472673955
"26","Nevada","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.664653818840846,0.791391472673955
"27","Nevada","data","Past",2020-03-18,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.655553018925903,0.731058578630005
"28","Nevada","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.655553018925903,0.731058578630005
"29","Nevada","data","Past",2020-03-19,"daily_cases",NA,NA,NA,40,NA,NA,NA,NA,0.652115777776021,0.708660825029436
"30","Nevada","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.652115777776021,0.708660825029436
"31","Nevada","data","Past",2020-03-20,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.648008339672793,0.685200976665316
"32","Nevada","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.648008339672793,0.685200976665316
"33","Nevada","data","Past",2020-03-21,"daily_cases",NA,NA,NA,15,NA,NA,NA,NA,0.594525592744985,0.635423559258361
"34","Nevada","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.594525592744985,0.635423559258361
"35","Nevada","data","Past",2020-03-22,"daily_cases",NA,NA,NA,66,NA,NA,NA,NA,0.622665891020112,0.582570206462315
"36","Nevada","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.622665891020112,0.582570206462315
"37","Nevada","data","Past",2020-03-23,"daily_cases",NA,NA,NA,55,NA,NA,NA,NA,0.625990180124818,0.5
"38","Nevada","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.625990180124818,0.5
"39","Nevada","data","Past",2020-03-24,"daily_cases",NA,NA,NA,33,NA,NA,NA,NA,0.650556991168858,0.472250764945487
"40","Nevada","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.650556991168858,0.472250764945487
"41","Nevada","data","Past",2020-03-25,"daily_cases",NA,NA,NA,43,NA,NA,NA,NA,0.642497182511672,0.472250764945487
"42","Nevada","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.642497182511672,0.472250764945487
"43","Nevada","data","Past",2020-03-26,"daily_cases",NA,NA,NA,99,NA,NA,NA,NA,0.592636817723472,0.417429793537685
"44","Nevada","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.592636817723472,0.417429793537685
"45","Nevada","data","Past",2020-03-27,"daily_cases",NA,NA,NA,115,NA,NA,NA,NA,0.649575236602346,0.339243631234183
"46","Nevada","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.649575236602346,0.339243631234183
"47","Nevada","data","Past",2020-03-28,"daily_cases",NA,NA,NA,86,NA,NA,NA,NA,0.788993860653355,0.314799023334684
"48","Nevada","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.788993860653355,0.314799023334684
"49","Nevada","data","Past",2020-03-29,"daily_cases",NA,NA,NA,117,NA,NA,NA,NA,0.606645461900012,0.291339174970564
"50","Nevada","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.606645461900012,0.291339174970564
"51","Nevada","data","Past",2020-03-30,"daily_cases",NA,NA,NA,270,NA,NA,NA,NA,0.588531809894044,0.268941421369995
"52","Nevada","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.588531809894044,0.268941421369995
"53","Nevada","data","Past",2020-03-31,"daily_cases",NA,NA,NA,105,NA,NA,NA,NA,0.588448339379048,0.227545617192816
"54","Nevada","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.588448339379048,0.227545617192816
"55","Nevada","data","Past",2020-04-01,"daily_cases",NA,NA,NA,166,NA,NA,NA,NA,0.751106940092046,0.208608527326045
"56","Nevada","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA,0.751106940092046,0.208608527326045
"57","Nevada","data","Past",2020-04-02,"daily_cases",NA,NA,NA,179,NA,NA,NA,NA,0.63578221230583,0.174285321178585
"58","Nevada","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA,0.63578221230583,0.174285321178585
"59","Nevada","data","Past",2020-04-03,"daily_cases",NA,NA,NA,56,NA,NA,NA,NA,0.622570968645176,0.174285321178585
"60","Nevada","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.622570968645176,0.174285321178585
"61","Nevada","data","Past",2020-04-04,"daily_cases",NA,NA,NA,228,NA,NA,NA,NA,0.626153803548143,0.174285321178585
"62","Nevada","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.626153803548143,0.174285321178585
"63","Nevada","data","Past",2020-04-05,"daily_cases",NA,NA,NA,94,NA,NA,NA,NA,0.608117677793566,0.174285321178585
"64","Nevada","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.608117677793566,0.174285321178585
"65","Nevada","data","Past",2020-04-06,"daily_cases",NA,NA,NA,117,NA,NA,NA,NA,0.703927387455514,0.174285321178585
"66","Nevada","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.703927387455514,0.174285321178585
"67","Nevada","data","Past",2020-04-07,"daily_cases",NA,NA,NA,134,NA,NA,NA,NA,0.607697331495781,0.174285321178585
"68","Nevada","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA,0.607697331495781,0.174285321178585
"69","Nevada","data","Past",2020-04-08,"daily_cases",NA,NA,NA,231,NA,NA,NA,NA,0.626608418496614,0.174285321178585
"70","Nevada","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.626608418496614,0.174285321178585
"71","Nevada","data","Past",2020-04-09,"daily_cases",NA,NA,NA,138,NA,NA,NA,NA,0.720745587844617,0.174285321178585
"72","Nevada","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA,0.720745587844617,0.174285321178585
"73","Nevada","data","Past",2020-04-10,"daily_cases",NA,NA,NA,128,NA,NA,NA,NA,0.660895920025293,0.174285321178585
"74","Nevada","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.660895920025293,0.174285321178585
"75","Nevada","data","Past",2020-04-11,"daily_cases",NA,NA,NA,116,NA,NA,NA,NA,0.601114415969912,0.174285321178585
"76","Nevada","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,16,NA,NA,NA,NA,0.601114415969912,0.174285321178585
"77","Nevada","data","Past",2020-04-12,"daily_cases",NA,NA,NA,136,NA,NA,NA,NA,0.619183453254276,0.174285321178585
"78","Nevada","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,10,NA,NA,NA,NA,0.619183453254276,0.174285321178585
"79","Nevada","data","Past",2020-04-13,"daily_cases",NA,NA,NA,135,NA,NA,NA,NA,0.598853635300286,0.208608527326045
"80","Nevada","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.598853635300286,0.208608527326045
"81","Nevada","data","Past",2020-04-14,"daily_cases",NA,NA,NA,117,NA,NA,NA,NA,0.670062758916134,0.227545617192816
"82","Nevada","data","Past",2020-04-14,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.670062758916134,0.227545617192816
"83","Nevada","data","Past",2020-04-15,"daily_cases",NA,NA,NA,123,NA,NA,NA,NA,0.622792217478033,0.247663801139072
"84","Nevada","data","Past",2020-04-15,"daily_deaths",NA,NA,NA,11,NA,NA,NA,NA,0.622792217478033,0.247663801139072
"85","Nevada","data","Past",2020-04-16,"daily_cases",NA,NA,NA,110,NA,NA,NA,NA,0.608604776322299,0.247663801139072
"86","Nevada","data","Past",2020-04-16,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.608604776322299,0.247663801139072
"87","Nevada","data","Past",2020-04-17,"daily_cases",NA,NA,NA,203,NA,NA,NA,NA,0.660003062596653,0.247663801139072
"88","Nevada","data","Past",2020-04-17,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.660003062596653,0.247663801139072
"89","Nevada","data","Past",2020-04-18,"daily_cases",NA,NA,NA,102,NA,NA,NA,NA,0.588847273975312,0.247663801139072
"90","Nevada","data","Past",2020-04-18,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA,0.588847273975312,0.247663801139072
"91","Nevada","data","Past",2020-04-19,"daily_cases",NA,NA,NA,102,NA,NA,NA,NA,0.583749933895348,0.247663801139072
"92","Nevada","data","Past",2020-04-19,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.583749933895348,0.247663801139072
"93","Nevada","data","Past",2020-04-20,"daily_cases",NA,NA,NA,102,NA,NA,NA,NA,0.662227874722896,0.227545617192816
"94","Nevada","data","Past",2020-04-20,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.662227874722896,0.227545617192816
"95","Nevada","data","Past",2020-04-21,"daily_cases",NA,NA,NA,107,NA,NA,NA,NA,0.590393532187805,0.227545617192816
"96","Nevada","data","Past",2020-04-21,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.590393532187805,0.227545617192816
"97","Nevada","data","Past",2020-04-22,"daily_cases",NA,NA,NA,144,NA,NA,NA,NA,0.633395179553,0.227545617192816
"98","Nevada","data","Past",2020-04-22,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA,0.633395179553,0.227545617192816
"99","Nevada","data","Past",2020-04-23,"daily_cases",NA,NA,NA,127,NA,NA,NA,NA,0.596371125711377,0.190858044244865
"100","Nevada","data","Past",2020-04-23,"daily_deaths",NA,NA,NA,17,NA,NA,NA,NA,0.596371125711377,0.190858044244865
"101","Nevada","data","Past",2020-04-24,"daily_cases",NA,NA,NA,190,NA,NA,NA,NA,0.652366893885082,0.190858044244865
"102","Nevada","data","Past",2020-04-24,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA,0.652366893885082,0.190858044244865
"103","Nevada","data","Past",2020-04-25,"daily_cases",NA,NA,NA,141,NA,NA,NA,NA,0.582586526542263,0.190858044244865
"104","Nevada","data","Past",2020-04-25,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.582586526542263,0.190858044244865
"105","Nevada","data","Past",2020-04-26,"daily_cases",NA,NA,NA,63,NA,NA,NA,NA,0.698436029493372,0.190858044244865
"106","Nevada","data","Past",2020-04-26,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.698436029493372,0.190858044244865
"107","Nevada","data","Past",2020-04-27,"daily_cases",NA,NA,NA,88,NA,NA,NA,NA,0.589378056989908,0.174285321178585
"108","Nevada","data","Past",2020-04-27,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.589378056989908,0.174285321178585
"109","Nevada","data","Past",2020-04-28,"daily_cases",NA,NA,NA,115,NA,NA,NA,NA,0.707052852733449,0.174285321178585
"110","Nevada","data","Past",2020-04-28,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.707052852733449,0.174285321178585
"111","Nevada","data","Past",2020-04-29,"daily_cases",NA,NA,NA,93,NA,NA,NA,NA,0.707067699648859,0.174285321178585
"112","Nevada","data","Past",2020-04-29,"daily_deaths",NA,NA,NA,11,NA,NA,NA,NA,0.707067699648859,0.174285321178585
"113","Nevada","data","Past",2020-04-30,"daily_cases",NA,NA,NA,100,NA,NA,NA,NA,0.644791815299595,0.174285321178585
"114","Nevada","data","Past",2020-04-30,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.644791815299595,0.174285321178585
"115","Nevada","data","Past",2020-05-01,"daily_cases",NA,NA,NA,229,NA,NA,NA,NA,0.594542076587303,0.174285321178585
"116","Nevada","data","Past",2020-05-01,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.594542076587303,0.174285321178585
"117","Nevada","data","Past",2020-05-02,"daily_cases",NA,NA,NA,84,NA,NA,NA,NA,0.594531564091716,0.174285321178585
"118","Nevada","data","Past",2020-05-02,"daily_deaths",NA,NA,NA,11,NA,NA,NA,NA,0.594531564091716,0.174285321178585
"119","Nevada","data","Past",2020-05-03,"daily_cases",NA,NA,NA,115,NA,NA,NA,NA,0.590226292643515,0.174285321178585
"120","Nevada","data","Past",2020-05-03,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.590226292643515,0.174285321178585
"121","Nevada","data","Past",2020-05-04,"daily_cases",NA,NA,NA,65,NA,NA,NA,NA,0.584239573078048,0.190858044244865
"122","Nevada","data","Past",2020-05-04,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.584239573078048,0.190858044244865
"123","Nevada","data","Past",2020-05-05,"daily_cases",NA,NA,NA,103,NA,NA,NA,NA,0.636799613601514,0.190858044244865
"124","Nevada","data","Past",2020-05-05,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.636799613601514,0.190858044244865
"125","Nevada","data","Past",2020-05-06,"daily_cases",NA,NA,NA,69,NA,NA,NA,NA,0.623259775914048,0.227545617192816
"126","Nevada","data","Past",2020-05-06,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA,0.623259775914048,0.227545617192816
"127","Nevada","data","Past",2020-05-07,"daily_cases",NA,NA,NA,103,NA,NA,NA,NA,0.624719724657575,0.247663801139072
"128","Nevada","data","Past",2020-05-07,"daily_deaths",NA,NA,NA,10,NA,NA,NA,NA,0.624719724657575,0.247663801139072
"129","Nevada","data","Past",2020-05-08,"daily_cases",NA,NA,NA,118,NA,NA,NA,NA,0.651733111171215,0.247663801139072
"130","Nevada","data","Past",2020-05-08,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.651733111171215,0.247663801139072
"131","Nevada","data","Past",2020-05-09,"daily_cases",NA,NA,NA,144,NA,NA,NA,NA,0.630310425919871,0.247663801139072
"132","Nevada","data","Past",2020-05-09,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA,0.630310425919871,0.247663801139072
"133","Nevada","data","Past",2020-05-10,"daily_cases",NA,NA,NA,70,NA,NA,NA,NA,0.668872172281132,0.247663801139072
"134","Nevada","data","Past",2020-05-10,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.668872172281132,0.247663801139072
"135","Nevada","data","Past",2020-05-11,"daily_cases",NA,NA,NA,54,NA,NA,NA,NA,0.653532058854906,0.247663801139072
"136","Nevada","data","Past",2020-05-11,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.653532058854906,0.247663801139072
"137","Nevada","data","Past",2020-05-12,"daily_cases",NA,NA,NA,159,NA,NA,NA,NA,0.651709935795066,0.247663801139072
"138","Nevada","data","Past",2020-05-12,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.651709935795066,0.247663801139072
"139","Nevada","data","Past",2020-05-13,"daily_cases",NA,NA,NA,83,NA,NA,NA,NA,0.649468355527697,0.247663801139072
"140","Nevada","data","Past",2020-05-13,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA,0.649468355527697,0.247663801139072
"141","Nevada","data","Past",2020-05-14,"daily_cases",NA,NA,NA,105,NA,NA,NA,NA,0.616882908005111,0.247663801139072
"142","Nevada","data","Past",2020-05-14,"daily_deaths",NA,NA,NA,10,NA,NA,NA,NA,0.616882908005111,0.247663801139072
"143","Nevada","data","Past",2020-05-15,"daily_cases",NA,NA,NA,115,NA,NA,NA,NA,0.620163633667971,0.247663801139072
"144","Nevada","data","Past",2020-05-15,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA,0.620163633667971,0.247663801139072
"145","Nevada","data","Past",2020-05-16,"daily_cases",NA,NA,NA,48,NA,NA,NA,NA,0.659107401939081,0.247663801139072
"146","Nevada","data","Past",2020-05-16,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.659107401939081,0.247663801139072
"147","Nevada","data","Past",2020-05-17,"daily_cases",NA,NA,NA,195,NA,NA,NA,NA,0.592868962620478,0.247663801139072
"148","Nevada","data","Past",2020-05-17,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.592868962620478,0.247663801139072
"149","Nevada","data","Past",2020-05-18,"daily_cases",NA,NA,NA,49,NA,NA,NA,NA,0.674543409419046,0.247663801139072
"150","Nevada","data","Past",2020-05-18,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.674543409419046,0.247663801139072
"151","Nevada","data","Past",2020-05-19,"daily_cases",NA,NA,NA,140,NA,NA,NA,NA,0.621307646691139,0.247663801139072
"152","Nevada","data","Past",2020-05-19,"daily_deaths",NA,NA,NA,15,NA,NA,NA,NA,0.621307646691139,0.247663801139072
"153","Nevada","data","Past",2020-05-20,"daily_cases",NA,NA,NA,120,NA,NA,NA,NA,0.594163324400044,0.247663801139072
"154","Nevada","data","Past",2020-05-20,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA,0.594163324400044,0.247663801139072
"155","Nevada","data","Past",2020-05-21,"daily_cases",NA,NA,NA,89,NA,NA,NA,NA,0.590662545242665,0.247663801139072
"156","Nevada","data","Past",2020-05-21,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.590662545242665,0.247663801139072
