"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","New Jersey","linear_increase_sd","Past",2020-03-05,"cases",0,0,0,0,0,0,0,0,0,0.836281324486935,1
"2","New Jersey","linear_increase_sd","Past",2020-03-05,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.836281324486935,1
"3","New Jersey","linear_increase_sd","Past",2020-03-05,"deaths",0,0,0,0,0,0,0,0,0,0.836281324486935,1
"4","New Jersey","linear_increase_sd","Past",2020-03-06,"cases",2,2,2,2,2,2,2,2,2,0.653552016271316,0.660756368765817
"5","New Jersey","linear_increase_sd","Past",2020-03-06,"cumulative_infections",76,76,76,88,83,103,103,103,NA,0.653552016271316,0.660756368765817
"6","New Jersey","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.653552016271316,0.660756368765817
"7","New Jersey","linear_increase_sd","Past",2020-03-07,"cases",2,2,2,3,2,3,3,3,5,0.681675738084718,0.731058578630005
"8","New Jersey","linear_increase_sd","Past",2020-03-07,"cumulative_infections",203,203,203,222,209,252,252,252,NA,0.681675738084718,0.731058578630005
"9","New Jersey","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.681675738084718,0.731058578630005
"10","New Jersey","linear_increase_sd","Past",2020-03-08,"cases",3,3,3,4,3,4,4,4,8,0.620257305104778,0.731058578630005
"11","New Jersey","linear_increase_sd","Past",2020-03-08,"cumulative_infections",419,419,419,441,420,484,484,484,NA,0.620257305104778,0.731058578630005
"12","New Jersey","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,0,1,1,1,1,0.620257305104778,0.731058578630005
"13","New Jersey","linear_increase_sd","Past",2020-03-09,"cases",4,4,4,5,5,6,6,6,13,0.592800418029192,0.731058578630005
"14","New Jersey","linear_increase_sd","Past",2020-03-09,"cumulative_infections",700,700,700,735,713,791,791,791,NA,0.592800418029192,0.731058578630005
"15","New Jersey","linear_increase_sd","Past",2020-03-09,"deaths",1,1,1,1,1,1,1,1,2,0.592800418029192,0.731058578630005
"16","New Jersey","linear_increase_sd","Past",2020-03-10,"cases",6,6,6,7,6,7,7,7,19,0.615352748607249,0.731058578630005
"17","New Jersey","linear_increase_sd","Past",2020-03-10,"cumulative_infections",1088,1088,1088,1134,1105,1208,1208,1208,NA,0.615352748607249,0.731058578630005
"18","New Jersey","linear_increase_sd","Past",2020-03-10,"deaths",1,1,1,1,1,1,1,1,3,0.615352748607249,0.731058578630005
"19","New Jersey","linear_increase_sd","Past",2020-03-11,"cases",8,8,8,9,9,9,9,9,28,0.686414594564729,0.731058578630005
"20","New Jersey","linear_increase_sd","Past",2020-03-11,"cumulative_infections",1654,1654,1654,1711,1670,1808,1808,1808,NA,0.686414594564729,0.731058578630005
"21","New Jersey","linear_increase_sd","Past",2020-03-11,"deaths",1,1,1,1,1,1,1,1,4,0.686414594564729,0.731058578630005
"22","New Jersey","linear_increase_sd","Past",2020-03-12,"cases",13,13,13,14,13,14,14,14,41,0.68957339549778,0.731058578630005
"23","New Jersey","linear_increase_sd","Past",2020-03-12,"cumulative_infections",2575,2575,2575,2635,2577,2752,2752,2752,NA,0.68957339549778,0.731058578630005
"24","New Jersey","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,5,0.68957339549778,0.731058578630005
"25","New Jersey","linear_increase_sd","Past",2020-03-13,"cases",19,19,19,20,20,21,21,21,61,0.621815493689634,0.731058578630005
"26","New Jersey","linear_increase_sd","Past",2020-03-13,"cumulative_infections",3842,3842,3842,3932,3884,4069,4069,4069,NA,0.621815493689634,0.731058578630005
"27","New Jersey","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,6,0.621815493689634,0.731058578630005
"28","New Jersey","linear_increase_sd","Past",2020-03-14,"cases",31,31,31,32,31,32,32,32,93,0.683092715298394,0.731058578630005
"29","New Jersey","linear_increase_sd","Past",2020-03-14,"cumulative_infections",5412,5412,5412,5540,5520,5687,5687,5687,NA,0.683092715298394,0.731058578630005
"30","New Jersey","linear_increase_sd","Past",2020-03-14,"deaths",1,1,1,1,1,1,1,1,7,0.683092715298394,0.731058578630005
"31","New Jersey","linear_increase_sd","Past",2020-03-15,"cases",45,45,45,46,46,47,47,47,139,0.702952033497176,0.582570206462315
"32","New Jersey","linear_increase_sd","Past",2020-03-15,"cumulative_infections",7812,7812,7812,7992,8055,8109,8109,8109,NA,0.702952033497176,0.582570206462315
"33","New Jersey","linear_increase_sd","Past",2020-03-15,"deaths",1,1,1,1,1,1,1,1,8,0.702952033497176,0.582570206462315
"34","New Jersey","linear_increase_sd","Past",2020-03-16,"cases",71,71,71,73,72,74,74,74,211,0.797141438658803,0.582570206462315
"35","New Jersey","linear_increase_sd","Past",2020-03-16,"cumulative_infections",11091,11091,11091,11397,11471,11628,11628,11628,NA,0.797141438658803,0.582570206462315
"36","New Jersey","linear_increase_sd","Past",2020-03-16,"deaths",1,1,1,1,1,1,1,1,9,0.797141438658803,0.582570206462315
"37","New Jersey","linear_increase_sd","Past",2020-03-17,"cases",102,102,102,108,108,114,114,114,319,0.595783584984417,0.582570206462315
"38","New Jersey","linear_increase_sd","Past",2020-03-17,"cumulative_infections",16048,16048,16048,16538,16569,16996,16996,16996,NA,0.595783584984417,0.582570206462315
"39","New Jersey","linear_increase_sd","Past",2020-03-17,"deaths",1,1,1,1,1,1,1,1,10,0.595783584984417,0.582570206462315
"40","New Jersey","linear_increase_sd","Past",2020-03-18,"cases",156,156,156,166,166,174,174,174,484,0.666520603543162,0.582570206462315
"41","New Jersey","linear_increase_sd","Past",2020-03-18,"cumulative_infections",20828,20828,20828,21520,21523,22207,22207,22207,NA,0.666520603543162,0.582570206462315
"42","New Jersey","linear_increase_sd","Past",2020-03-18,"deaths",1,1,1,1,1,1,1,1,11,0.666520603543162,0.582570206462315
"43","New Jersey","linear_increase_sd","Past",2020-03-19,"cases",229,229,229,233,234,235,235,235,717,0.653764350389033,0.582570206462315
"44","New Jersey","linear_increase_sd","Past",2020-03-19,"cumulative_infections",27556,27556,27556,28564,28589,29545,29545,29545,NA,0.653764350389033,0.582570206462315
"45","New Jersey","linear_increase_sd","Past",2020-03-19,"deaths",1,1,1,1,1,1,1,1,12,0.653764350389033,0.582570206462315
"46","New Jersey","linear_increase_sd","Past",2020-03-20,"cases",328,328,328,339,340,347,347,347,1055,0.654092881617481,0.417429793537685
"47","New Jersey","linear_increase_sd","Past",2020-03-20,"cumulative_infections",35706,35706,35706,37129,37176,38504,38504,38504,NA,0.654092881617481,0.417429793537685
"48","New Jersey","linear_increase_sd","Past",2020-03-20,"deaths",2,2,2,2,2,2,2,2,14,0.654092881617481,0.417429793537685
"49","New Jersey","linear_increase_sd","Past",2020-03-21,"cases",484,484,484,492,490,501,501,501,1547,0.730886178538296,0.417429793537685
"50","New Jersey","linear_increase_sd","Past",2020-03-21,"cumulative_infections",45433,45433,45433,47339,47504,49078,49078,49078,NA,0.730886178538296,0.417429793537685
"51","New Jersey","linear_increase_sd","Past",2020-03-21,"deaths",2,2,2,2,2,2,2,2,16,0.730886178538296,0.417429793537685
"52","New Jersey","linear_increase_sd","Past",2020-03-22,"cases",631,631,631,653,645,682,682,682,2200,0.63258048381192,0.417429793537685
"53","New Jersey","linear_increase_sd","Past",2020-03-22,"cumulative_infections",57742,57742,57742,60530,60981,62867,62867,62867,NA,0.63258048381192,0.417429793537685
"54","New Jersey","linear_increase_sd","Past",2020-03-22,"deaths",3,3,3,3,3,3,3,3,19,0.63258048381192,0.417429793537685
"55","New Jersey","linear_increase_sd","Past",2020-03-23,"cases",814,814,814,855,862,889,889,889,3055,0.669330142750912,0.417429793537685
"56","New Jersey","linear_increase_sd","Past",2020-03-23,"cumulative_infections",69755,69755,69755,73344,74192,76084,76084,76084,NA,0.669330142750912,0.417429793537685
"57","New Jersey","linear_increase_sd","Past",2020-03-23,"deaths",4,4,4,4,4,4,4,4,23,0.669330142750912,0.417429793537685
"58","New Jersey","linear_increase_sd","Past",2020-03-24,"cases",1033,1033,1033,1127,1155,1192,1192,1192,4181,0.603295354078382,0.339243631234183
"59","New Jersey","linear_increase_sd","Past",2020-03-24,"cumulative_infections",83963,83963,83963,88286,89568,91325,91325,91325,NA,0.603295354078382,0.339243631234183
"60","New Jersey","linear_increase_sd","Past",2020-03-24,"deaths",5,5,5,6,6,6,6,6,28,0.603295354078382,0.339243631234183
"61","New Jersey","linear_increase_sd","Past",2020-03-25,"cases",1327,1327,1327,1420,1416,1517,1517,1517,5601,0.526628503375875,0.268941421369995
"62","New Jersey","linear_increase_sd","Past",2020-03-25,"cumulative_infections",97668,97668,97668,102687,104471,105921,105921,105921,NA,0.526628503375875,0.268941421369995
"63","New Jersey","linear_increase_sd","Past",2020-03-25,"deaths",7,7,7,8,8,8,8,8,36,0.526628503375875,0.268941421369995
"64","New Jersey","linear_increase_sd","Past",2020-03-26,"cases",1643,1643,1643,1781,1780,1918,1918,1918,7382,0.573577161991253,0.268941421369995
"65","New Jersey","linear_increase_sd","Past",2020-03-26,"cumulative_infections",110086,110086,110086,115821,118006,119370,119370,119370,NA,0.573577161991253,0.268941421369995
"66","New Jersey","linear_increase_sd","Past",2020-03-26,"deaths",10,10,10,12,12,12,12,12,47,0.573577161991253,0.268941421369995
"67","New Jersey","linear_increase_sd","Past",2020-03-27,"cases",1977,1977,1977,2153,2228,2253,2253,2253,9534,0.758270782364123,0.208608527326045
"68","New Jersey","linear_increase_sd","Past",2020-03-27,"cumulative_infections",123910,123910,123910,130255,132953,133902,133902,133902,NA,0.758270782364123,0.208608527326045
"69","New Jersey","linear_increase_sd","Past",2020-03-27,"deaths",14,14,14,15,14,16,16,16,62,0.758270782364123,0.208608527326045
"70","New Jersey","linear_increase_sd","Past",2020-03-28,"cases",2357,2357,2357,2450,2474,2518,2518,2518,11984,0.636153772832869,0.208608527326045
"71","New Jersey","linear_increase_sd","Past",2020-03-28,"cumulative_infections",142542,142542,142542,149530,152670,153377,153377,153377,NA,0.636153772832869,0.208608527326045
"72","New Jersey","linear_increase_sd","Past",2020-03-28,"deaths",21,21,21,22,21,23,23,23,84,0.636153772832869,0.208608527326045
"73","New Jersey","linear_increase_sd","Past",2020-03-29,"cases",2638,2638,2638,2778,2736,2960,2960,2960,14762,0.664024771392595,0.208608527326045
"74","New Jersey","linear_increase_sd","Past",2020-03-29,"cumulative_infections",158075,158075,158075,165455,168849,169441,169441,169441,NA,0.664024771392595,0.208608527326045
"75","New Jersey","linear_increase_sd","Past",2020-03-29,"deaths",28,28,28,29,28,30,30,30,112,0.664024771392595,0.208608527326045
"76","New Jersey","linear_increase_sd","Past",2020-03-30,"cases",2780,2780,2780,2962,3048,3057,3057,3057,17724,0.649125702629927,0.158869104880915
"77","New Jersey","linear_increase_sd","Past",2020-03-30,"cumulative_infections",173664,173664,173664,181516,185174,185710,185710,185710,NA,0.649125702629927,0.158869104880915
"78","New Jersey","linear_increase_sd","Past",2020-03-30,"deaths",35,35,35,38,37,40,40,40,150,0.649125702629927,0.158869104880915
"79","New Jersey","linear_increase_sd","Past",2020-03-31,"cases",2949,2949,2949,3144,3239,3243,3243,3243,20867,0.64344262180061,0.158869104880915
"80","New Jersey","linear_increase_sd","Past",2020-03-31,"cumulative_infections",188842,188842,188842,196899,200562,201292,201292,201292,NA,0.64344262180061,0.158869104880915
"81","New Jersey","linear_increase_sd","Past",2020-03-31,"deaths",48,48,48,51,51,52,52,52,200,0.64344262180061,0.158869104880915
"82","New Jersey","linear_increase_sd","Past",2020-04-01,"cases",3268,3268,3268,3437,3490,3553,3553,3553,24304,0.609507895633846,0.158869104880915
"83","New Jersey","linear_increase_sd","Past",2020-04-01,"cumulative_infections",203506,203506,203506,211702,215324,216274,216274,216274,NA,0.609507895633846,0.158869104880915
"84","New Jersey","linear_increase_sd","Past",2020-04-01,"deaths",61,61,61,64,63,67,67,67,264,0.609507895633846,0.158869104880915
"85","New Jersey","linear_increase_sd","Past",2020-04-02,"cases",3426,3426,3426,3655,3761,3777,3777,3777,27959,0.571412816311509,0.158869104880915
"86","New Jersey","linear_increase_sd","Past",2020-04-02,"cumulative_infections",217038,217038,217038,225426,228899,230341,230341,230341,NA,0.571412816311509,0.158869104880915
"87","New Jersey","linear_increase_sd","Past",2020-04-02,"deaths",69,69,69,78,73,91,91,91,341,0.571412816311509,0.158869104880915
"88","New Jersey","linear_increase_sd","Past",2020-04-03,"cases",3748,3748,3748,3815,3841,3856,3856,3856,31774,0.583941615550169,0.119202922022118
"89","New Jersey","linear_increase_sd","Past",2020-04-03,"cumulative_infections",229655,229655,229655,237994,241285,243041,243041,243041,NA,0.583941615550169,0.119202922022118
"90","New Jersey","linear_increase_sd","Past",2020-04-03,"deaths",87,87,87,95,93,105,105,105,436,0.583941615550169,0.119202922022118
"91","New Jersey","linear_increase_sd","Past",2020-04-04,"cases",3762,3762,3762,3839,3814,3941,3941,3941,35613,0.647140258503779,0.119202922022118
"92","New Jersey","linear_increase_sd","Past",2020-04-04,"cumulative_infections",242418,242418,242418,250661,253664,255899,255899,255899,NA,0.647140258503779,0.119202922022118
"93","New Jersey","linear_increase_sd","Past",2020-04-04,"deaths",111,111,111,114,112,118,118,118,550,0.647140258503779,0.119202922022118
"94","New Jersey","linear_increase_sd","Past",2020-04-05,"cases",3723,3723,3723,3777,3784,3824,3824,3824,39390,0.649807028977643,0.119202922022118
"95","New Jersey","linear_increase_sd","Past",2020-04-05,"cumulative_infections",256244,256244,256244,264421,267153,269865,269865,269865,NA,0.649807028977643,0.119202922022118
"96","New Jersey","linear_increase_sd","Past",2020-04-05,"deaths",132,132,132,136,137,138,138,138,686,0.649807028977643,0.119202922022118
"97","New Jersey","linear_increase_sd","Past",2020-04-06,"cases",3630,3630,3630,3731,3690,3871,3871,3871,43120,0.60813017803184,0.119202922022118
"98","New Jersey","linear_increase_sd","Past",2020-04-06,"cumulative_infections",269944,269944,269944,278055,280510,283710,283710,283710,NA,0.60813017803184,0.119202922022118
"99","New Jersey","linear_increase_sd","Past",2020-04-06,"deaths",142,142,142,158,160,170,170,170,843,0.60813017803184,0.119202922022118
"100","New Jersey","linear_increase_sd","Past",2020-04-07,"cases",3627,3627,3627,3666,3627,3742,3742,3742,46786,0.548108855829099,0.119202922022118
"101","New Jersey","linear_increase_sd","Past",2020-04-07,"cumulative_infections",282607,282607,282607,290725,292889,296678,296678,296678,NA,0.548108855829099,0.119202922022118
"102","New Jersey","linear_increase_sd","Past",2020-04-07,"deaths",162,162,162,184,187,201,201,201,1026,0.548108855829099,0.119202922022118
"103","New Jersey","linear_increase_sd","Past",2020-04-08,"cases",3583,3583,3583,3639,3630,3703,3703,3703,50424,0.6492262575948,0.119202922022118
"104","New Jersey","linear_increase_sd","Past",2020-04-08,"cumulative_infections",294057,294057,294057,302161,304013,308411,308411,308411,NA,0.6492262575948,0.119202922022118
"105","New Jersey","linear_increase_sd","Past",2020-04-08,"deaths",186,186,186,195,186,211,211,211,1221,0.6492262575948,0.119202922022118
"106","New Jersey","linear_increase_sd","Past",2020-04-09,"cases",3443,3443,3443,3543,3531,3653,3653,3653,53967,0.617590978140085,0.119202922022118
"107","New Jersey","linear_increase_sd","Past",2020-04-09,"cumulative_infections",307343,307343,307343,315594,317214,322224,322224,322224,NA,0.617590978140085,0.119202922022118
"108","New Jersey","linear_increase_sd","Past",2020-04-09,"deaths",184,184,184,212,225,225,225,225,1432,0.617590978140085,0.119202922022118
"109","New Jersey","linear_increase_sd","Past",2020-04-10,"cases",3512,3512,3512,3548,3536,3596,3596,3596,57515,0.633652404119384,0.158869104880915
"110","New Jersey","linear_increase_sd","Past",2020-04-10,"cumulative_infections",320091,320091,320091,328507,329877,335553,335553,335553,NA,0.633652404119384,0.158869104880915
"111","New Jersey","linear_increase_sd","Past",2020-04-10,"deaths",212,212,212,227,230,238,238,238,1659,0.633652404119384,0.158869104880915
"112","New Jersey","linear_increase_sd","Past",2020-04-11,"cases",3363,3363,3363,3420,3430,3465,3465,3465,60934,0.518659811822842,0.158869104880915
"113","New Jersey","linear_increase_sd","Past",2020-04-11,"cumulative_infections",333239,333239,333239,341878,343014,349380,349380,349380,NA,0.518659811822842,0.158869104880915
"114","New Jersey","linear_increase_sd","Past",2020-04-11,"deaths",218,218,218,243,255,256,256,256,1902,0.518659811822842,0.158869104880915
"115","New Jersey","linear_increase_sd","Past",2020-04-12,"cases",3472,3472,3472,3520,3504,3584,3584,3584,64454,0.613709081312196,0.158869104880915
"116","New Jersey","linear_increase_sd","Past",2020-04-12,"cumulative_infections",343979,343979,343979,352832,353876,360640,360640,360640,NA,0.613709081312196,0.158869104880915
"117","New Jersey","linear_increase_sd","Past",2020-04-12,"deaths",256,256,256,262,259,271,271,271,2164,0.613709081312196,0.158869104880915
"118","New Jersey","linear_increase_sd","Past",2020-04-13,"cases",3326,3326,3326,3414,3392,3524,3524,3524,67868,0.567268041650836,0.158869104880915
"119","New Jersey","linear_increase_sd","Past",2020-04-13,"cumulative_infections",356808,356808,356808,365858,366863,373903,373903,373903,NA,0.567268041650836,0.158869104880915
"120","New Jersey","linear_increase_sd","Past",2020-04-13,"deaths",261,261,261,266,266,269,269,269,2429,0.567268041650836,0.158869104880915
"121","New Jersey","linear_increase_sd","Past",2020-04-14,"cases",3267,3267,3267,3416,3473,3508,3508,3508,71284,0.660878510711392,0.158869104880915
"122","New Jersey","linear_increase_sd","Past",2020-04-14,"cumulative_infections",368801,368801,368801,378073,378975,386443,386443,386443,NA,0.660878510711392,0.158869104880915
"123","New Jersey","linear_increase_sd","Past",2020-04-14,"deaths",263,263,263,272,264,288,288,288,2701,0.660878510711392,0.158869104880915
"124","New Jersey","linear_increase_sd","Past",2020-04-15,"cases",3435,3435,3435,3527,3469,3677,3677,3677,74811,0.612999089525056,0.158869104880915
"125","New Jersey","linear_increase_sd","Past",2020-04-15,"cumulative_infections",382512,382512,382512,392147,393129,400800,400800,400800,NA,0.612999089525056,0.158869104880915
"126","New Jersey","linear_increase_sd","Past",2020-04-15,"deaths",280,280,280,291,284,308,308,308,2991,0.612999089525056,0.158869104880915
"127","New Jersey","linear_increase_sd","Past",2020-04-16,"cases",3327,3327,3327,3456,3466,3573,3573,3573,78266,0.544003455399133,0.158869104880915
"128","New Jersey","linear_increase_sd","Past",2020-04-16,"cumulative_infections",394943,394943,394943,405051,406180,414030,414030,414030,NA,0.544003455399133,0.158869104880915
"129","New Jersey","linear_increase_sd","Past",2020-04-16,"deaths",260,260,260,278,284,288,288,288,3269,0.544003455399133,0.158869104880915
"130","New Jersey","linear_increase_sd","Past",2020-04-17,"cases",3388,3388,3388,3463,3429,3570,3570,3570,81729,0.51718863281867,0.158869104880915
"131","New Jersey","linear_increase_sd","Past",2020-04-17,"cumulative_infections",405760,405760,405760,416300,417587,425552,425552,425552,NA,0.51718863281867,0.158869104880915
