"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","New York","linear_increase_sd","Past",2020-03-04,"cases",0,0,0,0,0,0,0,0,0,0.833734805562489,1
"2","New York","linear_increase_sd","Past",2020-03-04,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.833734805562489,1
"3","New York","linear_increase_sd","Past",2020-03-04,"deaths",0,0,0,0,0,0,0,0,0,0.833734805562489,1
"4","New York","linear_increase_sd","Past",2020-03-05,"cases",2,2,2,2,2,2,2,2,2,0.589881105354896,0.993307149075715
"5","New York","linear_increase_sd","Past",2020-03-05,"cumulative_infections",406,406,406,406,406,406,406,406,NA,0.589881105354896,0.993307149075715
"6","New York","linear_increase_sd","Past",2020-03-05,"deaths",0,0,0,0,0,0,0,0,0,0.589881105354896,0.993307149075715
"7","New York","linear_increase_sd","Past",2020-03-06,"cases",5,5,5,5,5,5,5,5,7,0.61595935761257,0.993307149075715
"8","New York","linear_increase_sd","Past",2020-03-06,"cumulative_infections",1026,1026,1026,1026,1026,1026,1026,1026,NA,0.61595935761257,0.993307149075715
"9","New York","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.61595935761257,0.993307149075715
"10","New York","linear_increase_sd","Past",2020-03-07,"cases",12,12,12,12,12,12,12,12,19,0.726062008731586,0.993307149075715
"11","New York","linear_increase_sd","Past",2020-03-07,"cumulative_infections",2023,2023,2023,2023,2023,2023,2023,2023,NA,0.726062008731586,0.993307149075715
"12","New York","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.726062008731586,0.993307149075715
"13","New York","linear_increase_sd","Past",2020-03-08,"cases",20,20,20,20,20,20,20,20,39,0.697067767882221,0.993307149075715
"14","New York","linear_increase_sd","Past",2020-03-08,"cumulative_infections",3707,3707,3707,3707,3707,3707,3707,3707,NA,0.697067767882221,0.993307149075715
"15","New York","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,0,0,0,0,0,0,0.697067767882221,0.993307149075715
"16","New York","linear_increase_sd","Past",2020-03-09,"cases",29,29,29,29,29,29,29,29,68,0.66138999434555,0.993307149075715
"17","New York","linear_increase_sd","Past",2020-03-09,"cumulative_infections",6144,6144,6144,6144,6144,6144,6144,6144,NA,0.66138999434555,0.993307149075715
"18","New York","linear_increase_sd","Past",2020-03-09,"deaths",1,1,1,1,1,1,1,1,1,0.66138999434555,0.993307149075715
"19","New York","linear_increase_sd","Past",2020-03-10,"cases",43,43,43,43,43,43,43,43,111,0.662917270370215,0.993307149075715
"20","New York","linear_increase_sd","Past",2020-03-10,"cumulative_infections",9430,9430,9430,9430,9430,9430,9430,9430,NA,0.662917270370215,0.993307149075715
"21","New York","linear_increase_sd","Past",2020-03-10,"deaths",1,1,1,1,1,1,1,1,2,0.662917270370215,0.993307149075715
"22","New York","linear_increase_sd","Past",2020-03-11,"cases",67,67,67,67,67,67,67,67,178,0.586307158559093,0.982013790037908
"23","New York","linear_increase_sd","Past",2020-03-11,"cumulative_infections",14329,14329,14329,14329,14329,14329,14329,14329,NA,0.586307158559093,0.982013790037908
"24","New York","linear_increase_sd","Past",2020-03-11,"deaths",1,1,1,1,1,1,1,1,3,0.586307158559093,0.982013790037908
"25","New York","linear_increase_sd","Past",2020-03-12,"cases",112,112,112,112,112,112,112,112,290,0.659221691920849,0.982013790037908
"26","New York","linear_increase_sd","Past",2020-03-12,"cumulative_infections",20601,20601,20601,20601,20601,20601,20601,20601,NA,0.659221691920849,0.982013790037908
"27","New York","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,4,0.659221691920849,0.982013790037908
"28","New York","linear_increase_sd","Past",2020-03-13,"cases",173,173,173,173,173,173,173,173,463,0.583760286058411,0.982013790037908
"29","New York","linear_increase_sd","Past",2020-03-13,"cumulative_infections",30896,30896,30896,30896,30896,30896,30896,30896,NA,0.583760286058411,0.982013790037908
