"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Texas","linear_increase_sd","Past",2020-03-04,"cases",0,0,0,0,0,0,0,0,0,0.817300928685596,1
"2","Texas","linear_increase_sd","Past",2020-03-04,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.817300928685596,1
"3","Texas","linear_increase_sd","Past",2020-03-04,"deaths",0,0,0,0,0,0,0,0,0,0.817300928685596,1
"4","Texas","linear_increase_sd","Past",2020-03-05,"cases",2,2,2,2,2,2,2,2,2,0.824429351479199,0.979308887729912
"5","Texas","linear_increase_sd","Past",2020-03-05,"cumulative_infections",23,23,23,29,29,32,32,32,NA,0.824429351479199,0.979308887729912
"6","Texas","linear_increase_sd","Past",2020-03-05,"deaths",0,0,0,0,0,0,0,0,0,0.824429351479199,0.979308887729912
"7","Texas","linear_increase_sd","Past",2020-03-06,"cases",2,2,2,2,2,2,2,2,4,0.763280668793789,0.979308887729912
"8","Texas","linear_increase_sd","Past",2020-03-06,"cumulative_infections",57,57,57,77,77,91,91,91,NA,0.763280668793789,0.979308887729912
"9","Texas","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.763280668793789,0.979308887729912
"10","Texas","linear_increase_sd","Past",2020-03-07,"cases",2,2,2,3,2,4,4,4,7,0.767186602698089,0.979308887729912
"11","Texas","linear_increase_sd","Past",2020-03-07,"cumulative_infections",101,101,101,139,139,169,169,169,NA,0.767186602698089,0.979308887729912
"12","Texas","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.767186602698089,0.979308887729912
"13","Texas","linear_increase_sd","Past",2020-03-08,"cases",2,2,2,3,3,5,5,5,10,0.827306947258078,0.979308887729912
"14","Texas","linear_increase_sd","Past",2020-03-08,"cumulative_infections",160,160,160,223,222,275,275,275,NA,0.827306947258078,0.979308887729912
"15","Texas","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,1,1,1,1,1,0.827306947258078,0.979308887729912
"16","Texas","linear_increase_sd","Past",2020-03-09,"cases",2,2,2,4,4,6,6,6,13,0.827225706078191,0.976207057601835
"17","Texas","linear_increase_sd","Past",2020-03-09,"cumulative_infections",242,242,242,340,335,422,422,422,NA,0.827225706078191,0.976207057601835
"18","Texas","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,1,1,1,1,2,0.827225706078191,0.976207057601835
"19","Texas","linear_increase_sd","Past",2020-03-10,"cases",3,3,3,5,4,7,7,7,17,0.808938281427595,0.979308887729912
"20","Texas","linear_increase_sd","Past",2020-03-10,"cumulative_infections",354,354,354,489,479,599,599,599,NA,0.808938281427595,0.979308887729912
"21","Texas","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,1,1,1,1,2,0.808938281427595,0.979308887729912
"22","Texas","linear_increase_sd","Past",2020-03-11,"cases",4,4,4,6,6,7,7,7,23,0.84669719750758,0.976207057601835
"23","Texas","linear_increase_sd","Past",2020-03-11,"cumulative_infections",499,499,499,679,660,812,812,812,NA,0.84669719750758,0.976207057601835
"24","Texas","linear_increase_sd","Past",2020-03-11,"deaths",1,1,1,1,1,1,1,1,3,0.84669719750758,0.976207057601835
"25","Texas","linear_increase_sd","Past",2020-03-12,"cases",5,5,5,8,7,11,11,11,30,0.762232843063691,0.96858562896843
"26","Texas","linear_increase_sd","Past",2020-03-12,"cumulative_infections",704,704,704,937,900,1094,1094,1094,NA,0.762232843063691,0.96858562896843
"27","Texas","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,4,0.762232843063691,0.96858562896843
"28","Texas","linear_increase_sd","Past",2020-03-13,"cases",6,6,6,10,9,13,13,13,40,0.823133200101759,0.963935461900834
"29","Texas","linear_increase_sd","Past",2020-03-13,"cumulative_infections",949,949,949,1239,1196,1417,1417,1417,NA,0.823133200101759,0.963935461900834
"30","Texas","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,5,0.823133200101759,0.963935461900834
"31","Texas","linear_increase_sd","Past",2020-03-14,"cases",10,10,10,14,13,16,16,16,53,0.764081624972868,0.963935461900834
"32","Texas","linear_increase_sd","Past",2020-03-14,"cumulative_infections",1307,1307,1307,1657,1631,1896,1896,1896,NA,0.764081624972868,0.963935461900834
"33","Texas","linear_increase_sd","Past",2020-03-14,"deaths",1,1,1,1,1,1,1,1,6,0.764081624972868,0.963935461900834
"34","Texas","linear_increase_sd","Past",2020-03-15,"cases",15,15,15,20,20,24,24,24,73,0.795585585248644,0.952574126822433
"35","Texas","linear_increase_sd","Past",2020-03-15,"cumulative_infections",1740,1740,1740,2154,2155,2451,2451,2451,NA,0.795585585248644,0.952574126822433
"36","Texas","linear_increase_sd","Past",2020-03-15,"deaths",1,1,1,1,1,1,1,1,7,0.795585585248644,0.952574126822433
"37","Texas","linear_increase_sd","Past",2020-03-16,"cases",19,19,19,26,25,31,31,31,99,0.838023217080135,0.952574126822433
"38","Texas","linear_increase_sd","Past",2020-03-16,"cumulative_infections",2348,2348,2348,2814,2852,3182,3182,3182,NA,0.838023217080135,0.952574126822433
"39","Texas","linear_increase_sd","Past",2020-03-16,"deaths",1,1,1,1,1,1,1,1,8,0.838023217080135,0.952574126822433
"40","Texas","linear_increase_sd","Past",2020-03-17,"cases",24,24,24,32,32,38,38,38,130,0.829322292934627,0.93786436691357
"41","Texas","linear_increase_sd","Past",2020-03-17,"cumulative_infections",3187,3187,3187,3694,3778,4135,4135,4135,NA,0.829322292934627,0.93786436691357
"42","Texas","linear_increase_sd","Past",2020-03-17,"deaths",1,1,1,1,1,1,1,1,9,0.829322292934627,0.93786436691357
"43","Texas","linear_increase_sd","Past",2020-03-18,"cases",38,38,38,44,43,51,51,51,174,0.824120475189906,0.918980231334692
"44","Texas","linear_increase_sd","Past",2020-03-18,"cumulative_infections",4279,4279,4279,4795,4899,5299,5299,5299,NA,0.824120475189906,0.918980231334692
"45","Texas","linear_increase_sd","Past",2020-03-18,"deaths",1,1,1,1,1,1,1,1,10,0.824120475189906,0.918980231334692
"46","Texas","linear_increase_sd","Past",2020-03-19,"cases",52,52,52,60,59,69,69,69,234,0.80132337292215,0.894999414979735
"47","Texas","linear_increase_sd","Past",2020-03-19,"cumulative_infections",5584,5584,5584,6153,6216,6700,6700,6700,NA,0.80132337292215,0.894999414979735
"48","Texas","linear_increase_sd","Past",2020-03-19,"deaths",1,1,1,1,1,1,1,1,11,0.80132337292215,0.894999414979735
"49","Texas","linear_increase_sd","Past",2020-03-20,"cases",67,67,67,77,76,87,87,87,310,0.778565519455346,0.894999414979735
"50","Texas","linear_increase_sd","Past",2020-03-20,"cumulative_infections",7037,7037,7037,7777,7784,8329,8329,8329,NA,0.778565519455346,0.894999414979735
"51","Texas","linear_increase_sd","Past",2020-03-20,"deaths",1,1,1,1,1,1,1,1,12,0.778565519455346,0.894999414979735
"52","Texas","linear_increase_sd","Past",2020-03-21,"cases",90,90,90,106,107,121,121,121,416,0.726214761390825,0.880797077977882
"53","Texas","linear_increase_sd","Past",2020-03-21,"cumulative_infections",8757,8757,8757,9687,9623,10390,10390,10390,NA,0.726214761390825,0.880797077977882
"54","Texas","linear_increase_sd","Past",2020-03-21,"deaths",1,1,1,1,1,1,1,1,13,0.726214761390825,0.880797077977882
"55","Texas","linear_increase_sd","Past",2020-03-22,"cases",120,120,120,134,136,146,146,146,549,0.77477136715364,0.827987167064239
"56","Texas","linear_increase_sd","Past",2020-03-22,"cumulative_infections",10668,10668,10668,11785,11763,12797,12797,12797,NA,0.77477136715364,0.827987167064239
"57","Texas","linear_increase_sd","Past",2020-03-22,"deaths",1,1,1,1,1,1,1,1,14,0.77477136715364,0.827987167064239
"58","Texas","linear_increase_sd","Past",2020-03-23,"cases",145,145,145,175,178,193,193,193,724,0.798192704326432,0.75820382759259
"59","Texas","linear_increase_sd","Past",2020-03-23,"cumulative_infections",13053,13053,13053,14394,14397,15767,15767,15767,NA,0.798192704326432,0.75820382759259
"60","Texas","linear_increase_sd","Past",2020-03-23,"deaths",1,1,1,1,1,1,1,1,15,0.798192704326432,0.75820382759259
"61","Texas","linear_increase_sd","Past",2020-03-24,"cases",199,199,199,232,234,259,259,259,956,0.727265897281535,0.75820382759259
"62","Texas","linear_increase_sd","Past",2020-03-24,"cumulative_infections",15856,15856,15856,17435,17457,19228,19228,19228,NA,0.727265897281535,0.75820382759259
"63","Texas","linear_increase_sd","Past",2020-03-24,"deaths",1,1,1,1,1,1,1,1,16,0.727265897281535,0.75820382759259
"64","Texas","linear_increase_sd","Past",2020-03-25,"cases",257,257,257,273,271,306,306,306,1228,0.728453874466957,0.70206336987893
"65","Texas","linear_increase_sd","Past",2020-03-25,"cumulative_infections",18691,18691,18691,20479,20247,22668,22668,22668,NA,0.728453874466957,0.70206336987893
"66","Texas","linear_increase_sd","Past",2020-03-25,"deaths",1,1,1,2,1,2,2,2,18,0.728453874466957,0.70206336987893
"67","Texas","linear_increase_sd","Past",2020-03-26,"cases",298,298,298,336,334,374,374,374,1564,0.743840166119992,0.605532487220586
"68","Texas","linear_increase_sd","Past",2020-03-26,"cumulative_infections",21756,21756,21756,23745,23385,26335,26335,26335,NA,0.743840166119992,0.605532487220586
"69","Texas","linear_increase_sd","Past",2020-03-26,"deaths",1,1,1,2,2,2,2,2,19,0.743840166119992,0.605532487220586
"70","Texas","linear_increase_sd","Past",2020-03-27,"cases",376,376,376,410,406,454,454,454,1973,0.791659192770248,0.605532487220586
"71","Texas","linear_increase_sd","Past",2020-03-27,"cumulative_infections",25038,25038,25038,27220,26785,30222,30222,30222,NA,0.791659192770248,0.605532487220586
"72","Texas","linear_increase_sd","Past",2020-03-27,"deaths",2,2,2,2,2,2,2,2,21,0.791659192770248,0.605532487220586
"73","Texas","linear_increase_sd","Past",2020-03-28,"cases",451,451,451,498,467,583,583,583,2471,0.771376374680821,0.5
"74","Texas","linear_increase_sd","Past",2020-03-28,"cumulative_infections",28460,28460,28460,31003,30423,34416,34416,34416,NA,0.771376374680821,0.5
"75","Texas","linear_increase_sd","Past",2020-03-28,"deaths",2,2,2,3,3,3,3,3,24,0.771376374680821,0.5
"76","Texas","linear_increase_sd","Past",2020-03-29,"cases",475,475,475,554,542,627,627,627,3025,0.80044510682593,0.5
"77","Texas","linear_increase_sd","Past",2020-03-29,"cumulative_infections",31588,31588,31588,34691,33990,38497,38497,38497,NA,0.80044510682593,0.5
