"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"California","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.981725655289557,1
"California","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.981725655289557,1
"California","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.975149840505368,0.999879893509264
"California","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.975149840505368,0.999879893509264
"California","data","Past",2020-03-06,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA,0.966664360185037,0.99990267054957
"California","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.966664360185037,0.99990267054957
"California","data","Past",2020-03-07,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.955910164631512,0.999912571911106
"California","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.955910164631512,0.999912571911106
"California","data","Past",2020-03-08,"daily_cases",NA,NA,NA,19,NA,NA,NA,NA,0.942723246699532,0.999913670173379
"California","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.942723246699532,0.999913670173379
"California","data","Past",2020-03-09,"daily_cases",NA,NA,NA,26,NA,NA,NA,NA,0.927003161119095,0.999907071937588
"California","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.927003161119095,0.999907071937588
"California","data","Past",2020-03-10,"daily_cases",NA,NA,NA,19,NA,NA,NA,NA,0.908708667569449,0.999891861309329
"California","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.908708667569449,0.999891861309329
"California","data","Past",2020-03-11,"daily_cases",NA,NA,NA,24,NA,NA,NA,NA,0.887913689077953,0.999865092919645
"California","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.887913689077953,0.999865092919645
"California","data","Past",2020-03-12,"daily_cases",NA,NA,NA,45,NA,NA,NA,NA,0.865093597115154,0.99982107221021
"California","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.865093597115154,0.99982107221021
"California","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.840896579542731,0.999749805127043
"California","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.840896579542731,0.999749805127043
"California","data","Past",2020-03-14,"daily_cases",NA,NA,NA,50,NA,NA,NA,NA,0.81611798735357,0.999634235429263
"California","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.81611798735357,0.999634235429263
"California","data","Past",2020-03-15,"daily_cases",NA,NA,NA,41,NA,NA,NA,NA,0.791055009860321,0.999445620106374
"California","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.791055009860321,0.999445620106374
"California","data","Past",2020-03-16,"daily_cases",NA,NA,NA,42,NA,NA,NA,NA,0.765783593274033,0.999136131608731
"California","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.765783593274033,0.999136131608731
"California","data","Past",2020-03-17,"daily_cases",NA,NA,NA,148,NA,NA,NA,NA,0.740065327359926,0.998627664055181
"California","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.740065327359926,0.998627664055181
"California","data","Past",2020-03-18,"daily_cases",NA,NA,NA,128,NA,NA,NA,NA,0.713804692270819,0.997796239345157
"California","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.713804692270819,0.997796239345157
"California","data","Past",2020-03-19,"daily_cases",NA,NA,NA,313,NA,NA,NA,NA,0.687792086155758,0.99645309620875
"California","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.687792086155758,0.99645309620875
"California","data","Past",2020-03-20,"daily_cases",NA,NA,NA,139,NA,NA,NA,NA,0.663063323315372,0.994322003841827
"California","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.663063323315372,0.994322003841827
"California","data","Past",2020-03-21,"daily_cases",NA,NA,NA,216,NA,NA,NA,NA,0.640749964660404,0.990993909017178
"California","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.640749964660404,0.990993909017178
"California","data","Past",2020-03-22,"daily_cases",NA,NA,NA,257,NA,NA,NA,NA,0.621842184970276,0.985889008498159
"California","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.621842184970276,0.985889008498159
