"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Indiana","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.998391587977578,1
"Indiana","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.998391587977578,1
"Indiana","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.98945909588547,0.0246124447349811
"Indiana","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.98945909588547,0.0246124447349811
"Indiana","data","Past",2020-03-08,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.978739429992271,0.0268798708991726
"Indiana","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.978739429992271,0.0268798708991726
"Indiana","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.966259141348272,0.0295678709186349
"Indiana","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.966259141348272,0.0295678709186349
"Indiana","data","Past",2020-03-10,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.952064524569682,0.0326662651650092
"Indiana","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.952064524569682,0.0326662651650092
"Indiana","data","Past",2020-03-11,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.936278712117844,0.0361443661277498
"Indiana","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.936278712117844,0.0361443661277498
"Indiana","data","Past",2020-03-12,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.919312444268716,0.0399421838603938
"Indiana","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.919312444268716,0.0399421838603938
"Indiana","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.901788241663449,0.0439621319183729
"Indiana","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.901788241663449,0.0439621319183729
"Indiana","data","Past",2020-03-14,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.884652391974445,0.0480626588817161
"Indiana","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.884652391974445,0.0480626588817161
"Indiana","data","Past",2020-03-15,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.868048074826015,0.0520556316203468
"Indiana","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.868048074826015,0.0520556316203468
"Indiana","data","Past",2020-03-16,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.851751171893736,0.0557094323959696
"Indiana","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.851751171893736,0.0557094323959696
"Indiana","data","Past",2020-03-17,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.835011359517887,0.0587594610129943
"Indiana","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.835011359517887,0.0587594610129943
"Indiana","data","Past",2020-03-18,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.817149928522193,0.0609269781866402
"Indiana","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.817149928522193,0.0609269781866402
"Indiana","data","Past",2020-03-19,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.798300832999493,0.0619460068733234
"Indiana","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.798300832999493,0.0619460068733234
"Indiana","data","Past",2020-03-20,"daily_cases",NA,NA,NA,23,NA,NA,NA,NA,0.778904863705883,0.0615964322147478
"Indiana","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.778904863705883,0.0615964322147478
"Indiana","data","Past",2020-03-21,"daily_cases",NA,NA,NA,47,NA,NA,NA,NA,0.759817494781406,0.0597411517147197
"Indiana","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.759817494781406,0.0597411517147197
"Indiana","data","Past",2020-03-22,"daily_cases",NA,NA,NA,75,NA,NA,NA,NA,0.741849156364249,0.0564798173685649
"Indiana","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.741849156364249,0.0564798173685649
"Indiana","data","Past",2020-03-23,"daily_cases",NA,NA,NA,58,NA,NA,NA,NA,0.72513504192254,0.052211366048602
"Indiana","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.72513504192254,0.052211366048602
"Indiana","data","Past",2020-03-24,"daily_cases",NA,NA,NA,106,NA,NA,NA,NA,0.709340120961711,0.0473597014427159
"Indiana","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.709340120961711,0.0473597014427159
"Indiana","data","Past",2020-03-25,"daily_cases",NA,NA,NA,112,NA,NA,NA,NA,0.694201806754873,0.0423027968906581
"Indiana","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.694201806754873,0.0423027968906581
"Indiana","data","Past",2020-03-26,"daily_cases",NA,NA,NA,168,NA,NA,NA,NA,0.68006879676069,0.0373444841741026
"Indiana","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.68006879676069,0.0373444841741026
"Indiana","data","Past",2020-03-27,"daily_cases",NA,NA,NA,336,NA,NA,NA,NA,0.667491656137955,0.0327041495347822
"Indiana","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.667491656137955,0.0327041495347822
"Indiana","data","Past",2020-03-28,"daily_cases",NA,NA,NA,251,NA,NA,NA,NA,0.657217136660398,0.0285205461059543
"Indiana","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.657217136660398,0.0285205461059543
"Indiana","data","Past",2020-03-29,"daily_cases",NA,NA,NA,282,NA,NA,NA,NA,0.64974797014707,0.0248646271239861
"Indiana","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.64974797014707,0.0248646271239861
"Indiana","data","Past",2020-03-30,"daily_cases",NA,NA,NA,272,NA,NA,NA,NA,0.644414621983362,0.0217564694832811
"Indiana","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.644414621983362,0.0217564694832811
"Indiana","data","Past",2020-03-31,"daily_cases",NA,NA,NA,373,NA,NA,NA,NA,0.640284674592067,0.0191824931175908
"Indiana","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA,0.640284674592067,0.0191824931175908
"Indiana","data","Past",2020-04-01,"daily_cases",NA,NA,NA,406,NA,NA,NA,NA,0.63654644497926,0.0171106812953441
"Indiana","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,16,NA,NA,NA,NA,0.63654644497926,0.0171106812953441
"Indiana","data","Past",2020-04-02,"daily_cases",NA,NA,NA,474,NA,NA,NA,NA,0.63258497366219,0.0155028964875109
"Indiana","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.63258497366219,0.0155028964875109
"Indiana","data","Past",2020-04-03,"daily_cases",NA,NA,NA,398,NA,NA,NA,NA,0.628524563927506,0.0143244323336226
"Indiana","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,24,NA,NA,NA,NA,0.628524563927506,0.0143244323336226
"Indiana","data","Past",2020-04-04,"daily_cases",NA,NA,NA,516,NA,NA,NA,NA,0.624948472159113,0.0135487700593465
"Indiana","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA,0.624948472159113,0.0135487700593465
"Indiana","data","Past",2020-04-05,"daily_cases",NA,NA,NA,458,NA,NA,NA,NA,0.622345872439901,0.0131210977070136
"Indiana","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,11,NA,NA,NA,NA,0.622345872439901,0.0131210977070136
"Indiana","data","Past",2020-04-06,"daily_cases",NA,NA,NA,533,NA,NA,NA,NA,0.620537196416794,0.0129744240700503
"Indiana","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA,0.620537196416794,0.0129744240700503
"Indiana","data","Past",2020-04-07,"daily_cases",NA,NA,NA,563,NA,NA,NA,NA,0.619191737760074,0.0130618655304354
"Indiana","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,34,NA,NA,NA,NA,0.619191737760074,0.0130618655304354
"Indiana","data","Past",2020-04-08,"daily_cases",NA,NA,NA,436,NA,NA,NA,NA,0.618042980669413,0.0133495705193567
"Indiana","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,30,NA,NA,NA,NA,0.618042980669413,0.0133495705193567
"Indiana","data","Past",2020-04-09,"daily_cases",NA,NA,NA,408,NA,NA,NA,NA,0.616943511438975,0.0138107403847705
"Indiana","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,42,NA,NA,NA,NA,0.616943511438975,0.0138107403847705
"Indiana","data","Past",2020-04-10,"daily_cases",NA,NA,NA,556,NA,NA,NA,NA,0.616158134211499,0.0144210117854831
"Indiana","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,55,NA,NA,NA,NA,0.616158134211499,0.0144210117854831
"Indiana","data","Past",2020-04-11,"daily_cases",NA,NA,NA,528,NA,NA,NA,NA,0.616137572596374,0.0151546435558811
"Indiana","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,30,NA,NA,NA,NA,0.616137572596374,0.0151546435558811
"Indiana","data","Past",2020-04-12,"daily_cases",NA,NA,NA,493,NA,NA,NA,NA,0.617433493916922,0.0159812637521243
"Indiana","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA,0.617433493916922,0.0159812637521243
"Indiana","data","Past",2020-04-13,"daily_cases",NA,NA,NA,308,NA,NA,NA,NA,0.619758365284579,0.0168631751899826
"Indiana","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.619758365284579,0.0168631751899826
"Indiana","data","Past",2020-04-14,"daily_cases",NA,NA,NA,291,NA,NA,NA,NA,0.622557322346921,0.0177534194064707
"Indiana","data","Past",2020-04-14,"daily_deaths",NA,NA,NA,38,NA,NA,NA,NA,0.622557322346921,0.0177534194064707
"Indiana","data","Past",2020-04-15,"daily_cases",NA,NA,NA,428,NA,NA,NA,NA,0.625128240112457,0.0185949589835782
"Indiana","data","Past",2020-04-15,"daily_deaths",NA,NA,NA,48,NA,NA,NA,NA,0.625128240112457,0.0185949589835782
"Indiana","data","Past",2020-04-16,"daily_cases",NA,NA,NA,587,NA,NA,NA,NA,0.626903254642103,0.0193214325508739
"Indiana","data","Past",2020-04-16,"daily_deaths",NA,NA,NA,41,NA,NA,NA,NA,0.626903254642103,0.0193214325508739
"Indiana","data","Past",2020-04-17,"daily_cases",NA,NA,NA,612,NA,NA,NA,NA,0.627998806845477,0.01985992583075
"Indiana","data","Past",2020-04-17,"daily_deaths",NA,NA,NA,42,NA,NA,NA,NA,0.627998806845477,0.01985992583075
"Indiana","data","Past",2020-04-18,"daily_cases",NA,NA,NA,487,NA,NA,NA,NA,0.628676164952107,0.0201452552323038
"Indiana","data","Past",2020-04-18,"daily_deaths",NA,NA,NA,26,NA,NA,NA,NA,0.628676164952107,0.0201452552323038
"Indiana","data","Past",2020-04-19,"daily_cases",NA,NA,NA,569,NA,NA,NA,NA,0.629091601622484,0.0201748700687371
"Indiana","data","Past",2020-04-19,"daily_deaths",NA,NA,NA,17,NA,NA,NA,NA,0.629091601622484,0.0201748700687371
"Indiana","data","Past",2020-04-20,"daily_cases",NA,NA,NA,476,NA,NA,NA,NA,0.629310088760473,0.0199774644920261
"Indiana","data","Past",2020-04-20,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.629310088760473,0.0199774644920261
"Indiana","data","Past",2020-04-21,"daily_cases",NA,NA,NA,411,NA,NA,NA,NA,0.629136390812476,0.0195888165870963
"Indiana","data","Past",2020-04-21,"daily_deaths",NA,NA,NA,61,NA,NA,NA,NA,0.629136390812476,0.0195888165870963
"Indiana","data","Past",2020-04-22,"daily_cases",NA,NA,NA,341,NA,NA,NA,NA,0.628406241401309,0.0190484274121719
"Indiana","data","Past",2020-04-22,"daily_deaths",NA,NA,NA,31,NA,NA,NA,NA,0.628406241401309,0.0190484274121719
"Indiana","data","Past",2020-04-23,"daily_cases",NA,NA,NA,601,NA,NA,NA,NA,0.627421867349823,0.0183966047447735
"Indiana","data","Past",2020-04-23,"daily_deaths",NA,NA,NA,45,NA,NA,NA,NA,0.627421867349823,0.0183966047447735
"Indiana","data","Past",2020-04-24,"daily_cases",NA,NA,NA,641,NA,NA,NA,NA,0.626911152669356,0.0176721372667707
"Indiana","data","Past",2020-04-24,"daily_deaths",NA,NA,NA,35,NA,NA,NA,NA,0.626911152669356,0.0176721372667707
"Indiana","data","Past",2020-04-25,"daily_cases",NA,NA,NA,715,NA,NA,NA,NA,0.627583204646799,0.0169106379784622
"Indiana","data","Past",2020-04-25,"daily_deaths",NA,NA,NA,44,NA,NA,NA,NA,0.627583204646799,0.0169106379784622
"Indiana","data","Past",2020-04-26,"daily_cases",NA,NA,NA,617,NA,NA,NA,NA,0.629742387523535,0.0161435477174778
"Indiana","data","Past",2020-04-26,"daily_deaths",NA,NA,NA,28,NA,NA,NA,NA,0.629742387523535,0.0161435477174778
