"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Louisiana","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"Louisiana","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Louisiana","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.998729868962764,0.206749343330515
"Louisiana","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.998729868962764,0.206749343330515
"Louisiana","data","Past",2020-03-09,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.988971730849985,0.152020230887619
"Louisiana","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.988971730849985,0.152020230887619
"Louisiana","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.976396172818649,0.113874654446074
"Louisiana","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.976396172818649,0.113874654446074
"Louisiana","data","Past",2020-03-11,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.960818354861165,0.08735213834709
"Louisiana","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.960818354861165,0.08735213834709
"Louisiana","data","Past",2020-03-12,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.942349471291625,0.0687666885916831
"Louisiana","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.942349471291625,0.0687666885916831
"Louisiana","data","Past",2020-03-13,"daily_cases",NA,NA,NA,22,NA,NA,NA,NA,0.921313362495539,0.0555697303021642
"Louisiana","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.921313362495539,0.0555697303021642
"Louisiana","data","Past",2020-03-14,"daily_cases",NA,NA,NA,15,NA,NA,NA,NA,0.898444865437461,0.0460501189393594
"Louisiana","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.898444865437461,0.0460501189393594
"Louisiana","data","Past",2020-03-15,"daily_cases",NA,NA,NA,39,NA,NA,NA,NA,0.874043241033114,0.0390671406697514
"Louisiana","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.874043241033114,0.0390671406697514
"Louisiana","data","Past",2020-03-16,"daily_cases",NA,NA,NA,25,NA,NA,NA,NA,0.848260202294429,0.0338562492351054
"Louisiana","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.848260202294429,0.0338562492351054
"Louisiana","data","Past",2020-03-17,"daily_cases",NA,NA,NA,22,NA,NA,NA,NA,0.821231484157996,0.0298983037717848
"Louisiana","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.821231484157996,0.0298983037717848
"Louisiana","data","Past",2020-03-18,"daily_cases",NA,NA,NA,103,NA,NA,NA,NA,0.793259311572459,0.0268343139841055
"Louisiana","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.793259311572459,0.0268343139841055
"Louisiana","data","Past",2020-03-19,"daily_cases",NA,NA,NA,107,NA,NA,NA,NA,0.765327847610021,0.0244104648572921
"Louisiana","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.765327847610021,0.0244104648572921
"Louisiana","data","Past",2020-03-20,"daily_cases",NA,NA,NA,126,NA,NA,NA,NA,0.73859440891803,0.0224427291835744
"Louisiana","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.73859440891803,0.0224427291835744
"Louisiana","data","Past",2020-03-21,"daily_cases",NA,NA,NA,107,NA,NA,NA,NA,0.71422698832085,0.0207940897012003
"Louisiana","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.71422698832085,0.0207940897012003
"Louisiana","data","Past",2020-03-22,"daily_cases",NA,NA,NA,257,NA,NA,NA,NA,0.693155908223321,0.019360715478649
"Louisiana","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.693155908223321,0.019360715478649
"Louisiana","data","Past",2020-03-23,"daily_cases",NA,NA,NA,335,NA,NA,NA,NA,0.67527143365496,0.0180852875439805
"Louisiana","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA,0.67527143365496,0.0180852875439805
"Louisiana","data","Past",2020-03-24,"daily_cases",NA,NA,NA,216,NA,NA,NA,NA,0.6599086921007,0.0169485103977203
"Louisiana","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA,0.6599086921007,0.0169485103977203
"Louisiana","data","Past",2020-03-25,"daily_cases",NA,NA,NA,407,NA,NA,NA,NA,0.64641623413971,0.0159352389123463
"Louisiana","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,19,NA,NA,NA,NA,0.64641623413971,0.0159352389123463
"Louisiana","data","Past",2020-03-26,"daily_cases",NA,NA,NA,510,NA,NA,NA,NA,0.634511100808881,0.0150322668225568
"Louisiana","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA,0.634511100808881,0.0150322668225568
"Louisiana","data","Past",2020-03-27,"daily_cases",NA,NA,NA,441,NA,NA,NA,NA,0.624080434196246,0.0142280820554077
"Louisiana","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,36,NA,NA,NA,NA,0.624080434196246,0.0142280820554077
"Louisiana","data","Past",2020-03-28,"daily_cases",NA,NA,NA,569,NA,NA,NA,NA,0.615323290136657,0.0135126549745365
"Louisiana","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA,0.615323290136657,0.0135126549745365
"Louisiana","data","Past",2020-03-29,"daily_cases",NA,NA,NA,225,NA,NA,NA,NA,0.608371786975851,0.012877255496474
"Louisiana","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA,0.608371786975851,0.012877255496474
"Louisiana","data","Past",2020-03-30,"daily_cases",NA,NA,NA,485,NA,NA,NA,NA,0.602778379356256,0.0123142954887326
"Louisiana","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,34,NA,NA,NA,NA,0.602778379356256,0.0123142954887326
"Louisiana","data","Past",2020-03-31,"daily_cases",NA,NA,NA,1212,NA,NA,NA,NA,0.597985489754606,0.0118171932914665
"Louisiana","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,54,NA,NA,NA,NA,0.597985489754606,0.0118171932914665
"Louisiana","data","Past",2020-04-01,"daily_cases",NA,NA,NA,1187,NA,NA,NA,NA,0.593575075688148,0.0113802576082643
"Louisiana","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,34,NA,NA,NA,NA,0.593575075688148,0.0113802576082643
"Louisiana","data","Past",2020-04-02,"daily_cases",NA,NA,NA,2726,NA,NA,NA,NA,0.589298261884109,0.0109985883830227
"Louisiana","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,37,NA,NA,NA,NA,0.589298261884109,0.0109985883830227
"Louisiana","data","Past",2020-04-03,"daily_cases",NA,NA,NA,1147,NA,NA,NA,NA,0.585462078126788,0.0106679926180553
"Louisiana","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,60,NA,NA,NA,NA,0.585462078126788,0.0106679926180553
"Louisiana","data","Past",2020-04-04,"daily_cases",NA,NA,NA,2199,NA,NA,NA,NA,0.582582922681035,0.0103849133948456
"Louisiana","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,39,NA,NA,NA,NA,0.582582922681035,0.0103849133948456
"Louisiana","data","Past",2020-04-05,"daily_cases",NA,NA,NA,514,NA,NA,NA,NA,0.581022864808143,0.0101460643076653
