"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Maryland","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.993139030604104,1
"Maryland","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.993139030604104,1
"Maryland","data","Past",2020-03-06,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.986497338351497,0.999685441849431
"Maryland","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.986497338351497,0.999685441849431
"Maryland","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.977724340339056,0.999681725161676
"Maryland","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.977724340339056,0.999681725161676
"Maryland","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.966437984142072,0.999660048308011
"Maryland","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.966437984142072,0.999660048308011
"Maryland","data","Past",2020-03-09,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.952335155159301,0.99961836086891
"Maryland","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.952335155159301,0.99961836086891
"Maryland","data","Past",2020-03-10,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.935328277352338,0.999551651886983
"Maryland","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.935328277352338,0.999551651886983
"Maryland","data","Past",2020-03-11,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.915471765334151,0.999451206566727
"Maryland","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.915471765334151,0.999451206566727
"Maryland","data","Past",2020-03-12,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.893172457760356,0.999303155798919
"Maryland","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.893172457760356,0.999303155798919
"Maryland","data","Past",2020-03-13,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.869017667049159,0.999086108714886
