"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"New Jersey","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.987820901043285,1
"New Jersey","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.987820901043285,1
"New Jersey","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.97889466004884,0.998026444652006
"New Jersey","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.97889466004884,0.998026444652006
"New Jersey","data","Past",2020-03-07,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.96739345969121,0.997416480453399
"New Jersey","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.96739345969121,0.997416480453399
"New Jersey","data","Past",2020-03-08,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.952952123808383,0.99655327931783
"New Jersey","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.952952123808383,0.99655327931783
"New Jersey","data","Past",2020-03-09,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.935271512010918,0.995326383902654
"New Jersey","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.935271512010918,0.995326383902654
"New Jersey","data","Past",2020-03-10,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.914223866868316,0.993576796268885
"New Jersey","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.914223866868316,0.993576796268885
"New Jersey","data","Past",2020-03-11,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.889828199436664,0.99107782515619
"New Jersey","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.889828199436664,0.99107782515619
"New Jersey","data","Past",2020-03-12,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.862519211759471,0.987510740799057
"New Jersey","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.862519211759471,0.987510740799057
"New Jersey","data","Past",2020-03-13,"daily_cases",NA,NA,NA,20,NA,NA,NA,NA,0.832906014989666,0.98243616178307
"New Jersey","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.832906014989666,0.98243616178307
"New Jersey","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.801802531768268,0.975264800210222
"New Jersey","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.801802531768268,0.975264800210222
"New Jersey","data","Past",2020-03-15,"daily_cases",NA,NA,NA,48,NA,NA,NA,NA,0.76978463525012,0.96523591000682
"New Jersey","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.76978463525012,0.96523591000682
"New Jersey","data","Past",2020-03-16,"daily_cases",NA,NA,NA,80,NA,NA,NA,NA,0.737308426672309,0.951418657913074
"New Jersey","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.737308426672309,0.951418657913074
"New Jersey","data","Past",2020-03-17,"daily_cases",NA,NA,NA,89,NA,NA,NA,NA,0.70465945544965,0.932759188268227
"New Jersey","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.70465945544965,0.932759188268227
"New Jersey","data","Past",2020-03-18,"daily_cases",NA,NA,NA,160,NA,NA,NA,NA,0.672182260005399,0.908199596118029
"New Jersey","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.672182260005399,0.908199596118029
"New Jersey","data","Past",2020-03-19,"daily_cases",NA,NA,NA,315,NA,NA,NA,NA,0.640627886618861,0.876885414310082
"New Jersey","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.640627886618861,0.876885414310082
"New Jersey","data","Past",2020-03-20,"daily_cases",NA,NA,NA,148,NA,NA,NA,NA,0.610862396859786,0.838445831179775
"New Jersey","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.610862396859786,0.838445831179775
"New Jersey","data","Past",2020-03-21,"daily_cases",NA,NA,NA,437,NA,NA,NA,NA,0.583805405603642,0.793194122764916
"New Jersey","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.583805405603642,0.793194122764916
"New Jersey","data","Past",2020-03-22,"daily_cases",NA,NA,NA,587,NA,NA,NA,NA,0.560286805539649,0.742069630791619
"New Jersey","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.560286805539649,0.742069630791619
"New Jersey","data","Past",2020-03-23,"daily_cases",NA,NA,NA,930,NA,NA,NA,NA,0.540560717411452,0.686681402887272
"New Jersey","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA,0.540560717411452,0.686681402887272
"New Jersey","data","Past",2020-03-24,"daily_cases",NA,NA,NA,831,NA,NA,NA,NA,0.524124831870643,0.629137677102893
"New Jersey","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,17,NA,NA,NA,NA,0.524124831870643,0.629137677102893
"New Jersey","data","Past",2020-03-25,"daily_cases",NA,NA,NA,727,NA,NA,NA,NA,0.510366066104794,0.571727757672406
"New Jersey","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA,0.510366066104794,0.571727757672406
"New Jersey","data","Past",2020-03-26,"daily_cases",NA,NA,NA,2474,NA,NA,NA,NA,0.498881563024766,0.516580470170812
"New Jersey","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,19,NA,NA,NA,NA,0.498881563024766,0.516580470170812
"New Jersey","data","Past",2020-03-27,"daily_cases",NA,NA,NA,1949,NA,NA,NA,NA,0.489413696772921,0.465402547598166
"New Jersey","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,27,NA,NA,NA,NA,0.489413696772921,0.465402547598166
"New Jersey","data","Past",2020-03-28,"daily_cases",NA,NA,NA,2299,NA,NA,NA,NA,0.482075540694337,0.419353891900045
"New Jersey","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,32,NA,NA,NA,NA,0.482075540694337,0.419353891900045
"New Jersey","data","Past",2020-03-29,"daily_cases",NA,NA,NA,2262,NA,NA,NA,NA,0.47693329616928,0.379056152051259
"New Jersey","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,21,NA,NA,NA,NA,0.47693329616928,0.379056152051259
"New Jersey","data","Past",2020-03-30,"daily_cases",NA,NA,NA,3250,NA,NA,NA,NA,0.473494977516033,0.344690904161086
"New Jersey","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,37,NA,NA,NA,NA,0.473494977516033,0.344690904161086
"New Jersey","data","Past",2020-03-31,"daily_cases",NA,NA,NA,2060,NA,NA,NA,NA,0.471139884987261,0.316134871701806
"New Jersey","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,69,NA,NA,NA,NA,0.471139884987261,0.316134871701806
"New Jersey","data","Past",2020-04-01,"daily_cases",NA,NA,NA,3559,NA,NA,NA,NA,0.469290649635148,0.293092322323891
"New Jersey","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,88,NA,NA,NA,NA,0.469290649635148,0.293092322323891
"New Jersey","data","Past",2020-04-02,"daily_cases",NA,NA,NA,3335,NA,NA,NA,NA,0.467468583644515,0.275203832937116
"New Jersey","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,182,NA,NA,NA,NA,0.467468583644515,0.275203832937116
"New Jersey","data","Past",2020-04-03,"daily_cases",NA,NA,NA,4305,NA,NA,NA,NA,0.465607960693412,0.262123727192712
"New Jersey","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,109,NA,NA,NA,NA,0.465607960693412,0.262123727192712
"New Jersey","data","Past",2020-04-04,"daily_cases",NA,NA,NA,4229,NA,NA,NA,NA,0.463977173941454,0.253377064665075
"New Jersey","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,200,NA,NA,NA,NA,0.463977173941454,0.253377064665075
"New Jersey","data","Past",2020-04-05,"daily_cases",NA,NA,NA,3381,NA,NA,NA,NA,0.46281676400504,0.248256812993958
"New Jersey","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,71,NA,NA,NA,NA,0.46281676400504,0.248256812993958
"New Jersey","data","Past",2020-04-06,"daily_cases",NA,NA,NA,3585,NA,NA,NA,NA,0.462009590278907,0.246144131543266
"New Jersey","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,86,NA,NA,NA,NA,0.462009590278907,0.246144131543266
"New Jersey","data","Past",2020-04-07,"daily_cases",NA,NA,NA,3326,NA,NA,NA,NA,0.461378554076677,0.246509431664072
"New Jersey","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,229,NA,NA,NA,NA,0.461378554076677,0.246509431664072
"New Jersey","data","Past",2020-04-08,"daily_cases",NA,NA,NA,3021,NA,NA,NA,NA,0.460864405609194,0.248878251493694
"New Jersey","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,272,NA,NA,NA,NA,0.460864405609194,0.248878251493694
"New Jersey","data","Past",2020-04-09,"daily_cases",NA,NA,NA,3590,NA,NA,NA,NA,0.460486420968446,0.252802132412738
"New Jersey","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,196,NA,NA,NA,NA,0.460486420968446,0.252802132412738
"New Jersey","data","Past",2020-04-10,"daily_cases",NA,NA,NA,3561,NA,NA,NA,NA,0.460460130873782,0.257835480069498
"New Jersey","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,232,NA,NA,NA,NA,0.460460130873782,0.257835480069498
"New Jersey","data","Past",2020-04-11,"daily_cases",NA,NA,NA,3563,NA,NA,NA,NA,0.461091061226179,0.2635188396917
"New Jersey","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,251,NA,NA,NA,NA,0.461091061226179,0.2635188396917
"New Jersey","data","Past",2020-04-12,"daily_cases",NA,NA,NA,3699,NA,NA,NA,NA,0.462727831603881,0.269368761851776
"New Jersey","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,167,NA,NA,NA,NA,0.462727831603881,0.269368761851776
"New Jersey","data","Past",2020-04-13,"daily_cases",NA,NA,NA,2734,NA,NA,NA,NA,0.465277463422411,0.274874218466842
"New Jersey","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,93,NA,NA,NA,NA,0.465277463422411,0.274874218466842
"New Jersey","data","Past",2020-04-14,"daily_cases",NA,NA,NA,4240,NA,NA,NA,NA,0.46845431150523,0.279499293495173
"New Jersey","data","Past",2020-04-14,"daily_deaths",NA,NA,NA,362,NA,NA,NA,NA,0.46845431150523,0.279499293495173
"New Jersey","data","Past",2020-04-15,"daily_cases",NA,NA,NA,2206,NA,NA,NA,NA,0.471684593995049,0.282691696485826
"New Jersey","data","Past",2020-04-15,"daily_deaths",NA,NA,NA,351,NA,NA,NA,NA,0.471684593995049,0.282691696485826
"New Jersey","data","Past",2020-04-16,"daily_cases",NA,NA,NA,4287,NA,NA,NA,NA,0.474437971629118,0.283896670185751
"New Jersey","data","Past",2020-04-16,"daily_deaths",NA,NA,NA,362,NA,NA,NA,NA,0.474437971629118,0.283896670185751
"New Jersey","data","Past",2020-04-17,"daily_cases",NA,NA,NA,3150,NA,NA,NA,NA,0.476646012203567,0.282587822352419
"New Jersey","data","Past",2020-04-17,"daily_deaths",NA,NA,NA,322,NA,NA,NA,NA,0.476646012203567,0.282587822352419
"New Jersey","data","Past",2020-04-18,"daily_cases",NA,NA,NA,2953,NA,NA,NA,NA,0.478365986523491,0.278660556769657
"New Jersey","data","Past",2020-04-18,"daily_deaths",NA,NA,NA,230,NA,NA,NA,NA,0.478365986523491,0.278660556769657
"New Jersey","data","Past",2020-04-19,"daily_cases",NA,NA,NA,3881,NA,NA,NA,NA,0.479696070370947,0.272510807115633
"New Jersey","data","Past",2020-04-19,"daily_deaths",NA,NA,NA,132,NA,NA,NA,NA,0.479696070370947,0.272510807115633
"New Jersey","data","Past",2020-04-20,"daily_cases",NA,NA,NA,3505,NA,NA,NA,NA,0.480714319607833,0.264582427420023
"New Jersey","data","Past",2020-04-20,"daily_deaths",NA,NA,NA,175,NA,NA,NA,NA,0.480714319607833,0.264582427420023
"New Jersey","data","Past",2020-04-21,"daily_cases",NA,NA,NA,3581,NA,NA,NA,NA,0.481377405438417,0.255323637050052
"New Jersey","data","Past",2020-04-21,"daily_deaths",NA,NA,NA,376,NA,NA,NA,NA,0.481377405438417,0.255323637050052
"New Jersey","data","Past",2020-04-22,"daily_cases",NA,NA,NA,3478,NA,NA,NA,NA,0.481676028847864,0.245172809211832
"New Jersey","data","Past",2020-04-22,"daily_deaths",NA,NA,NA,310,NA,NA,NA,NA,0.481676028847864,0.245172809211832
"New Jersey","data","Past",2020-04-23,"daily_cases",NA,NA,NA,4124,NA,NA,NA,NA,0.481883568277206,0.234546084795136
"New Jersey","data","Past",2020-04-23,"daily_deaths",NA,NA,NA,305,NA,NA,NA,NA,0.481883568277206,0.234546084795136
