"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"New Mexico","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"New Mexico","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"New Mexico","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.925098952718957
"New Mexico","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.925098952718957
"New Mexico","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.92751105413467
"New Mexico","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.92751105413467
"New Mexico","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.933720306333588
"New Mexico","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.933720306333588
"New Mexico","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.996153545692956,0.942269011128453
"New Mexico","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.996153545692956,0.942269011128453
"New Mexico","data","Past",2020-03-11,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.985803978022654,0.951698071701545
"New Mexico","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.985803978022654,0.951698071701545
"New Mexico","data","Past",2020-03-12,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.973915047421368,0.960842854994895
"New Mexico","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.973915047421368,0.960842854994895
"New Mexico","data","Past",2020-03-13,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.960984033895954,0.968960017980354
"New Mexico","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.960984033895954,0.968960017980354
"New Mexico","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.947394688090167,0.975708321305882
"New Mexico","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.947394688090167,0.975708321305882
"New Mexico","data","Past",2020-03-15,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.932960170568069,0.981045388281986
"New Mexico","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.932960170568069,0.981045388281986
"New Mexico","data","Past",2020-03-16,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.917303645222392,0.985104194894518
"New Mexico","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.917303645222392,0.985104194894518
"New Mexico","data","Past",2020-03-17,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.899866644182049,0.988090224456987
"New Mexico","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.899866644182049,0.988090224456987
"New Mexico","data","Past",2020-03-18,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.880263886769141,0.990213408321592
"New Mexico","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.880263886769141,0.990213408321592
"New Mexico","data","Past",2020-03-19,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA,0.858984472842328,0.991651101538643
"New Mexico","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.858984472842328,0.991651101538643
"New Mexico","data","Past",2020-03-20,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.836757257134629,0.992531122396697
"New Mexico","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.836757257134629,0.992531122396697
"New Mexico","data","Past",2020-03-21,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.814395733339934,0.992923560735956
"New Mexico","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.814395733339934,0.992923560735956
"New Mexico","data","Past",2020-03-22,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.792673625426896,0.992868673662922
"New Mexico","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.792673625426896,0.992868673662922
"New Mexico","data","Past",2020-03-23,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.772054127902499,0.992398451129777
"New Mexico","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.772054127902499,0.992398451129777
"New Mexico","data","Past",2020-03-24,"daily_cases",NA,NA,NA,18,NA,NA,NA,NA,0.752672259408842,0.991486095162603
"New Mexico","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.752672259408842,0.991486095162603
"New Mexico","data","Past",2020-03-25,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.734660906251977,0.990047240055842
"New Mexico","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.734660906251977,0.990047240055842
"New Mexico","data","Past",2020-03-26,"daily_cases",NA,NA,NA,12,NA,NA,NA,NA,0.718411671793191,0.98793818149147
"New Mexico","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.718411671793191,0.98793818149147
"New Mexico","data","Past",2020-03-27,"daily_cases",NA,NA,NA,24,NA,NA,NA,NA,0.704336184021173,0.984948746218038
"New Mexico","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.704336184021173,0.984948746218038
"New Mexico","data","Past",2020-03-28,"daily_cases",NA,NA,NA,55,NA,NA,NA,NA,0.692667452378999,0.980794553826372
"New Mexico","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.692667452378999,0.980794553826372
"New Mexico","data","Past",2020-03-29,"daily_cases",NA,NA,NA,46,NA,NA,NA,NA,0.683442246651289,0.975115346544097
"New Mexico","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.683442246651289,0.975115346544097
"New Mexico","data","Past",2020-03-30,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.676090996534473,0.967489494931156
"New Mexico","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.676090996534473,0.967489494931156
"New Mexico","data","Past",2020-03-31,"daily_cases",NA,NA,NA,44,NA,NA,NA,NA,0.669909929487559,0.957478216049943
"New Mexico","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.669909929487559,0.957478216049943
"New Mexico","data","Past",2020-04-01,"daily_cases",NA,NA,NA,34,NA,NA,NA,NA,0.664264804108078,0.944713182594987
"New Mexico","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.664264804108078,0.944713182594987
"New Mexico","data","Past",2020-04-02,"daily_cases",NA,NA,NA,48,NA,NA,NA,NA,0.658690397383273,0.929033009990863
"New Mexico","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.658690397383273,0.929033009990863
"New Mexico","data","Past",2020-04-03,"daily_cases",NA,NA,NA,40,NA,NA,NA,NA,0.653314246046669,0.910653551024465
"New Mexico","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.653314246046669,0.910653551024465
"New Mexico","data","Past",2020-04-04,"daily_cases",NA,NA,NA,92,NA,NA,NA,NA,0.648360391740662,0.890302929505882
"New Mexico","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.648360391740662,0.890302929505882
"New Mexico","data","Past",2020-04-05,"daily_cases",NA,NA,NA,48,NA,NA,NA,NA,0.643952776736888,0.868834294692876
"New Mexico","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.643952776736888,0.868834294692876
"New Mexico","data","Past",2020-04-06,"daily_cases",NA,NA,NA,81,NA,NA,NA,NA,0.639870076520142,0.846951305202653
"New Mexico","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.639870076520142,0.846951305202653
"New Mexico","data","Past",2020-04-07,"daily_cases",NA,NA,NA,62,NA,NA,NA,NA,0.635829703196306,0.825348419709508
"New Mexico","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.635829703196306,0.825348419709508
"New Mexico","data","Past",2020-04-08,"daily_cases",NA,NA,NA,108,NA,NA,NA,NA,0.631649282142441,0.804656008802597
"New Mexico","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.631649282142441,0.804656008802597
"New Mexico","data","Past",2020-04-09,"daily_cases",NA,NA,NA,71,NA,NA,NA,NA,0.627285603286997,0.785395882566098
"New Mexico","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.627285603286997,0.785395882566098
"New Mexico","data","Past",2020-04-10,"daily_cases",NA,NA,NA,226,NA,NA,NA,NA,0.6231519014928,0.767958248719041
"New Mexico","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.6231519014928,0.767958248719041
"New Mexico","data","Past",2020-04-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.619805099403237,0.752597412471728
"New Mexico","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.619805099403237,0.752597412471728
"New Mexico","data","Past",2020-04-12,"daily_cases",NA,NA,NA,83,NA,NA,NA,NA,0.617766403090436,0.739440872525142
"New Mexico","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.617766403090436,0.739440872525142
"New Mexico","data","Past",2020-04-13,"daily_cases",NA,NA,NA,71,NA,NA,NA,NA,0.616970504136935,0.728506081178757
"New Mexico","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA,0.616970504136935,0.728506081178757
