"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Tennessee","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"Tennessee","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Tennessee","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.927046282587681
"Tennessee","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.927046282587681
"Tennessee","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.944531797128591
"Tennessee","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.944531797128591
"Tennessee","data","Past",2020-03-08,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,1,0.953522953823608
"Tennessee","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.953522953823608
"Tennessee","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.994733772080423,0.957354128537356
"Tennessee","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.994733772080423,0.957354128537356
"Tennessee","data","Past",2020-03-10,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.984870244821892,0.957510567407307
"Tennessee","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.984870244821892,0.957510567407307
"Tennessee","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.97320608982262,0.95447102706663
"Tennessee","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.97320608982262,0.95447102706663
"Tennessee","data","Past",2020-03-12,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.960034458067627,0.948069035264052
"Tennessee","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.960034458067627,0.948069035264052
"Tennessee","data","Past",2020-03-13,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.945748905110629,0.937630553812213
"Tennessee","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.945748905110629,0.937630553812213
"Tennessee","data","Past",2020-03-14,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.930791954253648,0.922026266606733
"Tennessee","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.930791954253648,0.922026266606733
"Tennessee","data","Past",2020-03-15,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA,0.91512111693692,0.899742231069234
"Tennessee","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.91512111693692,0.899742231069234
"Tennessee","data","Past",2020-03-16,"daily_cases",NA,NA,NA,13,NA,NA,NA,NA,0.898506629211945,0.869080684430179
"Tennessee","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.898506629211945,0.869080684430179
"Tennessee","data","Past",2020-03-17,"daily_cases",NA,NA,NA,21,NA,NA,NA,NA,0.880500029627376,0.828603581746827
"Tennessee","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.880500029627376,0.828603581746827
"Tennessee","data","Past",2020-03-18,"daily_cases",NA,NA,NA,25,NA,NA,NA,NA,0.860793711478766,0.777849125748178
"Tennessee","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.860793711478766,0.777849125748178
"Tennessee","data","Past",2020-03-19,"daily_cases",NA,NA,NA,56,NA,NA,NA,NA,0.839862184552117,0.718125423818903
"Tennessee","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.839862184552117,0.718125423818903
"Tennessee","data","Past",2020-03-20,"daily_cases",NA,NA,NA,74,NA,NA,NA,NA,0.818441956438274,0.652912094973178
"Tennessee","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.818441956438274,0.652912094973178
"Tennessee","data","Past",2020-03-21,"daily_cases",NA,NA,NA,143,NA,NA,NA,NA,0.797535409457009,0.586798438757316
"Tennessee","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.797535409457009,0.586798438757316
"Tennessee","data","Past",2020-03-22,"daily_cases",NA,NA,NA,134,NA,NA,NA,NA,0.778100121499138,0.523141289077895
"Tennessee","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.778100121499138,0.523141289077895
"Tennessee","data","Past",2020-03-23,"daily_cases",NA,NA,NA,110,NA,NA,NA,NA,0.760529446701207,0.464369800866746
"Tennessee","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.760529446701207,0.464369800866746
"Tennessee","data","Past",2020-03-24,"daily_cases",NA,NA,NA,52,NA,NA,NA,NA,0.744628940850495,0.41199601104766
"Tennessee","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.744628940850495,0.41199601104766
"Tennessee","data","Past",2020-03-25,"daily_cases",NA,NA,NA,117,NA,NA,NA,NA,0.73010252406821,0.366671213369638
"Tennessee","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.73010252406821,0.366671213369638
"Tennessee","data","Past",2020-03-26,"daily_cases",NA,NA,NA,173,NA,NA,NA,NA,0.716724099049373,0.328393820889627
"Tennessee","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.716724099049373,0.328393820889627
"Tennessee","data","Past",2020-03-27,"daily_cases",NA,NA,NA,246,NA,NA,NA,NA,0.704391456513288,0.296753222178405
