"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Utah","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.969638650677152,1
"Utah","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.969638650677152,1
"Utah","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.958334114128089,0.367182583459505
"Utah","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.958334114128089,0.367182583459505
"Utah","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.945636419437436,0.284504777079291
"Utah","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.945636419437436,0.284504777079291
"Utah","data","Past",2020-03-10,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.931524167337346,0.222982454137187
"Utah","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.931524167337346,0.222982454137187
"Utah","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.916027260342115,0.178400726141536
"Utah","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.916027260342115,0.178400726141536
"Utah","data","Past",2020-03-12,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.89929086748454,0.146385058008823
"Utah","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.89929086748454,0.146385058008823
"Utah","data","Past",2020-03-13,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.881564089648935,0.123370731462511
"Utah","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.881564089648935,0.123370731462511
"Utah","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.863255339312263,0.106725369521399
"Utah","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.863255339312263,0.106725369521399
"Utah","data","Past",2020-03-15,"daily_cases",NA,NA,NA,22,NA,NA,NA,NA,0.844283546993673,0.0945813400125827
"Utah","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.844283546993673,0.0945813400125827
"Utah","data","Past",2020-03-16,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.824495140648978,0.0856253236550021
"Utah","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.824495140648978,0.0856253236550021
"Utah","data","Past",2020-03-17,"daily_cases",NA,NA,NA,12,NA,NA,NA,NA,0.804011135160364,0.0789234790137918
"Utah","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.804011135160364,0.0789234790137918
"Utah","data","Past",2020-03-18,"daily_cases",NA,NA,NA,12,NA,NA,NA,NA,0.783144145370536,0.0737942797400474
