"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Delaware","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.987684388375966,1
"Delaware","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.987684388375966,1
"Delaware","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.978452926436998,0.751543050883293
"Delaware","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.978452926436998,0.751543050883293
"Delaware","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.96741157422798,0.706838822722466
"Delaware","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.96741157422798,0.706838822722466
"Delaware","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.954262255271085,0.6611895719633
"Delaware","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.954262255271085,0.6611895719633
"Delaware","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.938903591680927,0.615915763544464
"Delaware","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.938903591680927,0.615915763544464
"Delaware","data","Past",2020-03-11,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.921351415386606,0.572205606644108
"Delaware","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.921351415386606,0.572205606644108
"Delaware","data","Past",2020-03-12,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.901893698982738,0.531023140946242
"Delaware","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.901893698982738,0.531023140946242
"Delaware","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.880985543413642,0.493067435271017
"Delaware","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.880985543413642,0.493067435271017
"Delaware","data","Past",2020-03-14,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.859334750364747,0.458777097334532
"Delaware","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.859334750364747,0.458777097334532
"Delaware","data","Past",2020-03-15,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.83717352673605,0.428365801008324
"Delaware","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.83717352673605,0.428365801008324
"Delaware","data","Past",2020-03-16,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.814526905807888,0.401873020242812
"Delaware","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.814526905807888,0.401873020242812
"Delaware","data","Past",2020-03-17,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.791165914350704,0.379217241368209
"Delaware","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.791165914350704,0.379217241368209
"Delaware","data","Past",2020-03-18,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.766938843171766,0.360243662099345
"Delaware","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.766938843171766,0.360243662099345
"Delaware","data","Past",2020-03-19,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.742257045735518,0.344762711626122
"Delaware","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.742257045735518,0.344762711626122
"Delaware","data","Past",2020-03-20,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.717734404996157,0.332578755418087
"Delaware","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.717734404996157,0.332578755418087
"Delaware","data","Past",2020-03-21,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA,0.694231859209713,0.323510029611385
"Delaware","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.694231859209713,0.323510029611385
"Delaware","data","Past",2020-03-22,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.672581552173739,0.31738117856037
"Delaware","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.672581552173739,0.31738117856037
"Delaware","data","Past",2020-03-23,"daily_cases",NA,NA,NA,12,NA,NA,NA,NA,0.653151016356199,0.313853010532278
"Delaware","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.653151016356199,0.313853010532278
"Delaware","data","Past",2020-03-24,"daily_cases",NA,NA,NA,23,NA,NA,NA,NA,0.635807713165706,0.31251265176523
"Delaware","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.635807713165706,0.31251265176523
"Delaware","data","Past",2020-03-25,"daily_cases",NA,NA,NA,24,NA,NA,NA,NA,0.620353283574006,0.312976134439843
"Delaware","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.620353283574006,0.312976134439843
"Delaware","data","Past",2020-03-26,"daily_cases",NA,NA,NA,15,NA,NA,NA,NA,0.606735599580763,0.314877733772839
"Delaware","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.606735599580763,0.314877733772839
"Delaware","data","Past",2020-03-27,"daily_cases",NA,NA,NA,33,NA,NA,NA,NA,0.595010401722288,0.317859580612724
"Delaware","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.595010401722288,0.317859580612724
"Delaware","data","Past",2020-03-28,"daily_cases",NA,NA,NA,51,NA,NA,NA,NA,0.585518673653543,0.321563517045979
"Delaware","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.585518673653543,0.321563517045979
"Delaware","data","Past",2020-03-29,"daily_cases",NA,NA,NA,18,NA,NA,NA,NA,0.578478921330811,0.325625490070626
"Delaware","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA,0.578478921330811,0.325625490070626
"Delaware","data","Past",2020-03-30,"daily_cases",NA,NA,NA,32,NA,NA,NA,NA,0.573334496797007,0.329672535854388
"Delaware","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.573334496797007,0.329672535854388
"Delaware","data","Past",2020-03-31,"daily_cases",NA,NA,NA,55,NA,NA,NA,NA,0.569361141220041,0.333322235900541
"Delaware","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.569361141220041,0.333322235900541
"Delaware","data","Past",2020-04-01,"daily_cases",NA,NA,NA,49,NA,NA,NA,NA,0.565939306181179,0.336184423178697
"Delaware","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.565939306181179,0.336184423178697
"Delaware","data","Past",2020-04-02,"daily_cases",NA,NA,NA,25,NA,NA,NA,NA,0.562574191744684,0.337864901020245
"Delaware","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.562574191744684,0.337864901020245
"Delaware","data","Past",2020-04-03,"daily_cases",NA,NA,NA,57,NA,NA,NA,NA,0.55924999338389,0.337971036481313
"Delaware","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.55924999338389,0.337971036481313
