"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Massachusetts","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.839065876634426,1
"Massachusetts","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.839065876634426,1
"Massachusetts","data","Past",2020-03-13,"daily_cases",NA,NA,NA,15,NA,NA,NA,NA,0.810767119903537,0.999578960194431
"Massachusetts","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.810767119903537,0.999578960194431
"Massachusetts","data","Past",2020-03-14,"daily_cases",NA,NA,NA,15,NA,NA,NA,NA,0.781499934818607,0.999733234897737
"Massachusetts","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.781499934818607,0.999733234897737
"Massachusetts","data","Past",2020-03-15,"daily_cases",NA,NA,NA,26,NA,NA,NA,NA,0.75172012027234,0.999815912555281
"Massachusetts","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.75172012027234,0.999815912555281
"Massachusetts","data","Past",2020-03-16,"daily_cases",NA,NA,NA,33,NA,NA,NA,NA,0.721757889903204,0.999862566182741
"Massachusetts","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.721757889903204,0.999862566182741
"Massachusetts","data","Past",2020-03-17,"daily_cases",NA,NA,NA,21,NA,NA,NA,NA,0.691817555009679,0.999889740998591
"Massachusetts","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.691817555009679,0.999889740998591
"Massachusetts","data","Past",2020-03-18,"daily_cases",NA,NA,NA,38,NA,NA,NA,NA,0.662162887236061,0.999905581178508
"Massachusetts","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.662162887236061,0.999905581178508
