"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"New York","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.974953386166857,1
"New York","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.974953386166857,1
"New York","data","Past",2020-03-05,"daily_cases",NA,NA,NA,16,NA,NA,NA,NA,0.967797187551907,0.992865058110855
"New York","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.967797187551907,0.992865058110855
"New York","data","Past",2020-03-06,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.95883083865804,0.993082946206418
"New York","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.95883083865804,0.993082946206418
"New York","data","Past",2020-03-07,"daily_cases",NA,NA,NA,43,NA,NA,NA,NA,0.947717200626192,0.992745156120565
"New York","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.947717200626192,0.992745156120565
"New York","data","Past",2020-03-08,"daily_cases",NA,NA,NA,29,NA,NA,NA,NA,0.934229146822823,0.991835442322317
"New York","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.934229146822823,0.991835442322317
"New York","data","Past",2020-03-09,"daily_cases",NA,NA,NA,37,NA,NA,NA,NA,0.918159247075932,0.99022299813751
"New York","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.918159247075932,0.99022299813751
"New York","data","Past",2020-03-10,"daily_cases",NA,NA,NA,31,NA,NA,NA,NA,0.899268844834142,0.987647354401267
"New York","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.899268844834142,0.987647354401267
"New York","data","Past",2020-03-11,"daily_cases",NA,NA,NA,43,NA,NA,NA,NA,0.877395603418736,0.983675869880559
"New York","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.877395603418736,0.983675869880559
"New York","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.852713692021016,0.977636549787887
"New York","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.852713692021016,0.977636549787887
"New York","data","Past",2020-03-13,"daily_cases",NA,NA,NA,205,NA,NA,NA,NA,0.825590258468263,0.968533278556106
"New York","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.825590258468263,0.968533278556106
"New York","data","Past",2020-03-14,"daily_cases",NA,NA,NA,103,NA,NA,NA,NA,0.796730790303088,0.954967885671667
"New York","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.796730790303088,0.954967885671667
"New York","data","Past",2020-03-15,"daily_cases",NA,NA,NA,205,NA,NA,NA,NA,0.766561351402218,0.935128859150288
"New York","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.766561351402218,0.935128859150288
"New York","data","Past",2020-03-16,"daily_cases",NA,NA,NA,221,NA,NA,NA,NA,0.735365707011673,0.906955390642678
"New York","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA,0.735365707011673,0.906955390642678
"New York","data","Past",2020-03-17,"daily_cases",NA,NA,NA,750,NA,NA,NA,NA,0.703246703688985,0.868609853689874
"New York","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.703246703688985,0.868609853689874
"New York","data","Past",2020-03-18,"daily_cases",NA,NA,NA,682,NA,NA,NA,NA,0.670406210567935,0.819302737661786
"New York","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA,0.670406210567935,0.819302737661786
"New York","data","Past",2020-03-19,"daily_cases",NA,NA,NA,1770,NA,NA,NA,NA,0.637623105775793,0.760233506009631
"New York","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.637623105775793,0.760233506009631
"New York","data","Past",2020-03-20,"daily_cases",NA,NA,NA,2950,NA,NA,NA,NA,0.605850825981069,0.695043748316353
"New York","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,23,NA,NA,NA,NA,0.605850825981069,0.695043748316353
"New York","data","Past",2020-03-21,"daily_cases",NA,NA,NA,3254,NA,NA,NA,NA,0.576164033023764,0.628324957933656
"New York","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA,0.576164033023764,0.628324957933656
"New York","data","Past",2020-03-22,"daily_cases",NA,NA,NA,4812,NA,NA,NA,NA,0.549565040046178,0.563757781246149
"New York","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,70,NA,NA,NA,NA,0.549565040046178,0.563757781246149
"New York","data","Past",2020-03-23,"daily_cases",NA,NA,NA,5707,NA,NA,NA,NA,0.526507646095988,0.504111245501089
"New York","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.526507646095988,0.504111245501089
"New York","data","Past",2020-03-24,"daily_cases",NA,NA,NA,4790,NA,NA,NA,NA,0.506791418700979,0.451048014463056
"New York","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,96,NA,NA,NA,NA,0.506791418700979,0.451048014463056
"New York","data","Past",2020-03-25,"daily_cases",NA,NA,NA,5146,NA,NA,NA,NA,0.490084264019118,0.405222719753583
"New York","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,75,NA,NA,NA,NA,0.490084264019118,0.405222719753583
"New York","data","Past",2020-03-26,"daily_cases",NA,NA,NA,6447,NA,NA,NA,NA,0.476079019258423,0.366555314078381
"New York","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,100,NA,NA,NA,NA,0.476079019258423,0.366555314078381
"New York","data","Past",2020-03-27,"daily_cases",NA,NA,NA,7377,NA,NA,NA,NA,0.464548440992418,0.334525765312896
"New York","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,134,NA,NA,NA,NA,0.464548440992418,0.334525765312896
"New York","data","Past",2020-03-28,"daily_cases",NA,NA,NA,7683,NA,NA,NA,NA,0.455560032206608,0.308408957297807
"New York","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,209,NA,NA,NA,NA,0.455560032206608,0.308408957297807
"New York","data","Past",2020-03-29,"daily_cases",NA,NA,NA,7195,NA,NA,NA,NA,0.44913572695539,0.287429925711041
"New York","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,237,NA,NA,NA,NA,0.44913572695539,0.287429925711041
"New York","data","Past",2020-03-30,"daily_cases",NA,NA,NA,6984,NA,NA,NA,NA,0.444820437156738,0.270851091693688
"New York","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,253,NA,NA,NA,NA,0.444820437156738,0.270851091693688
"New York","data","Past",2020-03-31,"daily_cases",NA,NA,NA,9298,NA,NA,NA,NA,0.44203388274142,0.258012072464374
"New York","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,332,NA,NA,NA,NA,0.44203388274142,0.258012072464374
"New York","data","Past",2020-04-01,"daily_cases",NA,NA,NA,7917,NA,NA,NA,NA,0.440172037827779,0.248340576705271
"New York","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,391,NA,NA,NA,NA,0.440172037827779,0.248340576705271
"New York","data","Past",2020-04-02,"daily_cases",NA,NA,NA,8669,NA,NA,NA,NA,0.438710505578869,0.241347632743195
"New York","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,432,NA,NA,NA,NA,0.438710505578869,0.241347632743195
"New York","data","Past",2020-04-03,"daily_cases",NA,NA,NA,10482,NA,NA,NA,NA,0.437515250279752,0.236615487408304
"New York","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,562,NA,NA,NA,NA,0.437515250279752,0.236615487408304
"New York","data","Past",2020-04-04,"daily_cases",NA,NA,NA,10841,NA,NA,NA,NA,0.43673019823642,0.233789079988793
"New York","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,630,NA,NA,NA,NA,0.43673019823642,0.233789079988793
"New York","data","Past",2020-04-05,"daily_cases",NA,NA,NA,8327,NA,NA,NA,NA,0.436490879303161,0.232592803242213
"New York","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,594,NA,NA,NA,NA,0.436490879303161,0.232592803242213
"New York","data","Past",2020-04-06,"daily_cases",NA,NA,NA,8658,NA,NA,NA,NA,0.436706841004349,0.232794183734167
"New York","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,599,NA,NA,NA,NA,0.436706841004349,0.232794183734167
"New York","data","Past",2020-04-07,"daily_cases",NA,NA,NA,8174,NA,NA,NA,NA,0.437245955827281,0.234179674297391
"New York","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,731,NA,NA,NA,NA,0.437245955827281,0.234179674297391
"New York","data","Past",2020-04-08,"daily_cases",NA,NA,NA,10453,NA,NA,NA,NA,0.438035378440869,0.236546334628118
"New York","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,779,NA,NA,NA,NA,0.438035378440869,0.236546334628118
"New York","data","Past",2020-04-09,"daily_cases",NA,NA,NA,10621,NA,NA,NA,NA,0.439058653345166,0.239694883537747
"New York","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,799,NA,NA,NA,NA,0.439058653345166,0.239694883537747
"New York","data","Past",2020-04-10,"daily_cases",NA,NA,NA,10575,NA,NA,NA,NA,0.440465602183184,0.243424142084132
"New York","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,777,NA,NA,NA,NA,0.440465602183184,0.243424142084132
"New York","data","Past",2020-04-11,"daily_cases",NA,NA,NA,9946,NA,NA,NA,NA,0.442463636840278,0.247526896958669
"New York","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,783,NA,NA,NA,NA,0.442463636840278,0.247526896958669
"New York","data","Past",2020-04-12,"daily_cases",NA,NA,NA,8236,NA,NA,NA,NA,0.445239305389906,0.251787200882667
"New York","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,758,NA,NA,NA,NA,0.445239305389906,0.251787200882667
"New York","data","Past",2020-04-13,"daily_cases",NA,NA,NA,6337,NA,NA,NA,NA,0.448655386308864,0.255979108767493
"New York","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,671,NA,NA,NA,NA,0.448655386308864,0.255979108767493
"New York","data","Past",2020-04-14,"daily_cases",NA,NA,NA,7177,NA,NA,NA,NA,0.45244086215035,0.259866824031239
"New York","data","Past",2020-04-14,"daily_deaths",NA,NA,NA,778,NA,NA,NA,NA,0.45244086215035,0.259866824031239
"New York","data","Past",2020-04-15,"daily_cases",NA,NA,NA,11571,NA,NA,NA,NA,0.456129322326448,0.263206205096127
"New York","data","Past",2020-04-15,"daily_deaths",NA,NA,NA,752,NA,NA,NA,NA,0.456129322326448,0.263206205096127
"New York","data","Past",2020-04-16,"daily_cases",NA,NA,NA,8505,NA,NA,NA,NA,0.459309392132094,0.265747568421408
"New York","data","Past",2020-04-16,"daily_deaths",NA,NA,NA,606,NA,NA,NA,NA,0.459309392132094,0.265747568421408
"New York","data","Past",2020-04-17,"daily_cases",NA,NA,NA,7358,NA,NA,NA,NA,0.461985233534757,0.267239732895317
"New York","data","Past",2020-04-17,"daily_deaths",NA,NA,NA,630,NA,NA,NA,NA,0.461985233534757,0.267239732895317
"New York","data","Past",2020-04-18,"daily_cases",NA,NA,NA,7090,NA,NA,NA,NA,0.464259121842373,0.267436811109782
"New York","data","Past",2020-04-18,"daily_deaths",NA,NA,NA,540,NA,NA,NA,NA,0.464259121842373,0.267436811109782
"New York","data","Past",2020-04-19,"daily_cases",NA,NA,NA,6054,NA,NA,NA,NA,0.46621024905219,0.266235430317814
"New York","data","Past",2020-04-19,"daily_deaths",NA,NA,NA,507,NA,NA,NA,NA,0.46621024905219,0.266235430317814
"New York","data","Past",2020-04-20,"daily_cases",NA,NA,NA,4726,NA,NA,NA,NA,0.467899774376272,0.263778274548399
"New York","data","Past",2020-04-20,"daily_deaths",NA,NA,NA,478,NA,NA,NA,NA,0.467899774376272,0.263778274548399
"New York","data","Past",2020-04-21,"daily_cases",NA,NA,NA,4178,NA,NA,NA,NA,0.469339809196625,0.260240741842781
"New York","data","Past",2020-04-21,"daily_deaths",NA,NA,NA,481,NA,NA,NA,NA,0.469339809196625,0.260240741842781
"New York","data","Past",2020-04-22,"daily_cases",NA,NA,NA,5526,NA,NA,NA,NA,0.470595990352014,0.255802908561245
"New York","data","Past",2020-04-22,"daily_deaths",NA,NA,NA,474,NA,NA,NA,NA,0.470595990352014,0.255802908561245
"New York","data","Past",2020-04-23,"daily_cases",NA,NA,NA,6244,NA,NA,NA,NA,0.471993714031571,0.250645774970796
"New York","data","Past",2020-04-23,"daily_deaths",NA,NA,NA,438,NA,NA,NA,NA,0.471993714031571,0.250645774970796
"New York","data","Past",2020-04-24,"daily_cases",NA,NA,NA,8130,NA,NA,NA,NA,0.473910602611801,0.244947974297122
