"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Ohio","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"Ohio","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Ohio","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.995575505118164,0.686994589127636
"Ohio","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.995575505118164,0.686994589127636
"Ohio","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.986653975029392,0.73606053087066
"Ohio","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.986653975029392,0.73606053087066
"Ohio","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.975245215849575,0.7641474586133
"Ohio","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.975245215849575,0.7641474586133
"Ohio","data","Past",2020-03-09,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.961217257786208,0.776432261813238
"Ohio","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.961217257786208,0.776432261813238
"Ohio","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.944635455102181,0.776071905213461
"Ohio","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.944635455102181,0.776071905213461
"Ohio","data","Past",2020-03-11,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.925701958269713,0.76464819286911
"Ohio","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.925701958269713,0.76464819286911
"Ohio","data","Past",2020-03-12,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.904968778542924,0.742736855866665
"Ohio","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.904968778542924,0.742736855866665
"Ohio","data","Past",2020-03-13,"daily_cases",NA,NA,NA,8,NA,NA,NA,NA,0.883204993708912,0.710466080867003
"Ohio","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.883204993708912,0.710466080867003
"Ohio","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.861474392318684,0.668089843493376
"Ohio","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.861474392318684,0.668089843493376
"Ohio","data","Past",2020-03-15,"daily_cases",NA,NA,NA,23,NA,NA,NA,NA,0.840075585916494,0.616560794816671
"Ohio","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.840075585916494,0.616560794816671
"Ohio","data","Past",2020-03-16,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.81896701962956,0.557964712015964
"Ohio","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.81896701962956,0.557964712015964
"Ohio","data","Past",2020-03-17,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.797641251261222,0.495588499297849
"Ohio","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.797641251261222,0.495588499297849
"Ohio","data","Past",2020-03-18,"daily_cases",NA,NA,NA,21,NA,NA,NA,NA,0.775671791554664,0.433477522043421
"Ohio","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.775671791554664,0.433477522043421
"Ohio","data","Past",2020-03-19,"daily_cases",NA,NA,NA,31,NA,NA,NA,NA,0.753421850336328,0.375620195451945
"Ohio","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.753421850336328,0.375620195451945
"Ohio","data","Past",2020-03-20,"daily_cases",NA,NA,NA,50,NA,NA,NA,NA,0.73151955251319,0.325161313125422
"Ohio","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.73151955251319,0.325161313125422
"Ohio","data","Past",2020-03-21,"daily_cases",NA,NA,NA,78,NA,NA,NA,NA,0.710862984231101,0.283953081904785
"Ohio","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.710862984231101,0.283953081904785
