"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Wisconsin","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"Wisconsin","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Wisconsin","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.99994209394284,0.899623788415577
"Wisconsin","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.99994209394284,0.899623788415577
"Wisconsin","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.991464050419382,0.85265900807321
"Wisconsin","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.991464050419382,0.85265900807321
"Wisconsin","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.981569711676802,0.796940660798157
"Wisconsin","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.981569711676802,0.796940660798157
"Wisconsin","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.970079917100302,0.735787642210567
"Wisconsin","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.970079917100302,0.735787642210567
"Wisconsin","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.956847174276124,0.673146473543087
"Wisconsin","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.956847174276124,0.673146473543087
"Wisconsin","data","Past",2020-03-10,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.941771562540278,0.612584874033273
"Wisconsin","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.941771562540278,0.612584874033273
"Wisconsin","data","Past",2020-03-11,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.92482497751126,0.55663824700301
"Wisconsin","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.92482497751126,0.55663824700301
"Wisconsin","data","Past",2020-03-12,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.906219008187746,0.50664678805006
"Wisconsin","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.906219008187746,0.50664678805006
"Wisconsin","data","Past",2020-03-13,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.88634252292406,0.462940521190126
"Wisconsin","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.88634252292406,0.462940521190126
"Wisconsin","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.865905604844404,0.425155158780535
"Wisconsin","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.865905604844404,0.425155158780535
"Wisconsin","data","Past",2020-03-15,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.845142855993484,0.392528295672715
"Wisconsin","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.845142855993484,0.392528295672715
"Wisconsin","data","Past",2020-03-16,"daily_cases",NA,NA,NA,14,NA,NA,NA,NA,0.824067520680998,0.364116433176558
"Wisconsin","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.824067520680998,0.364116433176558
"Wisconsin","data","Past",2020-03-17,"daily_cases",NA,NA,NA,25,NA,NA,NA,NA,0.802400249366714,0.338931603870113
"Wisconsin","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.802400249366714,0.338931603870113
"Wisconsin","data","Past",2020-03-18,"daily_cases",NA,NA,NA,34,NA,NA,NA,NA,0.779974637311417,0.316019152218945
"Wisconsin","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.779974637311417,0.316019152218945
"Wisconsin","data","Past",2020-03-19,"daily_cases",NA,NA,NA,49,NA,NA,NA,NA,0.757368652829899,0.294500639818434
"Wisconsin","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.757368652829899,0.294500639818434
