"location","sim_type","period","date","variable","var_type","value"
"Alaska","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",7
"Alaska","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",2
"Alaska","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",6
"Alaska","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Alaska","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",6
"Alaska","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",6
"Alaska","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",7
"Alaska","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",9
"Alaska","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",12
"Alaska","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",15
"Alaska","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",18
"Alaska","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",21
"Alaska","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",2
"Alaska","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",24
"Alaska","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",2
"Alaska","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",28
"Alaska","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",2
"Alaska","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",32
"Alaska","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",2
"Alaska","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",36
"Alaska","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",3
"Alaska","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",41
"Alaska","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",4
"Alaska","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",44
"Alaska","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",4
"Alaska","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",46
"Alaska","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",5
"Alaska","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",50
"Alaska","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",6
"Alaska","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",0
"Alaska","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",51
"Alaska","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",7
"Alaska","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",53
"Alaska","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",8
"Alaska","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",53
"Alaska","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",9
"Alaska","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",1
"Alaska","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",53
