"location","sim_type","period","date","variable","var_type","value"
"California","linear_increase_sd","Past",2020-03-04,"daily_all_infections","lower_95",0
"California","linear_increase_sd","Past",2020-03-04,"daily_cases","lower_95",0
"California","linear_increase_sd","Past",2020-03-04,"daily_deaths","lower_95",0
"California","linear_increase_sd","Past",2020-03-04,"daily_hosps","lower_95",0
"California","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",133
"California","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",2
"California","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",0
"California","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",1
"California","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",216
"California","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",5
"California","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"California","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"California","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",320
"California","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",10
"California","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"California","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"California","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",377
"California","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",17
"California","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"California","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",407
"California","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",20
"California","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"California","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",476
"California","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",23
"California","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",2
"California","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",537
"California","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",28
"California","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",2
"California","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",606
"California","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",33
"California","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",3
"California","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",759
"California","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",42
"California","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",3
"California","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",802
"California","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",51
"California","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",3
"California","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",999
"California","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",61
"California","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",4
"California","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",1216
"California","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",78
"California","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",5
"California","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",1420
"California","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",88
"California","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",6
"California","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",1850
"California","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",103
"California","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",7
"California","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",1875
"California","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",133
"California","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",1
"California","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",8
