"location","sim_type","period","date","variable","var_type","value"
"Georgia","linear_increase_sd","Past",2020-03-04,"daily_all_infections","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-04,"daily_cases","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-04,"daily_deaths","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-04,"daily_hosps","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",36
"Georgia","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",2
"Georgia","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",67
"Georgia","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",2
"Georgia","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",98
"Georgia","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",137
"Georgia","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Georgia","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Georgia","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",179
"Georgia","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",3
"Georgia","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",232
"Georgia","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",4
"Georgia","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",298
"Georgia","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",7
"Georgia","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Georgia","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",379
"Georgia","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",9
"Georgia","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
