"location","sim_type","period","date","variable","var_type","value"
"Indiana","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",0
"Indiana","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",0
"Indiana","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Indiana","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",0
"Indiana","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",432
"Indiana","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",3
"Indiana","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Indiana","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",817
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",21
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Indiana","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",1157
"Indiana","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",76
"Indiana","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Indiana","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",1111
"Indiana","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",110
"Indiana","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",2
"Indiana","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",1127
"Indiana","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",145
"Indiana","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",4
"Indiana","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",1904
"Indiana","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",142
"Indiana","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",7
"Indiana","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",1773
"Indiana","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",146
"Indiana","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",10
"Indiana","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",1615
"Indiana","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",141
"Indiana","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Indiana","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",13
"Indiana","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",1846
"Indiana","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",167
"Indiana","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",2
"Indiana","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",14
"Indiana","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",2232
"Indiana","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",187
"Indiana","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",2
"Indiana","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",15
"Indiana","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",1834
"Indiana","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",203
"Indiana","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",3
"Indiana","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",17
"Indiana","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",1900
"Indiana","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",212
"Indiana","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",4
"Indiana","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",18
"Indiana","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",2296
"Indiana","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",257
"Indiana","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",5
