"location","sim_type","period","date","variable","var_type","value"
"Kentucky","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",204
"Kentucky","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",388
"Kentucky","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Kentucky","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",541
"Kentucky","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",2
"Kentucky","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",649
"Kentucky","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",4
"Kentucky","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Kentucky","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",703
"Kentucky","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",10
"Kentucky","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",733
"Kentucky","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",23
"Kentucky","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",735
"Kentucky","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",42
"Kentucky","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",738
"Kentucky","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",60
"Kentucky","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",2
"Kentucky","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",727
"Kentucky","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",81
"Kentucky","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",4
"Kentucky","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",718
"Kentucky","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",110
"Kentucky","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",5
"Kentucky","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",705
"Kentucky","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",98
"Kentucky","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",8
"Kentucky","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",692
"Kentucky","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",108
"Kentucky","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",9
"Kentucky","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",688
"Kentucky","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",117
"Kentucky","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",10
"Kentucky","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",689
"Kentucky","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",137
"Kentucky","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"Kentucky","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",12
"Kentucky","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",696
"Kentucky","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",119
"Kentucky","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",2
"Kentucky","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",11
"Kentucky","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",713
"Kentucky","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",121
"Kentucky","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",2
"Kentucky","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",12
"Kentucky","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",740
"Kentucky","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",131
"Kentucky","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",2
"Kentucky","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",13
"Kentucky","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",757
"Kentucky","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",127
"Kentucky","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",3
"Kentucky","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",14
"Kentucky","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",776
"Kentucky","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",131
"Kentucky","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",3
"Kentucky","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",15
"Kentucky","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",793
"Kentucky","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",112
"Kentucky","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",3
"Kentucky","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",15
"Kentucky","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",798
"Kentucky","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",118
"Kentucky","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",3
"Kentucky","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",803
"Kentucky","linear_increase_sd","Past",2020-03-28,"daily_cases","lower_95",133
"Kentucky","linear_increase_sd","Past",2020-03-28,"daily_deaths","lower_95",4
"Kentucky","linear_increase_sd","Past",2020-03-28,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-03-29,"daily_all_infections","lower_95",810
"Kentucky","linear_increase_sd","Past",2020-03-29,"daily_cases","lower_95",107
"Kentucky","linear_increase_sd","Past",2020-03-29,"daily_deaths","lower_95",4
"Kentucky","linear_increase_sd","Past",2020-03-29,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-03-30,"daily_all_infections","lower_95",817
"Kentucky","linear_increase_sd","Past",2020-03-30,"daily_cases","lower_95",131
"Kentucky","linear_increase_sd","Past",2020-03-30,"daily_deaths","lower_95",4
"Kentucky","linear_increase_sd","Past",2020-03-30,"daily_hosps","lower_95",17
"Kentucky","linear_increase_sd","Past",2020-03-31,"daily_all_infections","lower_95",820
"Kentucky","linear_increase_sd","Past",2020-03-31,"daily_cases","lower_95",120
"Kentucky","linear_increase_sd","Past",2020-03-31,"daily_deaths","lower_95",4
"Kentucky","linear_increase_sd","Past",2020-03-31,"daily_hosps","lower_95",17
"Kentucky","linear_increase_sd","Past",2020-04-01,"daily_all_infections","lower_95",829
"Kentucky","linear_increase_sd","Past",2020-04-01,"daily_cases","lower_95",103
"Kentucky","linear_increase_sd","Past",2020-04-01,"daily_deaths","lower_95",5
"Kentucky","linear_increase_sd","Past",2020-04-01,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-04-02,"daily_all_infections","lower_95",828
"Kentucky","linear_increase_sd","Past",2020-04-02,"daily_cases","lower_95",153
"Kentucky","linear_increase_sd","Past",2020-04-02,"daily_deaths","lower_95",5
"Kentucky","linear_increase_sd","Past",2020-04-02,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-04-03,"daily_all_infections","lower_95",824
"Kentucky","linear_increase_sd","Past",2020-04-03,"daily_cases","lower_95",112
"Kentucky","linear_increase_sd","Past",2020-04-03,"daily_deaths","lower_95",5
"Kentucky","linear_increase_sd","Past",2020-04-03,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-04-04,"daily_all_infections","lower_95",832
"Kentucky","linear_increase_sd","Past",2020-04-04,"daily_cases","lower_95",148
"Kentucky","linear_increase_sd","Past",2020-04-04,"daily_deaths","lower_95",5
"Kentucky","linear_increase_sd","Past",2020-04-04,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-04-05,"daily_all_infections","lower_95",828
"Kentucky","linear_increase_sd","Past",2020-04-05,"daily_cases","lower_95",137
"Kentucky","linear_increase_sd","Past",2020-04-05,"daily_deaths","lower_95",5
"Kentucky","linear_increase_sd","Past",2020-04-05,"daily_hosps","lower_95",15
"Kentucky","linear_increase_sd","Past",2020-04-06,"daily_all_infections","lower_95",825
"Kentucky","linear_increase_sd","Past",2020-04-06,"daily_cases","lower_95",142
"Kentucky","linear_increase_sd","Past",2020-04-06,"daily_deaths","lower_95",5
"Kentucky","linear_increase_sd","Past",2020-04-06,"daily_hosps","lower_95",16
"Kentucky","linear_increase_sd","Past",2020-04-07,"daily_all_infections","lower_95",824
"Kentucky","linear_increase_sd","Past",2020-04-07,"daily_cases","lower_95",198
"Kentucky","linear_increase_sd","Past",2020-04-07,"daily_deaths","lower_95",5
