"location","sim_type","period","date","variable","var_type","value"
"Louisiana","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",0
"Louisiana","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",0
"Louisiana","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Louisiana","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",0
"Louisiana","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",180
"Louisiana","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Louisiana","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Louisiana","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",343
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",2
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",497
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",2
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",641
"Louisiana","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",3
"Louisiana","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",791
"Louisiana","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",7
"Louisiana","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",950
"Louisiana","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",14
"Louisiana","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",1131
"Louisiana","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",29
"Louisiana","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Louisiana","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",1352
"Louisiana","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",52
"Louisiana","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
