"location","sim_type","period","date","variable","var_type","value"
"Maine","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",16
"Maine","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Maine","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",20
"Maine","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",2
"Maine","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",25
"Maine","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",31
"Maine","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",42
"Maine","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",55
"Maine","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",69
"Maine","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",2
"Maine","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",85
"Maine","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",3
"Maine","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",101
"Maine","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",4
"Maine","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",120
"Maine","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",5
"Maine","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",130
"Maine","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",7
"Maine","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",140
"Maine","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",8
"Maine","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",0
"Maine","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",143
"Maine","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",12
"Maine","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",141
"Maine","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",14
"Maine","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",110
"Maine","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",17
"Maine","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",1
"Maine","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",1
