"location","sim_type","period","date","variable","var_type","value"
"Maryland","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",47
"Maryland","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",2
"Maryland","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",54
"Maryland","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",2
"Maryland","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",79
"Maryland","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",154
"Maryland","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",299
"Maryland","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",2
"Maryland","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Maryland","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",425
"Maryland","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",2
"Maryland","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",675
"Maryland","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",5
"Maryland","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",1095
"Maryland","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",10
"Maryland","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Maryland","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",1261
"Maryland","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",19
