"location","sim_type","period","date","variable","var_type","value"
"Michigan","linear_increase_sd","Past",2020-03-01,"daily_all_infections","lower_95",0
"Michigan","linear_increase_sd","Past",2020-03-01,"daily_cases","lower_95",0
"Michigan","linear_increase_sd","Past",2020-03-01,"daily_deaths","lower_95",0
"Michigan","linear_increase_sd","Past",2020-03-01,"daily_hosps","lower_95",0
"Michigan","linear_increase_sd","Past",2020-03-02,"daily_all_infections","lower_95",251
"Michigan","linear_increase_sd","Past",2020-03-02,"daily_cases","lower_95",2
"Michigan","linear_increase_sd","Past",2020-03-02,"daily_deaths","lower_95",0
"Michigan","linear_increase_sd","Past",2020-03-02,"daily_hosps","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-03,"daily_all_infections","lower_95",496
"Michigan","linear_increase_sd","Past",2020-03-03,"daily_cases","lower_95",7
"Michigan","linear_increase_sd","Past",2020-03-03,"daily_deaths","lower_95",0
"Michigan","linear_increase_sd","Past",2020-03-03,"daily_hosps","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-04,"daily_all_infections","lower_95",729
"Michigan","linear_increase_sd","Past",2020-03-04,"daily_cases","lower_95",18
"Michigan","linear_increase_sd","Past",2020-03-04,"daily_deaths","lower_95",0
"Michigan","linear_increase_sd","Past",2020-03-04,"daily_hosps","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",962
"Michigan","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",28
"Michigan","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",1206
"Michigan","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",35
"Michigan","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",1495
"Michigan","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",46
"Michigan","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",2
"Michigan","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",1861
"Michigan","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",54
"Michigan","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",3
"Michigan","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",2292
"Michigan","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",67
"Michigan","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",4
"Michigan","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",2817
"Michigan","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",106
"Michigan","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",5
"Michigan","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",3437
"Michigan","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",137
"Michigan","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Michigan","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",6
"Michigan","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",4166
"Michigan","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",173
"Michigan","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",2
"Michigan","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",9
"Michigan","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",4981
"Michigan","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",240
"Michigan","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",2
"Michigan","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",11
"Michigan","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",5834
"Michigan","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",319
"Michigan","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",2
"Michigan","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",14
"Michigan","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",6718
"Michigan","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",385
"Michigan","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",3
"Michigan","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",19
"Michigan","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",7582
"Michigan","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",491
"Michigan","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",4
"Michigan","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",24
"Michigan","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",8368
"Michigan","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",616
"Michigan","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",5
"Michigan","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",31
"Michigan","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",8955
"Michigan","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",730
"Michigan","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",7
"Michigan","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",39
"Michigan","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",9374
"Michigan","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",976
"Michigan","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",8
"Michigan","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",49
"Michigan","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",9580
"Michigan","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",1126
"Michigan","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",10
"Michigan","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",61
"Michigan","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",9610
"Michigan","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",1308
"Michigan","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",14
"Michigan","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",75
"Michigan","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",9488
"Michigan","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",1521
"Michigan","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",17
"Michigan","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",89
"Michigan","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",9252
