"location","sim_type","period","date","variable","var_type","value"
"Minnesota","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",0
"Minnesota","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",0
"Minnesota","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Minnesota","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",0
"Minnesota","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",102
"Minnesota","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",2
"Minnesota","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Minnesota","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Minnesota","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",163
"Minnesota","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",3
"Minnesota","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Minnesota","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Minnesota","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",201
"Minnesota","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",7
"Minnesota","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Minnesota","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Minnesota","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",229
"Minnesota","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",7
"Minnesota","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",1
"Minnesota","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Minnesota","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",242
"Minnesota","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",10
"Minnesota","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Minnesota","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Minnesota","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",257
"Minnesota","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",15
