"location","sim_type","period","date","variable","var_type","value"
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",11
"Missouri","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Missouri","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",14
"Missouri","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",18
"Missouri","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",26
"Missouri","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",36
"Missouri","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",51
"Missouri","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",73
"Missouri","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",2
"Missouri","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",105
"Missouri","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",2
"Missouri","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Missouri","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",142
"Missouri","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",3
"Missouri","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",0
"Missouri","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
