"location","sim_type","period","date","variable","var_type","value"
"Montana","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",0
"Montana","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",0
"Montana","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Montana","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",0
"Montana","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",10
"Montana","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Montana","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Montana","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",10
"Montana","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",2
"Montana","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Montana","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",8
"Montana","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Montana","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",10
"Montana","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",13
"Montana","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",17
"Montana","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",21
"Montana","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",28
"Montana","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Montana","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",36
"Montana","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",2
"Montana","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",0
