"location","sim_type","period","date","variable","var_type","value"
"Nebraska","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",7
"Nebraska","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",8
"Nebraska","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",9
"Nebraska","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",10
"Nebraska","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",11
"Nebraska","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",15
"Nebraska","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",18
"Nebraska","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",22
"Nebraska","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",26
"Nebraska","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",30
"Nebraska","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",37
"Nebraska","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",3
"Nebraska","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",40
"Nebraska","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",3
"Nebraska","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",45
"Nebraska","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",4
"Nebraska","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",52
"Nebraska","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",4
"Nebraska","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",57
"Nebraska","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",5
"Nebraska","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",68
"Nebraska","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",5
"Nebraska","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",77
"Nebraska","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",7
"Nebraska","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",86
"Nebraska","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",7
"Nebraska","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",95
"Nebraska","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",9
"Nebraska","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",108
"Nebraska","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",10
"Nebraska","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",0
"Nebraska","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",123
"Nebraska","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",13
"Nebraska","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",139
"Nebraska","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",15
"Nebraska","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",155
"Nebraska","linear_increase_sd","Past",2020-03-28,"daily_cases","lower_95",16
"Nebraska","linear_increase_sd","Past",2020-03-28,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-28,"daily_hosps","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-03-29,"daily_all_infections","lower_95",172
"Nebraska","linear_increase_sd","Past",2020-03-29,"daily_cases","lower_95",18
"Nebraska","linear_increase_sd","Past",2020-03-29,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-29,"daily_hosps","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-03-30,"daily_all_infections","lower_95",186
"Nebraska","linear_increase_sd","Past",2020-03-30,"daily_cases","lower_95",21
"Nebraska","linear_increase_sd","Past",2020-03-30,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-30,"daily_hosps","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-03-31,"daily_all_infections","lower_95",172
"Nebraska","linear_increase_sd","Past",2020-03-31,"daily_cases","lower_95",25
"Nebraska","linear_increase_sd","Past",2020-03-31,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-03-31,"daily_hosps","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-04-01,"daily_all_infections","lower_95",184
"Nebraska","linear_increase_sd","Past",2020-04-01,"daily_cases","lower_95",27
"Nebraska","linear_increase_sd","Past",2020-04-01,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-01,"daily_hosps","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-04-02,"daily_all_infections","lower_95",201
"Nebraska","linear_increase_sd","Past",2020-04-02,"daily_cases","lower_95",29
"Nebraska","linear_increase_sd","Past",2020-04-02,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-02,"daily_hosps","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-04-03,"daily_all_infections","lower_95",215
"Nebraska","linear_increase_sd","Past",2020-04-03,"daily_cases","lower_95",31
"Nebraska","linear_increase_sd","Past",2020-04-03,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-03,"daily_hosps","lower_95",3
"Nebraska","linear_increase_sd","Past",2020-04-04,"daily_all_infections","lower_95",235
"Nebraska","linear_increase_sd","Past",2020-04-04,"daily_cases","lower_95",35
"Nebraska","linear_increase_sd","Past",2020-04-04,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-04,"daily_hosps","lower_95",3
"Nebraska","linear_increase_sd","Past",2020-04-05,"daily_all_infections","lower_95",249
"Nebraska","linear_increase_sd","Past",2020-04-05,"daily_cases","lower_95",37
"Nebraska","linear_increase_sd","Past",2020-04-05,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-05,"daily_hosps","lower_95",3
"Nebraska","linear_increase_sd","Past",2020-04-06,"daily_all_infections","lower_95",270
"Nebraska","linear_increase_sd","Past",2020-04-06,"daily_cases","lower_95",42
"Nebraska","linear_increase_sd","Past",2020-04-06,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-06,"daily_hosps","lower_95",4
"Nebraska","linear_increase_sd","Past",2020-04-07,"daily_all_infections","lower_95",288
"Nebraska","linear_increase_sd","Past",2020-04-07,"daily_cases","lower_95",49
"Nebraska","linear_increase_sd","Past",2020-04-07,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-07,"daily_hosps","lower_95",4
"Nebraska","linear_increase_sd","Past",2020-04-08,"daily_all_infections","lower_95",310
"Nebraska","linear_increase_sd","Past",2020-04-08,"daily_cases","lower_95",46
"Nebraska","linear_increase_sd","Past",2020-04-08,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-08,"daily_hosps","lower_95",5
"Nebraska","linear_increase_sd","Past",2020-04-09,"daily_all_infections","lower_95",332
"Nebraska","linear_increase_sd","Past",2020-04-09,"daily_cases","lower_95",53
"Nebraska","linear_increase_sd","Past",2020-04-09,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-09,"daily_hosps","lower_95",5
"Nebraska","linear_increase_sd","Past",2020-04-10,"daily_all_infections","lower_95",360
"Nebraska","linear_increase_sd","Past",2020-04-10,"daily_cases","lower_95",58
"Nebraska","linear_increase_sd","Past",2020-04-10,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-10,"daily_hosps","lower_95",5
"Nebraska","linear_increase_sd","Past",2020-04-11,"daily_all_infections","lower_95",385
"Nebraska","linear_increase_sd","Past",2020-04-11,"daily_cases","lower_95",56
"Nebraska","linear_increase_sd","Past",2020-04-11,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-11,"daily_hosps","lower_95",6
"Nebraska","linear_increase_sd","Past",2020-04-12,"daily_all_infections","lower_95",409
"Nebraska","linear_increase_sd","Past",2020-04-12,"daily_cases","lower_95",67
"Nebraska","linear_increase_sd","Past",2020-04-12,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-12,"daily_hosps","lower_95",6
"Nebraska","linear_increase_sd","Past",2020-04-13,"daily_all_infections","lower_95",439
"Nebraska","linear_increase_sd","Past",2020-04-13,"daily_cases","lower_95",71
"Nebraska","linear_increase_sd","Past",2020-04-13,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-13,"daily_hosps","lower_95",7
"Nebraska","linear_increase_sd","Past",2020-04-14,"daily_all_infections","lower_95",475
"Nebraska","linear_increase_sd","Past",2020-04-14,"daily_cases","lower_95",75
"Nebraska","linear_increase_sd","Past",2020-04-14,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-14,"daily_hosps","lower_95",7
"Nebraska","linear_increase_sd","Past",2020-04-15,"daily_all_infections","lower_95",514
"Nebraska","linear_increase_sd","Past",2020-04-15,"daily_cases","lower_95",83
"Nebraska","linear_increase_sd","Past",2020-04-15,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-15,"daily_hosps","lower_95",8
"Nebraska","linear_increase_sd","Past",2020-04-16,"daily_all_infections","lower_95",546
"Nebraska","linear_increase_sd","Past",2020-04-16,"daily_cases","lower_95",84
"Nebraska","linear_increase_sd","Past",2020-04-16,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-16,"daily_hosps","lower_95",8
"Nebraska","linear_increase_sd","Past",2020-04-17,"daily_all_infections","lower_95",592
"Nebraska","linear_increase_sd","Past",2020-04-17,"daily_cases","lower_95",97
"Nebraska","linear_increase_sd","Past",2020-04-17,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-17,"daily_hosps","lower_95",9
"Nebraska","linear_increase_sd","Past",2020-04-18,"daily_all_infections","lower_95",640
"Nebraska","linear_increase_sd","Past",2020-04-18,"daily_cases","lower_95",103
"Nebraska","linear_increase_sd","Past",2020-04-18,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-18,"daily_hosps","lower_95",9
"Nebraska","linear_increase_sd","Past",2020-04-19,"daily_all_infections","lower_95",691
"Nebraska","linear_increase_sd","Past",2020-04-19,"daily_cases","lower_95",125
"Nebraska","linear_increase_sd","Past",2020-04-19,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-19,"daily_hosps","lower_95",10
"Nebraska","linear_increase_sd","Past",2020-04-20,"daily_all_infections","lower_95",745
"Nebraska","linear_increase_sd","Past",2020-04-20,"daily_cases","lower_95",130
"Nebraska","linear_increase_sd","Past",2020-04-20,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-20,"daily_hosps","lower_95",11
"Nebraska","linear_increase_sd","Past",2020-04-21,"daily_all_infections","lower_95",799
"Nebraska","linear_increase_sd","Past",2020-04-21,"daily_cases","lower_95",146
"Nebraska","linear_increase_sd","Past",2020-04-21,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-21,"daily_hosps","lower_95",12
"Nebraska","linear_increase_sd","Past",2020-04-22,"daily_all_infections","lower_95",860
"Nebraska","linear_increase_sd","Past",2020-04-22,"daily_cases","lower_95",151
"Nebraska","linear_increase_sd","Past",2020-04-22,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-22,"daily_hosps","lower_95",13
"Nebraska","linear_increase_sd","Past",2020-04-23,"daily_all_infections","lower_95",913
"Nebraska","linear_increase_sd","Past",2020-04-23,"daily_cases","lower_95",166
"Nebraska","linear_increase_sd","Past",2020-04-23,"daily_deaths","lower_95",1
"Nebraska","linear_increase_sd","Past",2020-04-23,"daily_hosps","lower_95",13
"Nebraska","linear_increase_sd","Past",2020-04-24,"daily_all_infections","lower_95",976
"Nebraska","linear_increase_sd","Past",2020-04-24,"daily_cases","lower_95",190
"Nebraska","linear_increase_sd","Past",2020-04-24,"daily_deaths","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-04-24,"daily_hosps","lower_95",15
"Nebraska","linear_increase_sd","Past",2020-04-25,"daily_all_infections","lower_95",1030
"Nebraska","linear_increase_sd","Past",2020-04-25,"daily_cases","lower_95",203
"Nebraska","linear_increase_sd","Past",2020-04-25,"daily_deaths","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-04-25,"daily_hosps","lower_95",17
"Nebraska","linear_increase_sd","Past",2020-04-26,"daily_all_infections","lower_95",1074
"Nebraska","linear_increase_sd","Past",2020-04-26,"daily_cases","lower_95",214
"Nebraska","linear_increase_sd","Past",2020-04-26,"daily_deaths","lower_95",2
"Nebraska","linear_increase_sd","Past",2020-04-26,"daily_hosps","lower_95",18
"Nebraska","linear_increase_sd","Past",2020-04-27,"daily_all_infections","lower_95",1114
"Nebraska","linear_increase_sd","Past",2020-04-27,"daily_cases","lower_95",237
