"location","sim_type","period","date","variable","var_type","value"
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",16
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",2
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",20
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",24
"Nevada","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",32
"Nevada","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",44
"Nevada","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",58
"Nevada","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",76
"Nevada","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",2
"Nevada","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",0
"Nevada","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",102
"Nevada","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",3
"Nevada","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",134
"Nevada","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",4
"Nevada","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",171
"Nevada","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",6
"Nevada","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",213
"Nevada","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",8
"Nevada","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",268
"Nevada","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",10
"Nevada","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",330
"Nevada","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",13
"Nevada","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",395
"Nevada","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",19
"Nevada","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",466
"Nevada","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",23
"Nevada","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",2
"Nevada","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",538
"Nevada","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",32
"Nevada","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",2
"Nevada","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",613
"Nevada","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",40
"Nevada","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",1
"Nevada","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",2
