"location","sim_type","period","date","variable","var_type","value"
"New Jersey","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",0
"New Jersey","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",0
"New Jersey","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",0
"New Jersey","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",0
"New Jersey","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",67
"New Jersey","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",2
"New Jersey","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"New Jersey","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",118
"New Jersey","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",2
"New Jersey","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"New Jersey","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",188
"New Jersey","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",3
"New Jersey","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",283
"New Jersey","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",3
"New Jersey","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"New Jersey","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",417
"New Jersey","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",5
"New Jersey","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",615
"New Jersey","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",7
"New Jersey","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",897
"New Jersey","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",10
"New Jersey","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",1273
"New Jersey","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",17
"New Jersey","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",1732
"New Jersey","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",28
"New Jersey","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",2388
"New Jersey","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",47
"New Jersey","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",2
"New Jersey","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",3225
"New Jersey","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",70
"New Jersey","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",2
"New Jersey","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",4280
"New Jersey","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",107
"New Jersey","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",3
"New Jersey","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",5525
"New Jersey","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",154
"New Jersey","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",5
"New Jersey","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",6961
"New Jersey","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",223
"New Jersey","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",7
"New Jersey","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",8494
"New Jersey","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",330
"New Jersey","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"New Jersey","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",11
