"location","sim_type","period","date","variable","var_type","value"
"New Mexico","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",10
"New Mexico","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",2
"New Mexico","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",13
"New Mexico","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"New Mexico","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",17
"New Mexico","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",20
"New Mexico","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"New Mexico","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",24
"New Mexico","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",30
"New Mexico","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",35
"New Mexico","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",2
"New Mexico","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",42
"New Mexico","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",2
"New Mexico","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",50
"New Mexico","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",3
"New Mexico","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",61
"New Mexico","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",4
"New Mexico","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",73
"New Mexico","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",5
"New Mexico","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",83
"New Mexico","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",5
"New Mexico","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",96
"New Mexico","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",6
"New Mexico","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",107
"New Mexico","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",8
"New Mexico","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",111
"New Mexico","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",9
"New Mexico","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",121
"New Mexico","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",10
"New Mexico","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",134
"New Mexico","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",13
"New Mexico","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",147
"New Mexico","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",14
"New Mexico","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",161
"New Mexico","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",16
"New Mexico","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",2
"New Mexico","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",176
"New Mexico","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",19
"New Mexico","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",2
"New Mexico","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",193
"New Mexico","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",22
"New Mexico","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",1
"New Mexico","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",2
"New Mexico","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",205
