"location","sim_type","period","date","variable","var_type","value"
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",0
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",0
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",0
"Ohio","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",0
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",23
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"Ohio","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",34
"Ohio","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Ohio","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",46
"Ohio","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",65
"Ohio","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",88
"Ohio","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Ohio","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",123
"Ohio","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",169
"Ohio","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",3
"Ohio","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",231
"Ohio","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",5
"Ohio","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",309
"Ohio","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",7
"Ohio","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",409
"Ohio","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",9
"Ohio","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",489
"Ohio","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",15
"Ohio","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",587
"Ohio","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",21
"Ohio","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",705
"Ohio","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",28
"Ohio","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",820
"Ohio","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",41
"Ohio","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",922
"Ohio","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",54
"Ohio","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",3
"Ohio","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",1010
"Ohio","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",66
"Ohio","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",3
"Ohio","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",1079
"Ohio","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",88
"Ohio","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",4
"Ohio","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",1145
"Ohio","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",113
"Ohio","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",6
"Ohio","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",1201
"Ohio","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",137
"Ohio","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",1
"Ohio","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",7
"Ohio","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",1241
"Ohio","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",165
"Ohio","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",9
"Ohio","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",1280
"Ohio","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",190
"Ohio","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",2
"Ohio","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",11
"Ohio","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",1312
"Ohio","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",202
"Ohio","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",3
"Ohio","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",13
"Ohio","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",1354
"Ohio","linear_increase_sd","Past",2020-03-28,"daily_cases","lower_95",227
"Ohio","linear_increase_sd","Past",2020-03-28,"daily_deaths","lower_95",4
"Ohio","linear_increase_sd","Past",2020-03-28,"daily_hosps","lower_95",16
"Ohio","linear_increase_sd","Past",2020-03-29,"daily_all_infections","lower_95",1409
"Ohio","linear_increase_sd","Past",2020-03-29,"daily_cases","lower_95",247
"Ohio","linear_increase_sd","Past",2020-03-29,"daily_deaths","lower_95",5
"Ohio","linear_increase_sd","Past",2020-03-29,"daily_hosps","lower_95",17
"Ohio","linear_increase_sd","Past",2020-03-30,"daily_all_infections","lower_95",1456
"Ohio","linear_increase_sd","Past",2020-03-30,"daily_cases","lower_95",256
"Ohio","linear_increase_sd","Past",2020-03-30,"daily_deaths","lower_95",5
"Ohio","linear_increase_sd","Past",2020-03-30,"daily_hosps","lower_95",21
"Ohio","linear_increase_sd","Past",2020-03-31,"daily_all_infections","lower_95",1525
"Ohio","linear_increase_sd","Past",2020-03-31,"daily_cases","lower_95",283
"Ohio","linear_increase_sd","Past",2020-03-31,"daily_deaths","lower_95",6
"Ohio","linear_increase_sd","Past",2020-03-31,"daily_hosps","lower_95",23
"Ohio","linear_increase_sd","Past",2020-04-01,"daily_all_infections","lower_95",1583
"Ohio","linear_increase_sd","Past",2020-04-01,"daily_cases","lower_95",300
"Ohio","linear_increase_sd","Past",2020-04-01,"daily_deaths","lower_95",7
"Ohio","linear_increase_sd","Past",2020-04-01,"daily_hosps","lower_95",25
"Ohio","linear_increase_sd","Past",2020-04-02,"daily_all_infections","lower_95",1654
"Ohio","linear_increase_sd","Past",2020-04-02,"daily_cases","lower_95",301
"Ohio","linear_increase_sd","Past",2020-04-02,"daily_deaths","lower_95",8
"Ohio","linear_increase_sd","Past",2020-04-02,"daily_hosps","lower_95",28
"Ohio","linear_increase_sd","Past",2020-04-03,"daily_all_infections","lower_95",1720
"Ohio","linear_increase_sd","Past",2020-04-03,"daily_cases","lower_95",326
"Ohio","linear_increase_sd","Past",2020-04-03,"daily_deaths","lower_95",11
"Ohio","linear_increase_sd","Past",2020-04-03,"daily_hosps","lower_95",29
"Ohio","linear_increase_sd","Past",2020-04-04,"daily_all_infections","lower_95",1791
"Ohio","linear_increase_sd","Past",2020-04-04,"daily_cases","lower_95",348
"Ohio","linear_increase_sd","Past",2020-04-04,"daily_deaths","lower_95",12
