"location","sim_type","period","date","variable","var_type","value"
"Oklahoma","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",16
"Oklahoma","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Oklahoma","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",16
"Oklahoma","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",2
"Oklahoma","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",19
"Oklahoma","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",25
"Oklahoma","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",36
"Oklahoma","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",52
"Oklahoma","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",0
"Oklahoma","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",72
"Oklahoma","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",2
"Oklahoma","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",95
"Oklahoma","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",2
"Oklahoma","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",131
"Oklahoma","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",3
"Oklahoma","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",173
"Oklahoma","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",4
"Oklahoma","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Oklahoma","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",215
