"location","sim_type","period","date","variable","var_type","value"
"Rhode Island","linear_increase_sd","Past",2020-03-01,"daily_all_infections","lower_95",0
"Rhode Island","linear_increase_sd","Past",2020-03-01,"daily_cases","lower_95",0
"Rhode Island","linear_increase_sd","Past",2020-03-01,"daily_deaths","lower_95",0
"Rhode Island","linear_increase_sd","Past",2020-03-01,"daily_hosps","lower_95",0
"Rhode Island","linear_increase_sd","Past",2020-03-02,"daily_all_infections","lower_95",9
"Rhode Island","linear_increase_sd","Past",2020-03-02,"daily_cases","lower_95",2
"Rhode Island","linear_increase_sd","Past",2020-03-02,"daily_deaths","lower_95",0
"Rhode Island","linear_increase_sd","Past",2020-03-02,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-03,"daily_all_infections","lower_95",12
"Rhode Island","linear_increase_sd","Past",2020-03-03,"daily_cases","lower_95",2
"Rhode Island","linear_increase_sd","Past",2020-03-03,"daily_deaths","lower_95",0
"Rhode Island","linear_increase_sd","Past",2020-03-03,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-04,"daily_all_infections","lower_95",16
"Rhode Island","linear_increase_sd","Past",2020-03-04,"daily_cases","lower_95",4
"Rhode Island","linear_increase_sd","Past",2020-03-04,"daily_deaths","lower_95",0
"Rhode Island","linear_increase_sd","Past",2020-03-04,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-05,"daily_all_infections","lower_95",20
"Rhode Island","linear_increase_sd","Past",2020-03-05,"daily_cases","lower_95",5
"Rhode Island","linear_increase_sd","Past",2020-03-05,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-05,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",20
"Rhode Island","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",5
"Rhode Island","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",24
"Rhode Island","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",5
"Rhode Island","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",28
"Rhode Island","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",4
"Rhode Island","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",31
"Rhode Island","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",5
"Rhode Island","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",37
"Rhode Island","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",4
"Rhode Island","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",43
"Rhode Island","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",4
"Rhode Island","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",52
"Rhode Island","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",4
"Rhode Island","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",60
"Rhode Island","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",5
"Rhode Island","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",72
"Rhode Island","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",5
"Rhode Island","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",86
"Rhode Island","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",7
"Rhode Island","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",99
"Rhode Island","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",6
"Rhode Island","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",115
"Rhode Island","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",9
"Rhode Island","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",139
"Rhode Island","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",11
"Rhode Island","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",157
"Rhode Island","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",11
"Rhode Island","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",184
"Rhode Island","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",14
"Rhode Island","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",208
"Rhode Island","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",20
"Rhode Island","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",237
"Rhode Island","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",24
"Rhode Island","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",2
"Rhode Island","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",267
"Rhode Island","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",25
"Rhode Island","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",1
"Rhode Island","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",2
"Rhode Island","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",303
"Rhode Island","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",30
