"location","sim_type","period","date","variable","var_type","value"
"West Virginia","linear_increase_sd","Past",2020-03-06,"daily_all_infections","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-06,"daily_cases","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-06,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-06,"daily_hosps","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",3
"West Virginia","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",3
"West Virginia","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",4
"West Virginia","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",5
"West Virginia","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",6
"West Virginia","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",8
"West Virginia","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",11
"West Virginia","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",13
"West Virginia","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",16
"West Virginia","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",21
"West Virginia","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",26
"West Virginia","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",32
"West Virginia","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",2
"West Virginia","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",40
"West Virginia","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",2
"West Virginia","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",49
"West Virginia","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",3
"West Virginia","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-21,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-22,"daily_all_infections","lower_95",57
"West Virginia","linear_increase_sd","Past",2020-03-22,"daily_cases","lower_95",3
"West Virginia","linear_increase_sd","Past",2020-03-22,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-22,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-23,"daily_all_infections","lower_95",69
"West Virginia","linear_increase_sd","Past",2020-03-23,"daily_cases","lower_95",4
"West Virginia","linear_increase_sd","Past",2020-03-23,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-23,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-24,"daily_all_infections","lower_95",80
"West Virginia","linear_increase_sd","Past",2020-03-24,"daily_cases","lower_95",6
"West Virginia","linear_increase_sd","Past",2020-03-24,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-24,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-25,"daily_all_infections","lower_95",95
"West Virginia","linear_increase_sd","Past",2020-03-25,"daily_cases","lower_95",7
"West Virginia","linear_increase_sd","Past",2020-03-25,"daily_deaths","lower_95",0
"West Virginia","linear_increase_sd","Past",2020-03-25,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-26,"daily_all_infections","lower_95",107
"West Virginia","linear_increase_sd","Past",2020-03-26,"daily_cases","lower_95",9
"West Virginia","linear_increase_sd","Past",2020-03-26,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-26,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-27,"daily_all_infections","lower_95",119
"West Virginia","linear_increase_sd","Past",2020-03-27,"daily_cases","lower_95",10
"West Virginia","linear_increase_sd","Past",2020-03-27,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-27,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-28,"daily_all_infections","lower_95",128
"West Virginia","linear_increase_sd","Past",2020-03-28,"daily_cases","lower_95",12
"West Virginia","linear_increase_sd","Past",2020-03-28,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-28,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-29,"daily_all_infections","lower_95",137
"West Virginia","linear_increase_sd","Past",2020-03-29,"daily_cases","lower_95",15
"West Virginia","linear_increase_sd","Past",2020-03-29,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-29,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-30,"daily_all_infections","lower_95",139
"West Virginia","linear_increase_sd","Past",2020-03-30,"daily_cases","lower_95",17
"West Virginia","linear_increase_sd","Past",2020-03-30,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-30,"daily_hosps","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-31,"daily_all_infections","lower_95",139
"West Virginia","linear_increase_sd","Past",2020-03-31,"daily_cases","lower_95",20
"West Virginia","linear_increase_sd","Past",2020-03-31,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-03-31,"daily_hosps","lower_95",2
"West Virginia","linear_increase_sd","Past",2020-04-01,"daily_all_infections","lower_95",134
"West Virginia","linear_increase_sd","Past",2020-04-01,"daily_cases","lower_95",23
"West Virginia","linear_increase_sd","Past",2020-04-01,"daily_deaths","lower_95",1
"West Virginia","linear_increase_sd","Past",2020-04-01,"daily_hosps","lower_95",2
