"location","sim_type","period","date","variable","var_type","value"
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_all_infections","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_cases","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-07,"daily_hosps","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_all_infections","lower_95",7
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_cases","lower_95",2
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-08,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_all_infections","lower_95",7
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-09,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_all_infections","lower_95",7
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-10,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-11,"daily_all_infections","lower_95",8
"Wyoming","linear_increase_sd","Past",2020-03-11,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-11,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-11,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-12,"daily_all_infections","lower_95",9
"Wyoming","linear_increase_sd","Past",2020-03-12,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-12,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-12,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-13,"daily_all_infections","lower_95",12
"Wyoming","linear_increase_sd","Past",2020-03-13,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-13,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-13,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-14,"daily_all_infections","lower_95",14
"Wyoming","linear_increase_sd","Past",2020-03-14,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-14,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-14,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-15,"daily_all_infections","lower_95",19
"Wyoming","linear_increase_sd","Past",2020-03-15,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-15,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-15,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-16,"daily_all_infections","lower_95",22
"Wyoming","linear_increase_sd","Past",2020-03-16,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-16,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-16,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-17,"daily_all_infections","lower_95",27
"Wyoming","linear_increase_sd","Past",2020-03-17,"daily_cases","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-17,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-17,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-18,"daily_all_infections","lower_95",30
"Wyoming","linear_increase_sd","Past",2020-03-18,"daily_cases","lower_95",2
"Wyoming","linear_increase_sd","Past",2020-03-18,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-18,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-19,"daily_all_infections","lower_95",32
"Wyoming","linear_increase_sd","Past",2020-03-19,"daily_cases","lower_95",2
"Wyoming","linear_increase_sd","Past",2020-03-19,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-19,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-20,"daily_all_infections","lower_95",37
"Wyoming","linear_increase_sd","Past",2020-03-20,"daily_cases","lower_95",3
"Wyoming","linear_increase_sd","Past",2020-03-20,"daily_deaths","lower_95",0
"Wyoming","linear_increase_sd","Past",2020-03-20,"daily_hosps","lower_95",1
"Wyoming","linear_increase_sd","Past",2020-03-21,"daily_all_infections","lower_95",42
"Wyoming","linear_increase_sd","Past",2020-03-21,"daily_cases","lower_95",3
"Wyoming","linear_increase_sd","Past",2020-03-21,"daily_deaths","lower_95",0
