"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Nevada",NA,"Past",2020-03-05,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-05,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-05,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-05,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-05,"combined_trend",NA,NA,NA,0.991121780476382,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-05,"combined_trend",NA,NA,NA,0.991121780476382,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-05,"combined_trend",NA,NA,NA,0.991121780476382,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"cumulative_cases",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"cumulative_hosps",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"daily_all_infections",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"daily_cases",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-05,"daily_hosps",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-05,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-05,"mobility_trend",NA,NA,NA,0.991121780476382,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-05,"mobility_trend",NA,NA,NA,0.991121780476382,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-05,"mobility_trend",NA,NA,NA,0.991121780476382,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-06,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-06,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-06,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-06,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-06,"combined_trend",NA,NA,NA,0.957418830153894,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-06,"combined_trend",NA,NA,NA,0.957418830153894,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-06,"combined_trend",NA,NA,NA,0.957418830153894,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-06,"cumulative_all_infections",16,16,16,18,17,20,24,24
"Nevada","return_normal","Past",2020-03-06,"cumulative_all_infections",16,16,16,18,17,20,24,24
"Nevada","status_quo","Past",2020-03-06,"cumulative_all_infections",16,16,16,18,17,20,24,24
"Nevada","linear_increase_sd","Past",2020-03-06,"cumulative_cases",2,1,1,2,2,2,2,2
"Nevada","return_normal","Past",2020-03-06,"cumulative_cases",2,1,1,2,2,2,2,2
"Nevada","status_quo","Past",2020-03-06,"cumulative_cases",2,1,1,2,2,2,2,2
"Nevada","linear_increase_sd","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-06,"cumulative_deaths",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Nevada","return_normal","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Nevada","status_quo","Past",2020-03-06,"cumulative_hosps",1,1,1,1,1,1,1,1
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_all_infections",16,16,16,18,17,20,24,24
"Nevada","return_normal","Past",2020-03-06,"daily_all_infections",16,16,16,18,17,20,24,24
"Nevada","status_quo","Past",2020-03-06,"daily_all_infections",16,16,16,18,17,20,24,24
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_cases",2,1,1,2,2,2,2,2
"Nevada","return_normal","Past",2020-03-06,"daily_cases",2,1,1,2,2,2,2,2
"Nevada","status_quo","Past",2020-03-06,"daily_cases",2,1,1,2,2,2,2,2
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Nevada","return_normal","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Nevada","status_quo","Past",2020-03-06,"daily_deaths",0,0,0,0,0,0,0,0
"Nevada","linear_increase_sd","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Nevada","return_normal","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Nevada","status_quo","Past",2020-03-06,"daily_hosps",1,1,1,1,1,1,1,1
"Nevada","linear_increase_sd","Past",2020-03-06,"latent_trend",NA,NA,NA,0.970187941239967,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-06,"latent_trend",NA,NA,NA,0.970187941239967,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-06,"latent_trend",NA,NA,NA,0.970187941239967,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.986838518040377,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.986838518040377,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-06,"mobility_trend",NA,NA,NA,0.986838518040377,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Nevada",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.948217771322698,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.948217771322698,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.948217771322698,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",35,34,34,39,37,48,49,49
"Nevada","return_normal","Past",2020-03-07,"cumulative_all_infections",35,34,34,39,37,48,49,49
"Nevada","status_quo","Past",2020-03-07,"cumulative_all_infections",35,34,34,39,37,48,49,49
"Nevada","linear_increase_sd","Past",2020-03-07,"cumulative_cases",4,3,3,4,4,4,4,4
"Nevada","return_normal","Past",2020-03-07,"cumulative_cases",4,3,3,4,4,4,4,4
"Nevada","status_quo","Past",2020-03-07,"cumulative_cases",4,3,3,4,4,4,4,4
"Nevada","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,1,0,1,1,1
"Nevada","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,1,0,1,1,1
"Nevada","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,1,0,1,1,1
"Nevada","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Nevada","return_normal","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Nevada","status_quo","Past",2020-03-07,"cumulative_hosps",2,2,2,2,2,2,2,2
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_all_infections",19,18,18,21,20,28,25,25
"Nevada","return_normal","Past",2020-03-07,"daily_all_infections",19,18,18,21,20,28,25,25
"Nevada","status_quo","Past",2020-03-07,"daily_all_infections",19,18,18,21,20,28,25,25
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_cases",2,2,2,2,2,2,2,2
"Nevada","return_normal","Past",2020-03-07,"daily_cases",2,2,2,2,2,2,2,2
"Nevada","status_quo","Past",2020-03-07,"daily_cases",2,2,2,2,2,2,2,2
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,1,0,1,1,1
"Nevada","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,1,0,1,1,1
"Nevada","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,1,0,1,1,1
"Nevada","linear_increase_sd","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"Nevada","return_normal","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"Nevada","status_quo","Past",2020-03-07,"daily_hosps",1,1,1,1,1,1,1,1
"Nevada","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,0.966167394130619,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,0.966167394130619,NA,NA,NA,NA
"Nevada","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,0.966167394130619,NA,NA,NA,NA
"Nevada","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.981421829263786,NA,NA,NA,NA
"Nevada","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.981421829263786,NA,NA,NA,NA
