"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"North Dakota",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.924549287153856,NA,NA,NA,NA
"North Dakota","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.924549287153856,NA,NA,NA,NA
"North Dakota","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.924549287153856,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"North Dakota","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"North Dakota","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.924549287153856,NA,NA,NA,NA
"North Dakota","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.924549287153856,NA,NA,NA,NA
"North Dakota","status_quo","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.924549287153856,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-08,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-08,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.877888219967365,NA,NA,NA,NA
"North Dakota","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.877888219967365,NA,NA,NA,NA
"North Dakota","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.877888219967365,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-08,"cumulative_all_infections",9,7,7,10,9,10,12,12
"North Dakota","return_normal","Past",2020-03-08,"cumulative_all_infections",9,7,7,10,9,10,12,12
"North Dakota","status_quo","Past",2020-03-08,"cumulative_all_infections",9,7,7,10,9,10,12,12
"North Dakota","linear_increase_sd","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"North Dakota","return_normal","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"North Dakota","status_quo","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"North Dakota","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"North Dakota","return_normal","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"North Dakota","status_quo","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"North Dakota","linear_increase_sd","Past",2020-03-08,"daily_all_infections",9,7,7,10,9,10,12,12
"North Dakota","return_normal","Past",2020-03-08,"daily_all_infections",9,7,7,10,9,10,12,12
"North Dakota","status_quo","Past",2020-03-08,"daily_all_infections",9,7,7,10,9,10,12,12
"North Dakota","linear_increase_sd","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"North Dakota","return_normal","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"North Dakota","status_quo","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"North Dakota","linear_increase_sd","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"North Dakota","return_normal","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"North Dakota","status_quo","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"North Dakota","linear_increase_sd","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"North Dakota","return_normal","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"North Dakota","status_quo","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"North Dakota","linear_increase_sd","Past",2020-03-08,"latent_trend",NA,NA,NA,0.967689367116175,NA,NA,NA,NA
"North Dakota","return_normal","Past",2020-03-08,"latent_trend",NA,NA,NA,0.967689367116175,NA,NA,NA,NA
"North Dakota","status_quo","Past",2020-03-08,"latent_trend",NA,NA,NA,0.967689367116175,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.907200440347476,NA,NA,NA,NA
"North Dakota","return_normal","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.907200440347476,NA,NA,NA,NA
"North Dakota","status_quo","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.907200440347476,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-09,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-09,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-09,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"North Dakota",NA,"Past",2020-03-09,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-09,"combined_trend",NA,NA,NA,0.860591715330768,NA,NA,NA,NA
"North Dakota","return_normal","Past",2020-03-09,"combined_trend",NA,NA,NA,0.860591715330768,NA,NA,NA,NA
"North Dakota","status_quo","Past",2020-03-09,"combined_trend",NA,NA,NA,0.860591715330768,NA,NA,NA,NA
"North Dakota","linear_increase_sd","Past",2020-03-09,"cumulative_all_infections",18,16,16,20,19,20,23,23
"North Dakota","return_normal","Past",2020-03-09,"cumulative_all_infections",18,16,16,20,19,20,23,23
"North Dakota","status_quo","Past",2020-03-09,"cumulative_all_infections",18,16,16,20,19,20,23,23
"North Dakota","linear_increase_sd","Past",2020-03-09,"cumulative_cases",4,3,3,4,4,4,4,4
"North Dakota","return_normal","Past",2020-03-09,"cumulative_cases",4,3,3,4,4,4,4,4
"North Dakota","status_quo","Past",2020-03-09,"cumulative_cases",4,3,3,4,4,4,4,4
"North Dakota","linear_increase_sd","Past",2020-03-09,"cumulative_deaths",0,0,0,1,0,0,1,1
"North Dakota","return_normal","Past",2020-03-09,"cumulative_deaths",0,0,0,1,0,0,1,1
"North Dakota","status_quo","Past",2020-03-09,"cumulative_deaths",0,0,0,1,0,0,1,1
"North Dakota","linear_increase_sd","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"North Dakota","return_normal","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"North Dakota","status_quo","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"North Dakota","linear_increase_sd","Past",2020-03-09,"daily_all_infections",9,9,9,10,10,10,11,11
"North Dakota","return_normal","Past",2020-03-09,"daily_all_infections",9,9,9,10,10,10,11,11
"North Dakota","status_quo","Past",2020-03-09,"daily_all_infections",9,9,9,10,10,10,11,11
"North Dakota","linear_increase_sd","Past",2020-03-09,"daily_cases",2,1,1,2,2,2,2,2
"North Dakota","return_normal","Past",2020-03-09,"daily_cases",2,1,1,2,2,2,2,2
"North Dakota","status_quo","Past",2020-03-09,"daily_cases",2,1,1,2,2,2,2,2
"North Dakota","linear_increase_sd","Past",2020-03-09,"daily_deaths",0,0,0,1,0,0,1,1
"North Dakota","return_normal","Past",2020-03-09,"daily_deaths",0,0,0,1,0,0,1,1
"North Dakota","status_quo","Past",2020-03-09,"daily_deaths",0,0,0,1,0,0,1,1
"North Dakota","linear_increase_sd","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"North Dakota","return_normal","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
"North Dakota","status_quo","Past",2020-03-09,"daily_hosps",1,1,1,1,1,1,1,1
