"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Alabama","linear_increase_sd","Past",2020-03-07,"cases",0,0,0,0,0,0,0,0,0,0.896216047469521,1
"2","Alabama","linear_increase_sd","Past",2020-03-07,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.896216047469521,1
"3","Alabama","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.896216047469521,1
"4","Alabama","linear_increase_sd","Past",2020-03-08,"cases",2,2,2,2,2,2,2,2,2,0.780013336095607,0.622459331201855
"5","Alabama","linear_increase_sd","Past",2020-03-08,"cumulative_infections",21,21,23,35,33,41,65,65,NA,0.780013336095607,0.622459331201855
"6","Alabama","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,0,0,0,0,0,0,0.780013336095607,0.622459331201855
"7","Alabama","linear_increase_sd","Past",2020-03-09,"cases",2,2,2,2,2,2,2,2,4,0.864608503081659,0.553367372799653
"8","Alabama","linear_increase_sd","Past",2020-03-09,"cumulative_infections",47,47,50,69,65,79,124,124,NA,0.864608503081659,0.553367372799653
"9","Alabama","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,0,1,1,1,1,0.864608503081659,0.553367372799653
"10","Alabama","linear_increase_sd","Past",2020-03-10,"cases",1,1,1,2,1,2,2,2,6,0.875242791990952,0.464346329166028
"11","Alabama","linear_increase_sd","Past",2020-03-10,"cumulative_infections",85,85,90,116,113,132,199,199,NA,0.875242791990952,0.464346329166028
"12","Alabama","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,1,1,1,1,1,0.875242791990952,0.464346329166028
"13","Alabama","linear_increase_sd","Past",2020-03-11,"cases",1,1,1,2,1,2,2,2,7,0.871840874077289,0.429053403116534
"14","Alabama","linear_increase_sd","Past",2020-03-11,"cumulative_infections",139,139,146,181,176,205,293,293,NA,0.871840874077289,0.429053403116534
"15","Alabama","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,2,0.871840874077289,0.429053403116534
