"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Arizona","linear_increase_sd","Past",2020-03-04,"cases",0,0,0,0,0,0,0,0,0,0.827399234945417,1
"2","Arizona","linear_increase_sd","Past",2020-03-04,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.827399234945417,1
"3","Arizona","linear_increase_sd","Past",2020-03-04,"deaths",0,0,0,0,0,0,0,0,0,0.827399234945417,1
"4","Arizona","linear_increase_sd","Past",2020-03-05,"cases",1,1,2,2,2,2,2,2,2,0.799479653903707,0.997741760798572
"5","Arizona","linear_increase_sd","Past",2020-03-05,"cumulative_infections",13,13,14,14,14,14,15,15,NA,0.799479653903707,0.997741760798572
"6","Arizona","linear_increase_sd","Past",2020-03-05,"deaths",0,0,0,1,0,0,1,1,1,0.799479653903707,0.997741760798572
"7","Arizona","linear_increase_sd","Past",2020-03-06,"cases",1,1,2,2,2,2,2,2,4,0.815056102598471,0.997292695760382
"8","Arizona","linear_increase_sd","Past",2020-03-06,"cumulative_infections",25,25,27,29,29,29,30,30,NA,0.815056102598471,0.997292695760382
"9","Arizona","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,1,0,1,1,1,1,0.815056102598471,0.997292695760382
"10","Arizona","linear_increase_sd","Past",2020-03-07,"cases",1,1,1,2,1,2,2,2,6,0.861702779500492,0.997292695760382
"11","Arizona","linear_increase_sd","Past",2020-03-07,"cumulative_infections",39,39,42,45,45,47,49,49,NA,0.861702779500492,0.997292695760382
"12","Arizona","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,1,0,1,1,1,1,0.861702779500492,0.997292695760382
"13","Arizona","linear_increase_sd","Past",2020-03-08,"cases",1,1,1,1,1,1,1,1,7,0.761398772714948,0.996446858386798
"14","Arizona","linear_increase_sd","Past",2020-03-08,"cumulative_infections",57,57,62,67,67,71,76,76,NA,0.761398772714948,0.996446858386798
"15","Arizona","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,1,1,1,1,2,0.761398772714948,0.996446858386798
"16","Arizona","linear_increase_sd","Past",2020-03-09,"cases",1,1,1,1,1,1,1,1,8,0.916220608926375,0.99574139294809
