"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Colorado","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.719737128684791,1
"2","Colorado","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.719737128684791,1
"3","Colorado","data","Past",2020-03-06,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.765048433222048,0.823240966881221
"4","Colorado","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.765048433222048,0.823240966881221
"5","Colorado","data","Past",2020-03-07,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA,0.696780283380364,0.811767865698079
"6","Colorado","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.696780283380364,0.811767865698079
"7","Colorado","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.805055657489765,0.760212731297414
"8","Colorado","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.805055657489765,0.760212731297414
"9","Colorado","data","Past",2020-03-09,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.781109548781313,0.699759702056349
"10","Colorado","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.781109548781313,0.699759702056349
"11","Colorado","data","Past",2020-03-10,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.770185935451364,0.613379078462526
"12","Colorado","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.770185935451364,0.613379078462526
"13","Colorado","data","Past",2020-03-11,"daily_cases",NA,NA,NA,16,NA,NA,NA,NA,0.779889183231631,0.594985793522771
"14","Colorado","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.779889183231631,0.594985793522771
"15","Colorado","data","Past",2020-03-12,"daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.689182308767793,0.538385856562641
