"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Illinois","linear_increase_sd","Past",2020-03-04,"cases",0,0,0,0,0,0,0,0,0,0.727695314522474,1
"2","Illinois","linear_increase_sd","Past",2020-03-04,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.727695314522474,1
"3","Illinois","linear_increase_sd","Past",2020-03-04,"deaths",0,0,0,0,0,0,0,0,0,0.727695314522474,1
"4","Illinois","linear_increase_sd","Past",2020-03-05,"cases",2,2,2,2,2,2,2,2,2,0.80135654687322,0.897215975082748
"5","Illinois","linear_increase_sd","Past",2020-03-05,"cumulative_infections",27,27,27,36,34,51,55,55,NA,0.80135654687322,0.897215975082748
"6","Illinois","linear_increase_sd","Past",2020-03-05,"deaths",0,0,0,0,0,0,0,0,0,0.80135654687322,0.897215975082748
"7","Illinois","linear_increase_sd","Past",2020-03-06,"cases",1,1,2,2,2,2,2,2,4,0.690277246229611,0.880797077977882
"8","Illinois","linear_increase_sd","Past",2020-03-06,"cumulative_infections",65,65,68,86,80,120,129,129,NA,0.690277246229611,0.880797077977882
"9","Illinois","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.690277246229611,0.880797077977882
"10","Illinois","linear_increase_sd","Past",2020-03-07,"cases",1,1,1,2,1,2,2,2,6,0.804806352513101,0.871766262407481
"11","Illinois","linear_increase_sd","Past",2020-03-07,"cumulative_infections",110,110,114,148,138,200,217,217,NA,0.804806352513101,0.871766262407481
"12","Illinois","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,1,0,1,1,1,1,0.804806352513101,0.871766262407481
"13","Illinois","linear_increase_sd","Past",2020-03-08,"cases",1,1,1,2,1,2,2,2,7,0.805319381554944,0.841130895119085
"14","Illinois","linear_increase_sd","Past",2020-03-08,"cumulative_infections",190,190,199,255,240,343,369,369,NA,0.805319381554944,0.841130895119085
"15","Illinois","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,1,1,1,1,2,0.805319381554944,0.841130895119085
"16","Illinois","linear_increase_sd","Past",2020-03-09,"cases",1,1,1,2,2,2,3,3,9,0.790567920674912,0.80481532298616
"17","Illinois","linear_increase_sd","Past",2020-03-09,"cumulative_infections",322,322,341,421,400,561,595,595,NA,0.790567920674912,0.80481532298616
"18","Illinois","linear_increase_sd","Past",2020-03-09,"deaths",1,1,1,1,1,1,1,1,3,0.790567920674912,0.80481532298616
"19","Illinois","linear_increase_sd","Past",2020-03-10,"cases",2,2,2,3,3,3,4,4,12,0.68772012028806,0.777299861174691
"20","Illinois","linear_increase_sd","Past",2020-03-10,"cumulative_infections",529,529,550,668,638,873,908,908,NA,0.68772012028806,0.777299861174691
"21","Illinois","linear_increase_sd","Past",2020-03-10,"deaths",1,1,1,1,1,1,1,1,4,0.68772012028806,0.777299861174691
"22","Illinois","linear_increase_sd","Past",2020-03-11,"cases",3,3,3,5,5,6,6,6,16,0.743015774588953,0.731058578630005
"23","Illinois","linear_increase_sd","Past",2020-03-11,"cumulative_infections",808,808,825,978,934,1252,1272,1272,NA,0.743015774588953,0.731058578630005
"24","Illinois","linear_increase_sd","Past",2020-03-11,"deaths",1,1,1,1,1,1,1,1,5,0.743015774588953,0.731058578630005
"25","Illinois","linear_increase_sd","Past",2020-03-12,"cases",5,5,6,8,7,9,9,9,23,0.802959571633705,0.697059283965407
"26","Illinois","linear_increase_sd","Past",2020-03-12,"cumulative_infections",1252,1252,1261,1454,1397,1789,1807,1807,NA,0.802959571633705,0.697059283965407
"27","Illinois","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,6,0.802959571633705,0.697059283965407
"28","Illinois","linear_increase_sd","Past",2020-03-13,"cases",8,8,9,11,10,13,14,14,34,0.670973500970796,0.641834045088731
