"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Iowa","linear_increase_sd","Past",2020-03-06,"cases",0,0,0,0,0,0,0,0,0,0.801238571718474,1
"2","Iowa","linear_increase_sd","Past",2020-03-06,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.801238571718474,1
"3","Iowa","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.801238571718474,1
"4","Iowa","linear_increase_sd","Past",2020-03-07,"cases",2,2,2,2,2,2,2,2,2,0.864753708811648,0.992526489664806
"5","Iowa","linear_increase_sd","Past",2020-03-07,"cumulative_infections",10,10,12,14,14,16,16,16,NA,0.864753708811648,0.992526489664806
"6","Iowa","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.864753708811648,0.992526489664806
"7","Iowa","linear_increase_sd","Past",2020-03-08,"cases",2,2,2,2,2,2,2,2,4,0.839433685451566,0.993666543576621
"8","Iowa","linear_increase_sd","Past",2020-03-08,"cumulative_infections",30,30,30,37,36,42,43,43,NA,0.839433685451566,0.993666543576621
"9","Iowa","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,0,0,1,1,1,0.839433685451566,0.993666543576621
"10","Iowa","linear_increase_sd","Past",2020-03-09,"cases",2,2,2,3,2,3,3,3,7,0.797766179449957,0.993666543576621
"11","Iowa","linear_increase_sd","Past",2020-03-09,"cumulative_infections",52,52,57,67,65,78,79,79,NA,0.797766179449957,0.993666543576621
"12","Iowa","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,0,1,1,1,1,0.797766179449957,0.993666543576621
"13","Iowa","linear_increase_sd","Past",2020-03-10,"cases",2,2,2,3,2,3,3,3,9,0.859881360039045,0.993666543576621
"14","Iowa","linear_increase_sd","Past",2020-03-10,"cumulative_infections",78,78,85,103,99,120,122,122,NA,0.859881360039045,0.993666543576621
"15","Iowa","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,1,1,1,1,2,0.859881360039045,0.993666543576621
"16","Iowa","linear_increase_sd","Past",2020-03-11,"cases",1,1,2,3,2,3,4,4,11,0.838338024507899,0.993307149075715
"17","Iowa","linear_increase_sd","Past",2020-03-11,"cumulative_infections",113,113,123,149,145,172,176,176,NA,0.838338024507899,0.993307149075715
"18","Iowa","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,2,0.838338024507899,0.993307149075715
"19","Iowa","linear_increase_sd","Past",2020-03-12,"cases",2,2,2,3,3,4,4,4,14,0.83656807244206,0.993307149075715
"20","Iowa","linear_increase_sd","Past",2020-03-12,"cumulative_infections",154,154,168,203,198,231,239,239,NA,0.83656807244206,0.993307149075715
"21","Iowa","linear_increase_sd","Past",2020-03-12,"deaths",0,0,0,1,1,1,1,1,3,0.83656807244206,0.993307149075715
"22","Iowa","linear_increase_sd","Past",2020-03-13,"cases",2,2,2,4,3,4,4,4,17,0.861635781975279,0.992927505746744
"23","Iowa","linear_increase_sd","Past",2020-03-13,"cumulative_infections",206,206,224,267,263,302,310,310,NA,0.861635781975279,0.992927505746744
"24","Iowa","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,4,0.861635781975279,0.992927505746744
"25","Iowa","linear_increase_sd","Past",2020-03-14,"cases",3,3,3,4,4,5,5,5,21,0.781855863173749,0.99165553846345
"26","Iowa","linear_increase_sd","Past",2020-03-14,"cumulative_infections",274,274,295,345,344,391,394,394,NA,0.781855863173749,0.99165553846345
"27","Iowa","linear_increase_sd","Past",2020-03-14,"deaths",0,0,1,1,1,1,1,1,5,0.781855863173749,0.99165553846345
"28","Iowa","linear_increase_sd","Past",2020-03-15,"cases",3,3,4,5,5,5,6,6,26,0.712992252444917,0.990684040654933
"29","Iowa","linear_increase_sd","Past",2020-03-15,"cumulative_infections",349,349,375,430,432,483,493,493,NA,0.712992252444917,0.990684040654933
