"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","Kentucky","linear_increase_sd","Past",2020-03-06,"cases",0,0,0,0,0,0,0,0,0,0.832837413865735,1
"2","Kentucky","linear_increase_sd","Past",2020-03-06,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.832837413865735,1
"3","Kentucky","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.832837413865735,1
"4","Kentucky","linear_increase_sd","Past",2020-03-07,"cases",2,2,2,3,2,2,3,3,3,0.859354158983786,0.980159694265923
"5","Kentucky","linear_increase_sd","Past",2020-03-07,"cumulative_infections",15,16,16,22,21,25,32,42,NA,0.859354158983786,0.980159694265923
"6","Kentucky","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.859354158983786,0.980159694265923
"7","Kentucky","linear_increase_sd","Past",2020-03-08,"cases",1,1,2,2,2,2,2,2,4,0.803888942610606,0.981109038062961
"8","Kentucky","linear_increase_sd","Past",2020-03-08,"cumulative_infections",37,38,41,52,48,65,68,84,NA,0.803888942610606,0.981109038062961
"9","Kentucky","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,0,1,1,1,1,0.803888942610606,0.981109038062961
"10","Kentucky","linear_increase_sd","Past",2020-03-09,"cases",1,1,1,2,2,3,3,3,6,0.853518187818596,0.97916365548132
"11","Kentucky","linear_increase_sd","Past",2020-03-09,"cumulative_infections",61,66,69,89,84,117,118,128,NA,0.853518187818596,0.97916365548132
"12","Kentucky","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,0,1,1,1,1,0.853518187818596,0.97916365548132
"13","Kentucky","linear_increase_sd","Past",2020-03-10,"cases",1,1,1,2,2,4,4,4,8,0.765418755582791,0.973403006423134
"14","Kentucky","linear_increase_sd","Past",2020-03-10,"cumulative_infections",95,104,109,142,137,190,191,191,NA,0.765418755582791,0.973403006423134
"15","Kentucky","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,1,1,1,1,2,0.765418755582791,0.973403006423134
"16","Kentucky","linear_increase_sd","Past",2020-03-11,"cases",1,1,1,2,2,4,5,5,10,0.822335617051105,0.966104835840822
"17","Kentucky","linear_increase_sd","Past",2020-03-11,"cumulative_infections",137,151,157,206,198,265,271,272,NA,0.822335617051105,0.966104835840822
"18","Kentucky","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,3,0.822335617051105,0.966104835840822
"19","Kentucky","linear_increase_sd","Past",2020-03-12,"cases",1,2,2,3,2,5,6,6,13,0.816783362070998,0.958908721799535
"20","Kentucky","linear_increase_sd","Past",2020-03-12,"cumulative_infections",197,218,228,296,285,364,370,377,NA,0.816783362070998,0.958908721799535
"21","Kentucky","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,4,0.816783362070998,0.958908721799535
"22","Kentucky","linear_increase_sd","Past",2020-03-13,"cases",2,2,2,4,3,6,6,6,16,0.836680816651904,0.942675824101131
"23","Kentucky","linear_increase_sd","Past",2020-03-13,"cumulative_infections",278,312,324,413,395,490,506,509,NA,0.836680816651904,0.942675824101131
"24","Kentucky","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,5,0.836680816651904,0.942675824101131
"25","Kentucky","linear_increase_sd","Past",2020-03-14,"cases",3,3,3,5,5,7,7,7,20,0.772692535909294,0.927573514638482
"26","Kentucky","linear_increase_sd","Past",2020-03-14,"cumulative_infections",390,442,459,569,554,658,666,704,NA,0.772692535909294,0.927573514638482
"27","Kentucky","linear_increase_sd","Past",2020-03-14,"deaths",1,1,1,1,1,1,1,1,6,0.772692535909294,0.927573514638482
"28","Kentucky","linear_increase_sd","Past",2020-03-15,"cases",4,4,4,6,5,9,10,10,26,0.814661276302667,0.900249510880315
"29","Kentucky","linear_increase_sd","Past",2020-03-15,"cumulative_infections",529,601,624,753,774,847,892,925,NA,0.814661276302667,0.900249510880315
"30","Kentucky","linear_increase_sd","Past",2020-03-15,"deaths",0,1,1,1,1,1,1,1,7,0.814661276302667,0.900249510880315
"31","Kentucky","linear_increase_sd","Past",2020-03-16,"cases",5,5,6,9,8,11,12,12,34,0.826331408272311,0.858148935099512
"32","Kentucky","linear_increase_sd","Past",2020-03-16,"cumulative_infections",710,824,853,995,1027,1112,1198,1214,NA,0.826331408272311,0.858148935099512
