"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Mississippi","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.85653224689047,1
"2","Mississippi","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.85653224689047,1
"3","Mississippi","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.864582123727237,0.810696998314102
"4","Mississippi","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.864582123727237,0.810696998314102
"5","Mississippi","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.855112833841786,0.80362251653523
"6","Mississippi","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.855112833841786,0.80362251653523
"7","Mississippi","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.917831327515667,0.76527456019717
"8","Mississippi","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.917831327515667,0.76527456019717
"9","Mississippi","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.852929805827036,0.748552870695337
"10","Mississippi","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.852929805827036,0.748552870695337
"11","Mississippi","data","Past",2020-03-12,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.898380193789386,0.693850254330627
"12","Mississippi","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.898380193789386,0.693850254330627
"13","Mississippi","data","Past",2020-03-13,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.895756169009165,0.643573706166127
"14","Mississippi","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.895756169009165,0.643573706166127
"15","Mississippi","data","Past",2020-03-14,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.839228503266098,0.600869875883195
"16","Mississippi","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.839228503266098,0.600869875883195
"17","Mississippi","data","Past",2020-03-15,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.927047827228531,0.556574869897311
"18","Mississippi","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.927047827228531,0.556574869897311
"19","Mississippi","data","Past",2020-03-16,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.854196639250323,0.511361680218837
"20","Mississippi","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.854196639250323,0.511361680218837
"21","Mississippi","data","Past",2020-03-17,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.825441948788521,0.410079590737446
"22","Mississippi","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.825441948788521,0.410079590737446
