"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Missouri","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.902876167510582,1
"2","Missouri","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.902876167510582,1
"3","Missouri","data","Past",2020-03-08,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.835153959931107,0.98265641844835
"4","Missouri","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.835153959931107,0.98265641844835
"5","Missouri","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.806515063167212,0.980657640522868
"6","Missouri","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.806515063167212,0.980657640522868
"7","Missouri","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.812514678108306,0.977638030806456
"8","Missouri","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.812514678108306,0.977638030806456
"9","Missouri","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.875269285908001,0.977638030806456
"10","Missouri","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.875269285908001,0.977638030806456
"11","Missouri","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.792849390043119,0.973210557678479
"12","Missouri","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.792849390043119,0.973210557678479
"13","Missouri","data","Past",2020-03-13,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.78560475556371,0.966765593173901
"14","Missouri","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.78560475556371,0.966765593173901
"15","Missouri","data","Past",2020-03-14,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.822041663659778,0.960272947485723
"16","Missouri","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.822041663659778,0.960272947485723
"17","Missouri","data","Past",2020-03-15,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.90934452113753,0.945414328456649
"18","Missouri","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.90934452113753,0.945414328456649
"19","Missouri","data","Past",2020-03-16,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.832973073735528,0.930383327326929
"20","Missouri","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.832973073735528,0.930383327326929
"21","Missouri","data","Past",2020-03-17,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.787154139666003,0.898911224579901
"22","Missouri","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.787154139666003,0.898911224579901
"23","Missouri","data","Past",2020-03-18,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.7696794387474,0.872797795380101
"24","Missouri","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.7696794387474,0.872797795380101
"25","Missouri","data","Past",2020-03-19,"daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.805904832878362,0.830980550084949
"26","Missouri","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.805904832878362,0.830980550084949
"27","Missouri","data","Past",2020-03-20,"daily_cases",NA,NA,NA,23,NA,NA,NA,NA,0.841753115252498,0.772454382807184
