"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","New Mexico","linear_increase_sd","Past",2020-03-06,"cases",0,0,0,0,0,0,0,0,0,0.810558799457811,1
"2","New Mexico","linear_increase_sd","Past",2020-03-06,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.810558799457811,1
"3","New Mexico","linear_increase_sd","Past",2020-03-06,"deaths",0,0,0,0,0,0,0,0,0,0.810558799457811,1
"4","New Mexico","linear_increase_sd","Past",2020-03-07,"cases",2,2,2,2,2,2,2,2,2,0.818446993857604,0.992948009729508
"5","New Mexico","linear_increase_sd","Past",2020-03-07,"cumulative_infections",7,7,9,11,11,13,13,13,NA,0.818446993857604,0.992948009729508
"6","New Mexico","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.818446993857604,0.992948009729508
"7","New Mexico","linear_increase_sd","Past",2020-03-08,"cases",2,2,2,2,2,2,2,2,4,0.748093743638311,0.992948009729508
"8","New Mexico","linear_increase_sd","Past",2020-03-08,"cumulative_infections",19,19,24,28,28,29,31,31,NA,0.748093743638311,0.992948009729508
"9","New Mexico","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,1,0,1,1,1,1,0.748093743638311,0.992948009729508
"10","New Mexico","linear_increase_sd","Past",2020-03-09,"cases",2,2,2,3,2,2,3,3,7,0.827264735717009,0.992171346273834
"11","New Mexico","linear_increase_sd","Past",2020-03-09,"cumulative_infections",35,35,41,47,48,51,53,53,NA,0.827264735717009,0.992171346273834
"12","New Mexico","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,1,1,1,1,1,0.827264735717009,0.992171346273834
"13","New Mexico","linear_increase_sd","Past",2020-03-10,"cases",1,1,2,3,2,3,3,3,9,0.866983853069288,0.993648115399319
"14","New Mexico","linear_increase_sd","Past",2020-03-10,"cumulative_infections",57,57,63,74,75,81,82,82,NA,0.866983853069288,0.993648115399319
"15","New Mexico","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,1,1,1,1,2,0.866983853069288,0.993648115399319
"16","New Mexico","linear_increase_sd","Past",2020-03-11,"cases",2,2,2,3,2,3,3,3,11,0.768644751572157,0.993971816660802
"17","New Mexico","linear_increase_sd","Past",2020-03-11,"cumulative_infections",84,84,91,107,108,118,119,119,NA,0.768644751572157,0.993971816660802
"18","New Mexico","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,3,0.768644751572157,0.993971816660802
"19","New Mexico","linear_increase_sd","Past",2020-03-12,"cases",1,1,2,3,2,3,3,3,13,0.802230844328569,0.994570836836346
"20","New Mexico","linear_increase_sd","Past",2020-03-12,"cumulative_infections",114,114,120,140,142,155,157,157,NA,0.802230844328569,0.994570836836346
"21","New Mexico","linear_increase_sd","Past",2020-03-12,"deaths",1,1,1,1,1,1,1,1,4,0.802230844328569,0.994570836836346
"22","New Mexico","linear_increase_sd","Past",2020-03-13,"cases",2,2,2,3,3,3,3,3,16,0.866728755948668,0.993307149075715
"23","New Mexico","linear_increase_sd","Past",2020-03-13,"cumulative_infections",147,147,156,181,182,199,203,203,NA,0.866728755948668,0.993307149075715
"24","New Mexico","linear_increase_sd","Past",2020-03-13,"deaths",1,1,1,1,1,1,1,1,5,0.866728755948668,0.993307149075715
"25","New Mexico","linear_increase_sd","Past",2020-03-14,"cases",2,2,2,3,3,3,3,3,18,0.792756606352691,0.993971816660802
"26","New Mexico","linear_increase_sd","Past",2020-03-14,"cumulative_infections",189,189,204,231,232,252,261,261,NA,0.792756606352691,0.993971816660802
"27","New Mexico","linear_increase_sd","Past",2020-03-14,"deaths",1,1,1,1,1,1,1,1,6,0.792756606352691,0.993971816660802
"28","New Mexico","linear_increase_sd","Past",2020-03-15,"cases",3,3,3,4,3,4,5,5,22,0.803146580608421,0.992948009729508
"29","New Mexico","linear_increase_sd","Past",2020-03-15,"cumulative_infections",233,233,256,284,284,308,322,322,NA,0.803146580608421,0.992948009729508
"30","New Mexico","linear_increase_sd","Past",2020-03-15,"deaths",1,1,1,1,1,1,1,1,7,0.803146580608421,0.992948009729508
"31","New Mexico","linear_increase_sd","Past",2020-03-16,"cases",3,3,3,4,4,5,5,5,26,0.826563103817738,0.99175176568059
"32","New Mexico","linear_increase_sd","Past",2020-03-16,"cumulative_infections",284,284,319,346,346,373,394,394,NA,0.826563103817738,0.99175176568059
"33","New Mexico","linear_increase_sd","Past",2020-03-16,"deaths",0,0,1,1,1,1,1,1,8,0.826563103817738,0.99175176568059
"34","New Mexico","linear_increase_sd","Past",2020-03-17,"cases",4,4,4,5,5,6,6,6,31,0.824954079150627,0.990354571384093
"35","New Mexico","linear_increase_sd","Past",2020-03-17,"cumulative_infections",346,346,392,419,420,448,477,477,NA,0.824954079150627,0.990354571384093
"36","New Mexico","linear_increase_sd","Past",2020-03-17,"deaths",1,1,1,1,1,1,1,1,9,0.824954079150627,0.990354571384093
"37","New Mexico","linear_increase_sd","Past",2020-03-18,"cases",5,5,5,7,6,7,7,7,37,0.735744610513548,0.989838617066843
"38","New Mexico","linear_increase_sd","Past",2020-03-18,"cumulative_infections",417,417,475,504,501,535,574,574,NA,0.735744610513548,0.989838617066843
"39","New Mexico","linear_increase_sd","Past",2020-03-18,"deaths",1,1,1,1,1,1,1,1,10,0.735744610513548,0.989838617066843
"40","New Mexico","linear_increase_sd","Past",2020-03-19,"cases",6,6,6,8,7,8,8,8,44,0.826092469852113,0.987487319093028
"41","New Mexico","linear_increase_sd","Past",2020-03-19,"cumulative_infections",490,490,556,590,587,630,674,674,NA,0.826092469852113,0.987487319093028
"42","New Mexico","linear_increase_sd","Past",2020-03-19,"deaths",1,1,1,1,1,1,1,1,11,0.826092469852113,0.987487319093028
"43","New Mexico","linear_increase_sd","Past",2020-03-20,"cases",7,7,8,9,8,10,10,10,53,0.780829561718382,0.985378406820805
"44","New Mexico","linear_increase_sd","Past",2020-03-20,"cumulative_infections",587,587,661,701,699,750,800,800,NA,0.780829561718382,0.985378406820805
"45","New Mexico","linear_increase_sd","Past",2020-03-20,"deaths",1,1,1,1,1,1,1,1,12,0.780829561718382,0.985378406820805
"46","New Mexico","linear_increase_sd","Past",2020-03-21,"cases",9,9,9,11,10,11,11,11,63,0.78068729798952,0.982920202028781
"47","New Mexico","linear_increase_sd","Past",2020-03-21,"cumulative_infections",686,686,775,820,813,881,937,937,NA,0.78068729798952,0.982920202028781
"48","New Mexico","linear_increase_sd","Past",2020-03-21,"deaths",1,1,1,1,1,1,1,1,13,0.78068729798952,0.982920202028781
"49","New Mexico","linear_increase_sd","Past",2020-03-22,"cases",8,8,11,12,12,13,14,14,74,0.824933596367494,0.981060202331128
"50","New Mexico","linear_increase_sd","Past",2020-03-22,"cumulative_infections",805,805,902,955,943,1028,1092,1092,NA,0.824933596367494,0.981060202331128
"51","New Mexico","linear_increase_sd","Past",2020-03-22,"deaths",1,1,1,1,1,1,1,1,14,0.824933596367494,0.981060202331128
"52","New Mexico","linear_increase_sd","Past",2020-03-23,"cases",11,11,13,15,14,16,17,17,89,0.790504440089519,0.972852496087194
"53","New Mexico","linear_increase_sd","Past",2020-03-23,"cumulative_infections",952,952,1051,1115,1094,1207,1275,1275,NA,0.790504440089519,0.972852496087194
"54","New Mexico","linear_increase_sd","Past",2020-03-23,"deaths",1,1,1,1,1,1,1,1,15,0.790504440089519,0.972852496087194
"55","New Mexico","linear_increase_sd","Past",2020-03-24,"cases",14,14,15,16,16,18,18,18,105,0.814729777329649,0.96122848518857
"56","New Mexico","linear_increase_sd","Past",2020-03-24,"cumulative_infections",1110,1110,1210,1287,1257,1404,1473,1473,NA,0.814729777329649,0.96122848518857
"57","New Mexico","linear_increase_sd","Past",2020-03-24,"deaths",1,1,1,1,1,1,1,1,16,0.814729777329649,0.96122848518857
"58","New Mexico","linear_increase_sd","Past",2020-03-25,"cases",16,16,17,19,19,21,23,23,123,0.771113000463697,0.954896003415079
"59","New Mexico","linear_increase_sd","Past",2020-03-25,"cumulative_infections",1293,1293,1393,1484,1446,1634,1698,1698,NA,0.771113000463697,0.954896003415079
"60","New Mexico","linear_increase_sd","Past",2020-03-25,"deaths",1,1,1,1,1,1,1,1,17,0.771113000463697,0.954896003415079
"61","New Mexico","linear_increase_sd","Past",2020-03-26,"cases",18,18,18,23,22,26,27,27,146,0.800877404387777,0.936088489046785
"62","New Mexico","linear_increase_sd","Past",2020-03-26,"cumulative_infections",1489,1489,1573,1689,1648,1881,1929,1929,NA,0.800877404387777,0.936088489046785
"63","New Mexico","linear_increase_sd","Past",2020-03-26,"deaths",1,1,1,1,1,1,1,1,18,0.800877404387777,0.936088489046785
"64","New Mexico","linear_increase_sd","Past",2020-03-27,"cases",21,21,24,26,26,29,30,30,172,0.79454626372525,0.918418648583163
"65","New Mexico","linear_increase_sd","Past",2020-03-27,"cumulative_infections",1714,1714,1777,1924,1882,2167,2192,2192,NA,0.79454626372525,0.918418648583163
"66","New Mexico","linear_increase_sd","Past",2020-03-27,"deaths",1,1,1,1,1,1,1,1,19,0.79454626372525,0.918418648583163
"67","New Mexico","linear_increase_sd","Past",2020-03-28,"cases",25,25,26,30,30,34,36,36,201,0.740539401783184,0.90119080300279
"68","New Mexico","linear_increase_sd","Past",2020-03-28,"cumulative_infections",1970,1970,1993,2178,2143,2472,2478,2478,NA,0.740539401783184,0.90119080300279
"69","New Mexico","linear_increase_sd","Past",2020-03-28,"deaths",1,1,1,1,1,1,1,1,20,0.740539401783184,0.90119080300279
"70","New Mexico","linear_increase_sd","Past",2020-03-29,"cases",28,28,30,34,34,37,40,40,234,0.808567694463205,0.88621325518229
"71","New Mexico","linear_increase_sd","Past",2020-03-29,"cumulative_infections",2211,2211,2223,2431,2410,2749,2790,2790,NA,0.808567694463205,0.88621325518229
"72","New Mexico","linear_increase_sd","Past",2020-03-29,"deaths",1,1,1,1,1,1,1,1,21,0.808567694463205,0.88621325518229
"73","New Mexico","linear_increase_sd","Past",2020-03-30,"cases",32,32,34,38,37,43,44,44,272,0.838069913419673,0.836385823940795
"74","New Mexico","linear_increase_sd","Past",2020-03-30,"cumulative_infections",2464,2464,2475,2726,2727,3074,3148,3148,NA,0.838069913419673,0.836385823940795
"75","New Mexico","linear_increase_sd","Past",2020-03-30,"deaths",1,1,1,1,1,1,1,1,22,0.838069913419673,0.836385823940795
"76","New Mexico","linear_increase_sd","Past",2020-03-31,"cases",38,38,39,44,44,48,51,51,316,0.741587023817182,0.813616722126272
"77","New Mexico","linear_increase_sd","Past",2020-03-31,"cumulative_infections",2745,2745,2755,3049,3075,3428,3541,3541,NA,0.741587023817182,0.813616722126272
"78","New Mexico","linear_increase_sd","Past",2020-03-31,"deaths",1,1,1,1,1,1,1,1,23,0.741587023817182,0.813616722126272
"79","New Mexico","linear_increase_sd","Past",2020-04-01,"cases",41,41,42,48,48,51,59,59,363,0.713142283479215,0.770392061312872
"80","New Mexico","linear_increase_sd","Past",2020-04-01,"cumulative_infections",3009,3009,3015,3347,3392,3754,3897,3897,NA,0.713142283479215,0.770392061312872
"81","New Mexico","linear_increase_sd","Past",2020-04-01,"deaths",1,1,1,1,1,1,1,1,24,0.713142283479215,0.770392061312872
"82","New Mexico","linear_increase_sd","Past",2020-04-02,"cases",42,42,44,52,51,60,62,62,415,0.787833703169901,0.751244963368708
"83","New Mexico","linear_increase_sd","Past",2020-04-02,"cumulative_infections",3270,3270,3277,3640,3672,4078,4247,4247,NA,0.787833703169901,0.751244963368708
"84","New Mexico","linear_increase_sd","Past",2020-04-02,"deaths",1,1,1,1,1,1,1,1,25,0.787833703169901,0.751244963368708
"85","New Mexico","linear_increase_sd","Past",2020-04-03,"cases",49,49,50,58,57,67,71,71,472,0.802130516704028,0.741279914293239
"86","New Mexico","linear_increase_sd","Past",2020-04-03,"cumulative_infections",3550,3550,3583,3972,3986,4443,4634,4634,NA,0.802130516704028,0.741279914293239
