"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","cumulative_mean","mobility_trend","latent_trend"
"1","North Dakota","linear_increase_sd","Past",2020-03-07,"cases",0,0,0,0,0,0,0,0,0,0.724633449995944,1
"2","North Dakota","linear_increase_sd","Past",2020-03-07,"cumulative_infections",0,0,0,0,0,0,0,0,NA,0.724633449995944,1
"3","North Dakota","linear_increase_sd","Past",2020-03-07,"deaths",0,0,0,0,0,0,0,0,0,0.724633449995944,1
"4","North Dakota","linear_increase_sd","Past",2020-03-08,"cases",2,2,2,2,2,2,2,2,2,0.732365081286049,0.997741760798572
"5","North Dakota","linear_increase_sd","Past",2020-03-08,"cumulative_infections",7,7,8,9,9,11,11,12,NA,0.732365081286049,0.997741760798572
"6","North Dakota","linear_increase_sd","Past",2020-03-08,"deaths",0,0,0,0,0,0,0,0,0,0.732365081286049,0.997741760798572
"7","North Dakota","linear_increase_sd","Past",2020-03-09,"cases",1,1,1,2,2,2,2,2,4,0.811016978130695,0.997636993071467
"8","North Dakota","linear_increase_sd","Past",2020-03-09,"cumulative_infections",15,15,16,18,17,21,21,23,NA,0.811016978130695,0.997636993071467
"9","North Dakota","linear_increase_sd","Past",2020-03-09,"deaths",0,0,0,1,0,1,1,1,1,0.811016978130695,0.997636993071467
"10","North Dakota","linear_increase_sd","Past",2020-03-10,"cases",1,1,1,2,1,2,2,2,5,0.742134110865239,0.996898389243137
"11","North Dakota","linear_increase_sd","Past",2020-03-10,"cumulative_infections",23,23,24,28,28,31,32,36,NA,0.742134110865239,0.996898389243137
"12","North Dakota","linear_increase_sd","Past",2020-03-10,"deaths",0,0,0,1,0,1,1,1,1,0.742134110865239,0.996898389243137
"13","North Dakota","linear_increase_sd","Past",2020-03-11,"cases",1,1,1,1,1,1,1,1,6,0.784252524413869,0.99574139294809
"14","North Dakota","linear_increase_sd","Past",2020-03-11,"cumulative_infections",30,32,32,39,39,44,44,50,NA,0.784252524413869,0.99574139294809
"15","North Dakota","linear_increase_sd","Past",2020-03-11,"deaths",0,0,0,1,1,1,1,1,2,0.784252524413869,0.99574139294809
"16","North Dakota","linear_increase_sd","Past",2020-03-12,"cases",1,1,1,1,1,1,1,1,7,0.685063946361139,0.994413600209297
"17","North Dakota","linear_increase_sd","Past",2020-03-12,"cumulative_infections",41,42,44,53,52,61,62,70,NA,0.685063946361139,0.994413600209297
"18","North Dakota","linear_increase_sd","Past",2020-03-12,"deaths",0,0,0,1,1,1,1,1,2,0.685063946361139,0.994413600209297
"19","North Dakota","linear_increase_sd","Past",2020-03-13,"cases",1,1,1,1,1,1,1,1,8,0.75093419994379,0.989958227357063
"20","North Dakota","linear_increase_sd","Past",2020-03-13,"cumulative_infections",53,54,57,70,69,81,82,92,NA,0.75093419994379,0.989958227357063
"21","North Dakota","linear_increase_sd","Past",2020-03-13,"deaths",0,0,1,1,1,1,1,1,3,0.75093419994379,0.989958227357063
"22","North Dakota","linear_increase_sd","Past",2020-03-14,"cases",1,1,1,1,1,1,1,1,9,0.744522606862427,0.985617734870447
"23","North Dakota","linear_increase_sd","Past",2020-03-14,"cumulative_infections",70,71,75,93,91,110,112,124,NA,0.744522606862427,0.985617734870447
"24","North Dakota","linear_increase_sd","Past",2020-03-14,"deaths",0,0,1,1,1,1,1,1,4,0.744522606862427,0.985617734870447
"25","North Dakota","linear_increase_sd","Past",2020-03-15,"cases",1,1,1,2,1,2,2,2,11,0.746174598316794,0.975441165084672
"26","North Dakota","linear_increase_sd","Past",2020-03-15,"cumulative_infections",92,94,97,122,119,145,149,163,NA,0.746174598316794,0.975441165084672
