"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","South Carolina","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.875784100274568,1
"2","South Carolina","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.875784100274568,1
"3","South Carolina","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.883262081756468,0.991422514586288
"4","South Carolina","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.883262081756468,0.991422514586288
"5","South Carolina","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.856450786518348,0.99058741041239
"6","South Carolina","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.856450786518348,0.99058741041239
"7","South Carolina","data","Past",2020-03-07,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.859392087106029,0.98636316471857
"8","South Carolina","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.859392087106029,0.98636316471857
"9","South Carolina","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.882128843995825,0.981453435487883
"10","South Carolina","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.882128843995825,0.981453435487883
"11","South Carolina","data","Past",2020-03-09,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.8302944012217,0.976310528700626
"12","South Carolina","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.8302944012217,0.976310528700626
"13","South Carolina","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.834920574206547,0.966914021611296
"14","South Carolina","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.834920574206547,0.966914021611296
"15","South Carolina","data","Past",2020-03-11,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.833119910306526,0.94815453335022
"16","South Carolina","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.833119910306526,0.94815453335022
"17","South Carolina","data","Past",2020-03-12,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.795168585558091,0.921921834855049
"18","South Carolina","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.795168585558091,0.921921834855049
