"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","West Virginia","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.839731295246888,1
"2","West Virginia","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.839731295246888,1
"3","West Virginia","data","Past",2020-03-07,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.845446785771227,0.97596002842204
"4","West Virginia","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.845446785771227,0.97596002842204
"5","West Virginia","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.865536583424252,0.980657640522868
"6","West Virginia","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.865536583424252,0.980657640522868
"7","West Virginia","data","Past",2020-03-09,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.867967161622305,0.98265641844835
"8","West Virginia","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.867967161622305,0.98265641844835
"9","West Virginia","data","Past",2020-03-10,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.865437799006332,0.983874732154521
"10","West Virginia","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.865437799006332,0.983874732154521
"11","West Virginia","data","Past",2020-03-11,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.911186922075502,0.984451923774047
"12","West Virginia","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.911186922075502,0.984451923774047
"13","West Virginia","data","Past",2020-03-12,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.776274850280013,0.985008770058339
"14","West Virginia","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.776274850280013,0.985008770058339
"15","West Virginia","data","Past",2020-03-13,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.791232619116448,0.98327647743219
"16","West Virginia","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.791232619116448,0.98327647743219
"17","West Virginia","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.914054955994151,0.98265641844835
"18","West Virginia","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.914054955994151,0.98265641844835
"19","West Virginia","data","Past",2020-03-15,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.865204929512064,0.981347802409622
"20","West Virginia","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.865204929512064,0.981347802409622
"21","West Virginia","data","Past",2020-03-16,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.858587237886492,0.978433567023952
"22","West Virginia","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.858587237886492,0.978433567023952
"23","West Virginia","data","Past",2020-03-17,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.841313133452298,0.974159439843714
"24","West Virginia","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.841313133452298,0.974159439843714
"25","West Virginia","data","Past",2020-03-18,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.787490805429989,0.972227825293808
"26","West Virginia","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.787490805429989,0.972227825293808
"27","West Virginia","data","Past",2020-03-19,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.852872277763134,0.969065029508046
"28","West Virginia","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.852872277763134,0.969065029508046
"29","West Virginia","data","Past",2020-03-20,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.812991176010879,0.957348747869057
"30","West Virginia","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.812991176010879,0.957348747869057
"31","West Virginia","data","Past",2020-03-21,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.705735267250628,0.949113268044813
"32","West Virginia","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.705735267250628,0.949113268044813
"33","West Virginia","data","Past",2020-03-22,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.765741474182436,0.930383327326929
"34","West Virginia","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.765741474182436,0.930383327326929
"35","West Virginia","data","Past",2020-03-23,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.822951448024022,0.911600322792942
"36","West Virginia","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.822951448024022,0.911600322792942
"37","West Virginia","data","Past",2020-03-24,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.741317567952773,0.898911224579901
"38","West Virginia","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.741317567952773,0.898911224579901
