"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Arizona","data","Past","2020-03-04","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"Arizona","data","Past","2020-03-04","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Arizona","data","Past","2020-03-05","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.998477851970128
"Arizona","data","Past","2020-03-05","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.998477851970128
"Arizona","data","Past","2020-03-06","daily_cases",NA,NA,NA,1,NA,NA,NA,NA,1,0.998391501489926
"Arizona","data","Past","2020-03-06","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.998391501489926
"Arizona","data","Past","2020-03-07","daily_cases",NA,NA,NA,2,NA,NA,NA,NA,1,0.998141307223467
"Arizona","data","Past","2020-03-07","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.998141307223467
"Arizona","data","Past","2020-03-08","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.997675140010221
"Arizona","data","Past","2020-03-08","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.997675140010221
"Arizona","data","Past","2020-03-09","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,0.996884393434856
"Arizona","data","Past","2020-03-09","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.996884393434856
"Arizona","data","Past","2020-03-10","daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.998041741850178,0.995572477672161
"Arizona","data","Past","2020-03-10","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.998041741850178,0.995572477672161
"Arizona","data","Past","2020-03-11","daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.985282506538857,0.993397585878477
"Arizona","data","Past","2020-03-11","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.985282506538857,0.993397585878477
"Arizona","data","Past","2020-03-12","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.970255811793596,0.989778538227436
"Arizona","data","Past","2020-03-12","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.970255811793596,0.989778538227436
