"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95"
"Iowa","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Iowa","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-07,"daily_cases",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-08,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Iowa","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-09,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA
"Iowa","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-10,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA
"Iowa","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-11,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA
"Iowa","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-12,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-13,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-14,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-15,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-16,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA
"Iowa","data","Past",2020-03-16,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-17,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-03-17,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-18,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA
"Iowa","data","Past",2020-03-18,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-19,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA
"Iowa","data","Past",2020-03-19,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-20,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA
"Iowa","data","Past",2020-03-20,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-21,"daily_cases",NA,NA,NA,23,NA,NA,NA,NA
"Iowa","data","Past",2020-03-21,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-22,"daily_cases",NA,NA,NA,22,NA,NA,NA,NA
"Iowa","data","Past",2020-03-22,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-23,"daily_cases",NA,NA,NA,15,NA,NA,NA,NA
"Iowa","data","Past",2020-03-23,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-24,"daily_cases",NA,NA,NA,19,NA,NA,NA,NA
"Iowa","data","Past",2020-03-24,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-25,"daily_cases",NA,NA,NA,21,NA,NA,NA,NA
"Iowa","data","Past",2020-03-25,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","data","Past",2020-03-26,"daily_cases",NA,NA,NA,34,NA,NA,NA,NA
"Iowa","data","Past",2020-03-26,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Iowa","data","Past",2020-03-27,"daily_cases",NA,NA,NA,56,NA,NA,NA,NA
"Iowa","data","Past",2020-03-27,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-03-28,"daily_cases",NA,NA,NA,63,NA,NA,NA,NA
"Iowa","data","Past",2020-03-28,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Iowa","data","Past",2020-03-29,"daily_cases",NA,NA,NA,38,NA,NA,NA,NA
"Iowa","data","Past",2020-03-29,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-03-30,"daily_cases",NA,NA,NA,88,NA,NA,NA,NA
"Iowa","data","Past",2020-03-30,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-03-31,"daily_cases",NA,NA,NA,73,NA,NA,NA,NA
"Iowa","data","Past",2020-03-31,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-04-01,"daily_cases",NA,NA,NA,52,NA,NA,NA,NA
"Iowa","data","Past",2020-04-01,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-04-02,"daily_cases",NA,NA,NA,65,NA,NA,NA,NA
"Iowa","data","Past",2020-04-02,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-04-03,"daily_cases",NA,NA,NA,85,NA,NA,NA,NA
"Iowa","data","Past",2020-04-03,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Iowa","data","Past",2020-04-04,"daily_cases",NA,NA,NA,87,NA,NA,NA,NA
"Iowa","data","Past",2020-04-04,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA
"Iowa","data","Past",2020-04-05,"daily_cases",NA,NA,NA,82,NA,NA,NA,NA
"Iowa","data","Past",2020-04-05,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA
"Iowa","data","Past",2020-04-06,"daily_cases",NA,NA,NA,78,NA,NA,NA,NA
"Iowa","data","Past",2020-04-06,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA
"Iowa","data","Past",2020-04-07,"daily_cases",NA,NA,NA,102,NA,NA,NA,NA
"Iowa","data","Past",2020-04-07,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-04-08,"daily_cases",NA,NA,NA,97,NA,NA,NA,NA
"Iowa","data","Past",2020-04-08,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-04-09,"daily_cases",NA,NA,NA,125,NA,NA,NA,NA
"Iowa","data","Past",2020-04-09,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-04-10,"daily_cases",NA,NA,NA,118,NA,NA,NA,NA
"Iowa","data","Past",2020-04-10,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-04-11,"daily_cases",NA,NA,NA,122,NA,NA,NA,NA
"Iowa","data","Past",2020-04-11,"daily_deaths",NA,NA,NA,3,NA,NA,NA,NA
"Iowa","data","Past",2020-04-12,"daily_cases",NA,NA,NA,77,NA,NA,NA,NA
"Iowa","data","Past",2020-04-12,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA
"Iowa","data","Past",2020-04-13,"daily_cases",NA,NA,NA,123,NA,NA,NA,NA
"Iowa","data","Past",2020-04-13,"daily_deaths",NA,NA,NA,2,NA,NA,NA,NA
"Iowa","data","Past",2020-04-14,"daily_cases",NA,NA,NA,189,NA,NA,NA,NA
"Iowa","data","Past",2020-04-14,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA
"Iowa","data","Past",2020-04-15,"daily_cases",NA,NA,NA,96,NA,NA,NA,NA
"Iowa","data","Past",2020-04-15,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA
"Iowa","data","Past",2020-04-16,"daily_cases",NA,NA,NA,146,NA,NA,NA,NA
"Iowa","data","Past",2020-04-16,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA
"Iowa","data","Past",2020-04-17,"daily_cases",NA,NA,NA,191,NA,NA,NA,NA
"Iowa","data","Past",2020-04-17,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA
"Iowa","data","Past",2020-04-18,"daily_cases",NA,NA,NA,181,NA,NA,NA,NA
"Iowa","data","Past",2020-04-18,"daily_deaths",NA,NA,NA,10,NA,NA,NA,NA
"Iowa","data","Past",2020-04-19,"daily_cases",NA,NA,NA,389,NA,NA,NA,NA
"Iowa","data","Past",2020-04-19,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA
"Iowa","data","Past",2020-04-20,"daily_cases",NA,NA,NA,257,NA,NA,NA,NA
"Iowa","data","Past",2020-04-20,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA
"Iowa","data","Past",2020-04-21,"daily_cases",NA,NA,NA,482,NA,NA,NA,NA
"Iowa","data","Past",2020-04-21,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA
"Iowa","data","Past",2020-04-22,"daily_cases",NA,NA,NA,107,NA,NA,NA,NA
"Iowa","data","Past",2020-04-22,"daily_deaths",NA,NA,NA,7,NA,NA,NA,NA
"Iowa","data","Past",2020-04-23,"daily_cases",NA,NA,NA,176,NA,NA,NA,NA
"Iowa","data","Past",2020-04-23,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA
"Iowa","data","Past",2020-04-24,"daily_cases",NA,NA,NA,521,NA,NA,NA,NA
"Iowa","data","Past",2020-04-24,"daily_deaths",NA,NA,NA,11,NA,NA,NA,NA
"Iowa","data","Past",2020-04-25,"daily_cases",NA,NA,NA,647,NA,NA,NA,NA
"Iowa","data","Past",2020-04-25,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA
"Iowa","data","Past",2020-04-26,"daily_cases",NA,NA,NA,384,NA,NA,NA,NA
"Iowa","data","Past",2020-04-26,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA
"Iowa","data","Past",2020-04-27,"daily_cases",NA,NA,NA,392,NA,NA,NA,NA
"Iowa","data","Past",2020-04-27,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA
"Iowa","data","Past",2020-04-28,"daily_cases",NA,NA,NA,508,NA,NA,NA,NA
"Iowa","data","Past",2020-04-28,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA
"Iowa","data","Past",2020-04-29,"daily_cases",NA,NA,NA,467,NA,NA,NA,NA
"Iowa","data","Past",2020-04-29,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA
"Iowa","data","Past",2020-04-30,"daily_cases",NA,NA,NA,302,NA,NA,NA,NA
"Iowa","data","Past",2020-04-30,"daily_deaths",NA,NA,NA,14,NA,NA,NA,NA
"Iowa","data","Past",2020-05-01,"daily_cases",NA,NA,NA,739,NA,NA,NA,NA
"Iowa","data","Past",2020-05-01,"daily_deaths",NA,NA,NA,8,NA,NA,NA,NA
"Iowa","data","Past",2020-05-02,"daily_cases",NA,NA,NA,757,NA,NA,NA,NA
"Iowa","data","Past",2020-05-02,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA
"Iowa","data","Past",2020-05-03,"daily_cases",NA,NA,NA,528,NA,NA,NA,NA
"Iowa","data","Past",2020-05-03,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA
"Iowa","data","Past",2020-05-04,"daily_cases",NA,NA,NA,534,NA,NA,NA,NA
"Iowa","data","Past",2020-05-04,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA
"Iowa","data","Past",2020-05-05,"daily_cases",NA,NA,NA,408,NA,NA,NA,NA
"Iowa","data","Past",2020-05-05,"daily_deaths",NA,NA,NA,19,NA,NA,NA,NA
"Iowa","data","Past",2020-05-06,"daily_cases",NA,NA,NA,293,NA,NA,NA,NA
"Iowa","data","Past",2020-05-06,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA
"Iowa","data","Past",2020-05-07,"daily_cases",NA,NA,NA,655,NA,NA,NA,NA
"Iowa","data","Past",2020-05-07,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA
"Iowa","data","Past",2020-05-08,"daily_cases",NA,NA,NA,398,NA,NA,NA,NA
"Iowa","data","Past",2020-05-08,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA
"Iowa","data","Past",2020-05-09,"daily_cases",NA,NA,NA,214,NA,NA,NA,NA
"Iowa","data","Past",2020-05-09,"daily_deaths",NA,NA,NA,9,NA,NA,NA,NA
"Iowa","data","Past",2020-05-10,"daily_cases",NA,NA,NA,288,NA,NA,NA,NA
"Iowa","data","Past",2020-05-10,"daily_deaths",NA,NA,NA,13,NA,NA,NA,NA
"Iowa","data","Past",2020-05-11,"daily_cases",NA,NA,NA,414,NA,NA,NA,NA
"Iowa","data","Past",2020-05-11,"daily_deaths",NA,NA,NA,6,NA,NA,NA,NA
"Iowa","data","Past",2020-05-12,"daily_cases",NA,NA,NA,539,NA,NA,NA,NA
"Iowa","data","Past",2020-05-12,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA
"Iowa","data","Past",2020-05-13,"daily_cases",NA,NA,NA,377,NA,NA,NA,NA
"Iowa","data","Past",2020-05-13,"daily_deaths",NA,NA,NA,17,NA,NA,NA,NA
"Iowa","data","Past",2020-05-14,"daily_cases",NA,NA,NA,386,NA,NA,NA,NA
"Iowa","data","Past",2020-05-14,"daily_deaths",NA,NA,NA,12,NA,NA,NA,NA
"Iowa","data","Past",2020-05-15,"daily_cases",NA,NA,NA,374,NA,NA,NA,NA
"Iowa","data","Past",2020-05-15,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA
"Iowa","data","Past",2020-05-16,"daily_cases",NA,NA,NA,279,NA,NA,NA,NA
"Iowa","data","Past",2020-05-16,"daily_deaths",NA,NA,NA,10,NA,NA,NA,NA
"Iowa","data","Past",2020-05-17,"daily_cases",NA,NA,NA,323,NA,NA,NA,NA
"Iowa","data","Past",2020-05-17,"daily_deaths",NA,NA,NA,5,NA,NA,NA,NA
"Iowa","data","Past",2020-05-18,"daily_cases",NA,NA,NA,304,NA,NA,NA,NA
"Iowa","data","Past",2020-05-18,"daily_deaths",NA,NA,NA,4,NA,NA,NA,NA
"Iowa","data","Past",2020-05-19,"daily_cases",NA,NA,NA,394,NA,NA,NA,NA
"Iowa","data","Past",2020-05-19,"daily_deaths",NA,NA,NA,17,NA,NA,NA,NA
"Iowa","data","Past",2020-05-20,"daily_cases",NA,NA,NA,265,NA,NA,NA,NA
"Iowa","data","Past",2020-05-20,"daily_deaths",NA,NA,NA,16,NA,NA,NA,NA
"Iowa","data","Past",2020-05-21,"daily_cases",NA,NA,NA,556,NA,NA,NA,NA
"Iowa","data","Past",2020-05-21,"daily_deaths",NA,NA,NA,18,NA,NA,NA,NA
"Iowa","data","Past",2020-05-22,"daily_cases",NA,NA,NA,334,NA,NA,NA,NA
"Iowa","data","Past",2020-05-22,"daily_deaths",NA,NA,NA,19,NA,NA,NA,NA
"Iowa","data","Past",2020-05-23,"daily_cases",NA,NA,NA,389,NA,NA,NA,NA
"Iowa","data","Past",2020-05-23,"daily_deaths",NA,NA,NA,19,NA,NA,NA,NA
"Iowa","data","Past",2020-05-24,"daily_cases",NA,NA,NA,359,NA,NA,NA,NA
"Iowa","data","Past",2020-05-24,"daily_deaths",NA,NA,NA,10,NA,NA,NA,NA
