"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"Missouri","data","Past","2020-03-07","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,1,1
"Missouri","data","Past","2020-03-07","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Missouri","data","Past","2020-03-08","daily_cases",NA,NA,NA,1,NA,NA,NA,NA,1,0.676635384561
"Missouri","data","Past","2020-03-08","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,1,0.676635384561
"Missouri","data","Past","2020-03-09","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.99284646579287,0.722044053239209
"Missouri","data","Past","2020-03-09","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.99284646579287,0.722044053239209
"Missouri","data","Past","2020-03-10","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.982910725258962,0.750994490971143
"Missouri","data","Past","2020-03-10","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.982910725258962,0.750994490971143
"Missouri","data","Past","2020-03-11","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.970999700900567,0.767101013527923
"Missouri","data","Past","2020-03-11","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.970999700900567,0.767101013527923
"Missouri","data","Past","2020-03-12","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.957128511510184,0.772882045213273
"Missouri","data","Past","2020-03-12","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.957128511510184,0.772882045213273
"Missouri","data","Past","2020-03-13","daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.94150831643127,0.769876750942537
"Missouri","data","Past","2020-03-13","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.94150831643127,0.769876750942537
"Missouri","data","Past","2020-03-14","daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.924802024946616,0.758898747369436
"Missouri","data","Past","2020-03-14","daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.924802024946616,0.758898747369436
"Missouri","data","Past","2020-03-15","daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.907208794698108,0.740299766064058
"Missouri","data","Past","2020-03-15","daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.907208794698108,0.740299766064058
"Missouri","data","Past","2020-03-16","daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.888695022017574,0.71422741410827
"Missouri","data","Past","2020-03-16","daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.888695022017574,0.71422741410827
"Missouri","data","Past","2020-03-17","daily_cases",NA,NA,NA,2,NA,NA,NA,NA,0.868911193064046,0.680886199399293
"Missouri","data","Past","2020-03-17","daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.868911193064046,0.680886199399293
"Missouri","data","Past","2020-03-18","daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.847619033774812,0.64079502670077
"Missouri","data","Past","2020-03-18","daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.847619033774812,0.64079502670077
"Missouri","data","Past","2020-03-19","daily_cases",NA,NA,NA,11,NA,NA,NA,NA,0.825341139372959,0.595000046594959
"Missouri","data","Past","2020-03-19","daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.825341139372959,0.595000046594959
"Missouri","data","Past","2020-03-20","daily_cases",NA,NA,NA,23,NA,NA,NA,NA,0.802837623113301,0.545172478323374
"Missouri","data","Past","2020-03-20","daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.802837623113301,0.545172478323374
"Missouri","data","Past","2020-03-21","daily_cases",NA,NA,NA,26,NA,NA,NA,NA,0.781057801091749,0.493527110692944
"Missouri","data","Past","2020-03-21","daily_deaths",NA,NA,NA,2,NA,NA,NA,NA,0.781057801091749,0.493527110692944
"Missouri","data","Past","2020-03-22","daily_cases",NA,NA,NA,17,NA,NA,NA,NA,0.760888074277241,0.442556254232734
"Missouri","data","Past","2020-03-22","daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.760888074277241,0.442556254232734
"Missouri","data","Past","2020-03-23","daily_cases",NA,NA,NA,93,NA,NA,NA,NA,0.742668408294289,0.394530968418273
"Missouri","data","Past","2020-03-23","daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.742668408294289,0.394530968418273
"Missouri","data","Past","2020-03-24","daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.726206264948411,0.350554408987382
